,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
33,UC-Irvine,27,9,18,.333,-7.87,0.49,6,10,,,,,1681,1877,,,91.2,.367,.366,.509,45.2,58.2,12.1,5.2,.462,21.3,27.7,.271
34,UC-Santa Barbara,26,7,19,.269,-7.58,-0.21,4,12,,,,,1861,1977,,,100.0,.347,.253,.535,52.0,53.3,9.1,5.8,.501,20.7,38.2,.243
35,University of California,27,12,15,.444,8.37,7.99,8,10,,,,,1899,1876,,,96.8,.392,.208,.507,49.8,46.5,11.6,10.0,.470,18.4,34.0,.264
36,Campbell,27,10,17,.370,-18.24,-7.74,4,12,,,,,1726,1921,,,93.3,.376,.369,.501,47.3,61.5,9.4,10.9,.469,21.6,31.6,.244
37,Canisius,27,13,14,.481,-3.07,-0.48,9,9,,,,,1844,1915,,,103.1,.405,.303,.521,49.8,60.3,8.1,6.5,.485,17.7,38.0,.273
38,Centenary (LA),30,10,20,.333,-12.16,-7.42,8,8,,,,,2072,2214,,,,.421,.273,.519,49.5,52.1,,6.5,.489,,,.267
39,Central Connecticut State,26,4,22,.154,-17.57,-6.29,3,13,,,,,1705,1996,,,90.2,.291,.282,.487,49.1,51.0,10.5,9.0,.457,22.2,36.0,.195
40,Central Florida,28,17,11,.607,-5.10,-7.94,11,5,,,,,2130,1998,,,102.6,.376,.233,.539,52.2,54.4,12.4,10.1,.511,19.2,37.5,.249
41,Central Michigan,26,5,21,.192,-11.57,2.47,3,15,,,,,1788,2117,,,90.1,.419,.329,.527,46.5,52.3,7.7,6.7,.489,24.1,28.7,.285
42,Charleston Southern,27,5,22,.185,-20.41,-8.29,2,10,,,,,1883,2127,,,94.8,.374,.236,.530,49.5,46.0,8.5,6.6,.504,23.0,34.2,.239
43,Charlotte NCAA,31,20,11,.645,12.21,6.73,13,3,,,,,2283,2113,,,103.6,.356,.281,.523,51.4,58.9,12.1,6.0,.486,17.0,36.4,.252
44,Chattanooga,28,13,15,.464,-8.70,-4.83,7,7,,,,,1771,1809,,,101.6,.297,.355,.501,50.9,59.4,10.1,4.5,.468,17.3,40.2,.206
45,Chicago State,27,2,25,.074,-25.22,-3.60,2,14,,,,,1837,2421,,,87.9,.273,.277,.438,45.2,45.3,11.5,7.2,.411,17.3,35.4,.168
46,Cincinnati NCAA,33,27,6,.818,17.85,4.98,14,2,,,,,2510,2085,,,108.0,.476,.272,.543,55.8,48.1,11.1,11.4,.504,18.5,44.6,.323
47,Citadel,28,15,13,.536,-8.52,-9.02,6,8,,,,,1829,1741,,,99.2,.408,.236,.522,51.2,58.6,8.3,10.7,.479,18.5,34.9,.287
48,Clemson NCAA,32,18,14,.563,17.18,10.34,7,9,,,,,2309,2090,,,108.0,.421,.272,.540,51.2,57.5,12.0,8.8,.518,15.9,36.5,.259
49,Cleveland State,27,12,15,.444,-2.63,3.26,6,8,,,,,1745,1904,,,90.9,.433,.262,.486,51.2,46.5,10.6,8.4,.444,21.8,37.8,.284
50,Coastal Carolina,27,8,19,.296,-19.43,-9.25,4,8,,,,,1675,1868,,,90.8,.359,.309,.483,48.7,53.0,12.9,3.9,.442,21.3,37.6,.248
51,Colgate,28,10,18,.357,-9.73,-6.76,5,7,,,,,2075,2158,,,99.7,.331,.364,.511,47.2,53.7,12.8,5.9,.473,17.3,32.6,.237
52,College of Charleston NCAA,30,24,6,.800,4.44,-9.02,14,2,,,,,2102,1662,,,105.1,.363,.179,.527,51.2,55.4,16.5,11.1,.492,16.7,37.7,.252
53,Colorado State,29,20,9,.690,6.14,1.55,8,6,,,,,2011,1802,,,106.1,.425,.285,.536,52.5,63.6,10.2,12.9,.501,16.4,36.3,.286
54,Colorado,27,13,14,.481,2.13,4.44,7,9,,,,,1928,1970,,,99.5,.402,.269,.494,51.3,63.1,9.1,9.0,.450,16.5,37.5,.277
55,Columbia,26,11,15,.423,-13.45,-8.13,6,8,,,,,1487,1616,,,89.7,.400,.379,.512,48.7,59.3,11.1,6.2,.483,21.8,27.0,.251
56,Connecticut NCAA,37,32,5,.865,20.68,7.89,15,3,,,,,2836,2363,,,109.6,.380,.282,.549,52.7,52.7,12.1,9.4,.509,16.9,39.9,.279
57,Coppin State,29,21,8,.724,-2.42,-10.29,17,1,,,,,2251,2022,,,101.4,.415,.324,.532,48.8,38.7,13.5,5.2,.486,18.5,34.3,.303
58,Cornell,26,9,17,.346,-11.64,-8.20,6,8,,,,,1629,1699,,,94.8,.325,.271,.490,53.5,55.0,8.7,12.0,.463,19.5,37.5,.206
59,Creighton,28,18,10,.643,6.27,1.20,12,6,,,,,2100,1958,,,103.4,.413,.352,.552,51.1,59.5,12.9,11.9,.519,19.5,33.4,.284
60,Dartmouth,26,7,19,.269,-15.61,-7.11,4,10,,,,,1474,1695,,,89.6,.331,.334,.486,49.6,53.4,7.5,8.3,.460,21.0,32.0,.206
61,Davidson NCAA,30,20,10,.667,-0.71,-3.74,13,2,,,,,2138,1987,,,100.8,.374,.345,.526,52.2,63.2,10.5,5.4,.493,19.8,38.0,.252
62,Dayton,33,21,12,.636,8.80,4.04,11,5,,,,,2511,2354,,,108.6,.440,.254,.542,53.3,51.5,7.9,4.6,.498,17.0,41.5,.316
63,Delaware State,27,9,18,.333,-22.44,-10.04,7,11,,,,,1889,2165,,,89.3,.423,.213,.493,48.0,44.3,9.7,7.7,.456,23.3,37.5,.273
64,Delaware NCAA,30,20,10,.667,-1.92,-3.42,12,6,,,,,2191,2111,,,99.0,.408,.286,.538,49.3,55.4,10.8,7.2,.496,19.8,30.0,.292
65,DePaul,30,7,23,.233,-2.43,7.50,3,13,,,,,1777,2063,,,90.8,.292,.350,.446,46.0,45.7,12.7,6.3,.410,16.6,35.2,.196
66,Detroit Mercy NCAA,31,25,6,.806,9.86,0.48,12,2,,,,,2314,1957,,,110.5,.361,.313,.558,52.0,53.5,10.9,8.5,.520,16.5,38.1,.267
67,Drake,27,3,24,.111,-14.07,1.59,0,18,,,,,1646,2033,,,87.1,.340,.381,.490,44.8,62.5,12.5,4.0,.459,22.0,28.0,.220
68,Drexel,28,13,15,.464,-3.77,-2.91,10,8,,,,,1870,1894,,,99.5,.364,.269,.499,49.2,59.1,6.5,3.7,.463,15.6,32.3,.245
69,Duke NCAA,36,32,4,.889,29.56,9.33,15,1,,,,,3082,2308,,,116.6,.421,.324,.564,52.0,47.5,12.8,11.9,.534,14.1,39.7,.284
70,Duquesne,30,11,19,.367,-0.57,4.67,5,11,,,,,2173,2330,,,96.1,.428,.266,.513,49.3,52.6,11.5,7.9,.486,21.7,38.7,.262
71,East Carolina,27,10,17,.370,-3.34,-1.30,5,11,,,,,1821,1835,,,102.4,.369,.313,.519,51.4,50.2,7.4,7.0,.485,17.6,36.5,.251
72,East Tennessee State,27,11,16,.407,-11.56,-8.36,6,9,,,,,1779,1807,,,96.4,.446,.248,.517,50.2,54.3,9.5,4.1,.483,20.5,34.3,.287
73,Eastern Illinois,27,16,11,.593,-4.90,-5.90,13,5,,,,,2009,1933,,,100.8,.369,.301,.518,50.8,59.9,10.8,5.6,.485,17.6,34.9,.247
74,Eastern Kentucky,27,10,17,.370,-11.11,-4.95,8,10,,,,,1897,2053,,,94.0,.391,.307,.495,53.6,50.2,11.9,5.9,.457,21.7,39.7,.259
75,Eastern Michigan NCAA,30,20,10,.667,6.70,2.67,13,5,,,,,2394,2266,,,109.0,.286,.296,.545,50.7,52.0,10.7,8.7,.525,16.3,36.9,.189
76,Eastern Washington,27,16,11,.593,-6.17,-3.13,10,6,,,,,2053,2130,,,100.5,.360,.246,.517,50.1,53.4,11.0,6.2,.490,17.6,35.3,.230
77,Evansville,30,15,15,.500,1.70,-0.37,9,9,,,,,2099,2005,,,104.2,.393,.326,.580,47.5,62.4,8.0,5.5,.539,19.1,25.4,.298
78,Fairfield,27,12,15,.444,-2.85,-1.81,7,11,,,,,1896,1924,,,100.5,.479,.260,.518,52.0,54.0,11.5,12.1,.482,19.7,40.3,.309
79,Fairleigh Dickinson NCAA,30,23,7,.767,2.90,-5.38,13,3,,,,,2511,2253,,,106.7,.454,.339,.548,55.6,51.5,10.4,13.7,.514,20.6,44.8,.306
80,Florida A&M,28,11,17,.393,-16.11,-11.83,8,10,,,,,1997,2117,,,91.3,.437,.208,.480,50.4,42.0,9.7,13.8,.452,21.8,38.6,.253
81,Florida Atlantic,27,5,22,.185,-19.26,-3.22,5,11,,,,,1671,2108,,,87.6,.349,.359,.492,47.0,51.5,8.5,4.1,.454,22.9,31.1,.239
82,Florida International,29,21,8,.724,2.54,-5.67,13,3,,,,,2533,2295,,,109.8,.391,.354,.551,49.5,52.6,14.1,5.3,.525,15.5,35.1,.258
83,Florida State NCAA,32,18,14,.563,12.92,10.77,6,10,,,,,2287,2218,,,100.1,.399,.239,.525,53.4,55.1,10.4,12.6,.492,20.0,39.3,.266
84,Florida,29,14,15,.483,8.97,6.42,6,10,,,,,2208,2134,,,100.5,.347,.413,.550,48.0,56.2,12.3,10.5,.526,21.1,33.3,.229
85,Fordham,27,6,21,.222,-3.38,3.73,2,14,,,,,1762,1954,,,94.0,.352,.319,.489,46.9,56.4,8.6,7.2,.446,18.5,32.8,.249
86,Fresno State,34,21,13,.618,9.17,5.48,10,4,,,,,2835,2629,,,105.7,.313,.358,.526,48.9,65.2,13.2,12.4,.508,16.3,36.9,.192
87,Furman,29,9,20,.310,-15.15,-8.11,5,9,,,,,1790,1954,,,90.8,.394,.220,.496,52.2,53.3,9.1,5.0,.459,22.2,36.0,.260
88,George Mason,27,9,18,.333,-6.24,-0.57,6,10,,,,,1697,1850,,,92.6,.354,.301,.491,46.3,50.0,11.8,8.1,.466,19.5,32.0,.216
89,George Washington NCAA,33,24,9,.727,9.91,4.76,11,5,,,,,2414,2244,,,102.5,.464,.236,.520,53.0,58.3,9.9,6.5,.484,18.1,38.9,.301
90,Georgetown,31,16,15,.516,8.75,5.99,6,12,,,,,2223,2052,,,100.8,.407,.173,.493,53.8,47.4,16.0,8.6,.460,18.3,44.6,.257
91,Georgia Southern,28,10,18,.357,-14.21,-6.92,4,10,,,,,1824,1912,,,93.8,.315,.380,.515,49.6,54.5,13.5,6.1,.490,23.6,37.7,.204
92,Georgia State,28,16,12,.571,-5.40,-8.90,11,5,,,,,2096,1960,,,106.1,.314,.278,.550,48.4,49.6,10.0,8.4,.517,17.6,35.3,.230
93,Georgia Tech,33,19,14,.576,12.83,8.70,6,10,,,,,2518,2382,,,102.2,.382,.357,.531,50.8,56.9,10.3,13.1,.498,19.9,39.8,.261
94,Georgia,35,20,15,.571,13.11,9.02,7,9,,,,,2654,2511,,,105.3,.359,.371,.524,51.1,52.0,10.0,7.8,.488,16.7,38.2,.251
95,Gonzaga,34,24,10,.706,10.65,1.87,10,4,,,,,2729,2355,,,112.3,.367,.333,.570,51.4,54.4,9.5,8.5,.541,16.2,35.4,.258
96,Grambling,28,16,12,.571,-13.36,-9.80,10,6,,,,,2030,2058,,,98.7,.366,.252,.519,49.5,52.0,11.4,7.5,.483,20.8,40.4,.252
97,Green Bay,29,17,12,.586,3.93,-0.58,7,7,,,,,1868,1737,,,102.4,.463,.241,.567,46.7,59.5,10.0,10.3,.518,18.9,25.7,.348
98,Hampton,26,14,12,.538,-14.62,-11.46,11,7,,,,,1770,1852,,,94.6,.453,.330,.518,52.8,54.9,7.9,10.1,.474,22.8,38.8,.312
99,Hartford,27,15,12,.556,-4.64,-4.72,11,7,,,,,2138,2116,,,101.8,.463,.276,.555,47.9,53.1,12.6,6.3,.506,18.5,28.2,.343
100,Harvard,26,13,13,.500,-8.08,-8.28,6,8,,,,,1812,1791,,,104.8,.289,.307,.546,49.3,51.9,10.4,6.1,.516,17.5,31.7,.210
101,Hawaii,30,21,9,.700,11.10,4.27,8,6,,,,,2329,2124,,,105.4,.386,.239,.543,50.1,55.8,10.7,8.3,.504,18.0,38.6,.276
102,Hofstra,31,19,12,.613,-1.79,-4.48,11,7,,,,,2286,2180,,,100.4,.409,.268,.520,51.7,57.2,10.6,9.8,.484,18.1,35.1,.274
103,Holy Cross,27,7,20,.259,-16.58,-8.24,3,9,,,,,1848,2073,,69.4,96.0,.344,.318,.505,49.0,52.4,8.4,6.3,.464,18.6,31.6,.246
104,Houston,29,9,20,.310,-7.22,3.10,2,14,,,,,1843,2114,,,88.6,.337,.236,.498,53.0,51.6,7.9,7.3,.461,25.5,40.6,.233
105,Howard,28,8,20,.286,-20.22,-12.22,5,13,,,,,1937,2161,,,94.0,.421,.258,.489,49.3,50.9,8.6,8.1,.450,20.9,38.5,.273
106,Idaho State,26,6,20,.231,-17.53,-4.05,2,14,,,,,1791,2129,,,94.3,.401,.292,.494,47.6,51.2,10.1,6.0,.470,19.7,34.2,.236
107,Idaho,27,15,12,.556,2.09,0.73,9,7,,,,,1910,1852,,,102.0,.394,.223,.538,52.6,48.3,10.0,5.3,.500,19.8,37.8,.277
108,Illinois-Chicago NCAA,28,22,6,.786,9.20,0.67,12,2,,,,,2090,1851,,,110.2,.389,.280,.537,51.4,55.5,8.9,6.8,.494,15.4,38.9,.285
109,Illinois State NCAA,31,25,6,.806,9.63,3.40,16,2,,,,,2363,2141,,,106.2,.340,.325,.564,50.2,66.4,11.6,6.8,.540,18.4,32.4,.229
110,Illinois NCAA,33,23,10,.697,15.21,8.97,13,3,,,,,2301,2095,,,102.4,.339,.317,.530,49.4,56.7,10.9,7.4,.500,17.0,32.4,.231
111,Indiana State,27,16,11,.593,3.45,0.64,10,8,,,,,1875,1799,,,101.1,.411,.291,.541,49.4,56.6,12.2,9.1,.505,19.1,31.6,.284
112,Indiana NCAA,32,20,12,.625,14.18,10.71,9,7,,,,,2457,2346,,,107.1,.392,.273,.578,49.2,64.6,10.2,7.8,.542,19.0,32.5,.286
113,Iona NCAA,33,27,6,.818,8.56,-2.07,15,3,,,,,2652,2295,,,109.0,.416,.298,.551,50.3,54.7,13.4,14.7,.517,17.3,39.2,.286
114,Iowa State,30,12,18,.400,0.75,6.00,5,11,,,,,1910,2031,,,93.7,.446,.230,.509,50.9,53.7,8.0,7.3,.474,21.5,35.3,.286
115,Iowa,31,20,11,.645,17.24,6.04,9,7,,,,,2486,2091,,,110.4,.394,.297,.573,54.0,64.5,14.0,9.5,.540,19.1,39.4,.280
116,Jackson State,27,14,13,.519,-8.59,-6.85,11,5,,,,,1888,1834,,,95.8,.412,.275,.493,49.4,45.1,11.7,10.5,.456,19.2,37.3,.269
117,Jacksonville State,26,12,14,.462,-16.85,-11.27,6,10,,,,,1958,2063,,,99.6,.411,.414,.532,48.0,49.1,8.3,5.3,.491,19.5,33.1,.289
118,Jacksonville,27,8,19,.296,-7.85,-2.77,6,12,,,,,1776,1913,,,91.1,.464,.302,.504,49.6,44.2,11.8,7.5,.471,22.6,35.2,.288
119,James Madison,27,11,16,.407,-4.99,-1.29,6,10,,,,,1729,1829,,,97.6,.387,.310,.503,50.4,44.4,8.4,8.9,.466,19.4,38.5,.260
120,Kansas State,29,17,12,.586,9.38,3.42,7,9,,,,,2163,1990,,,104.1,.331,.280,.539,52.6,61.7,10.3,10.3,.508,18.1,36.7,.231
121,Kansas NCAA,39,35,4,.897,22.85,6.54,15,1,,,,,3300,2628,,,112.9,.332,.241,.562,55.8,59.7,10.8,12.3,.538,17.5,42.6,.226
122,Kent State,30,13,17,.433,-3.76,0.68,9,9,,,,,2082,2170,,,96.3,.362,.316,.516,51.0,61.8,11.1,7.0,.496,21.2,36.8,.217
123,Kentucky NCAA,39,35,4,.897,22.95,9.85,14,2,,,,,3123,2612,,,111.4,.339,.283,.558,55.4,59.5,12.2,15.9,.534,17.3,42.5,.229
124,La Salle,27,9,18,.333,-3.00,3.78,5,11,,,,,1928,2111,,,102.7,.376,.412,.510,48.2,58.7,9.9,7.0,.473,16.9,38.0,.256
125,Lafayette,28,19,9,.679,-4.41,-8.18,10,2,,,,,2096,1904,,,103.5,.397,.378,.545,53.2,56.7,12.6,8.9,.509,19.4,36.3,.277
126,Lamar,29,15,14,.517,-3.48,-4.17,7,11,,,,,1936,1916,,,95.7,.460,.228,.499,52.7,42.0,10.3,5.0,.459,20.3,38.6,.300
127,Lehigh,27,10,17,.370,-15.69,-7.45,4,8,,,,,1917,2089,,,95.0,.409,.282,.496,49.7,50.3,11.2,5.5,.460,17.8,34.4,.265
128,Liberty,28,11,17,.393,-14.67,-8.21,5,7,,,,,1800,1930,,,97.3,.383,.346,.534,47.2,58.6,11.4,5.7,.498,21.8,33.8,.268
129,Long Beach State,29,10,19,.345,-8.52,-2.73,5,11,,,,,1850,2018,,,92.0,.365,.255,.489,49.1,51.4,9.2,12.0,.460,20.2,34.0,.228
130,Long Island University,32,21,11,.656,2.60,-2.06,14,2,,,,,3102,2776,,,109.6,.316,.354,.512,49.4,50.6,16.9,6.2,.500,13.9,40.6,.177
131,Louisiana,31,18,13,.581,-0.32,-1.45,12,6,,,,,2336,2280,,,103.5,.415,.346,.522,49.1,53.8,12.6,4.6,.487,17.2,36.9,.276
132,Louisiana-Monroe,29,13,16,.448,-8.10,-4.35,8,8,,,,,2263,2348,,,100.6,.403,.265,.524,48.7,50.7,12.8,8.0,.493,20.0,39.1,.262
133,Louisiana State,27,9,18,.333,1.07,6.19,2,14,,,,,1680,1765,,,92.7,.434,.312,.511,52.3,54.2,9.2,4.3,.476,22.8,36.9,.280
134,Louisiana Tech,27,12,15,.444,-1.42,-2.83,9,9,,,,,1849,1811,,,100.9,.418,.282,.539,54.1,49.7,11.0,3.6,.508,20.6,37.9,.276
135,Louisville,32,12,20,.375,7.90,9.03,5,11,,,,,2267,2303,,,98.4,.288,.342,.523,48.3,60.5,10.4,8.7,.501,20.7,36.7,.188
136,Loyola (IL),30,15,15,.500,-5.00,-1.34,6,8,,,,,1997,2046,,,98.1,.382,.258,.504,50.7,57.4,11.0,7.8,.467,18.6,36.2,.256
137,Loyola Marymount,27,7,20,.259,-6.84,1.58,3,11,,,,,1994,2209,,,95.9,.351,.396,.511,47.7,55.6,9.7,8.4,.478,19.4,32.4,.235
138,Loyola (MD),28,12,16,.429,-3.19,-0.55,9,9,,,,,2143,2217,,,99.1,.473,.276,.539,49.7,52.8,11.6,5.1,.491,21.3,35.2,.340
139,Maine,27,7,20,.259,-13.65,-4.09,4,14,,,,,1920,2068,,,94.2,.308,.364,.507,46.9,57.2,11.3,5.0,.480,20.5,32.2,.201
140,Manhattan,29,12,17,.414,-4.75,-0.88,7,11,,,,,1903,2014,,,98.0,.378,.344,.527,50.3,61.7,9.6,7.0,.493,20.1,33.5,.257
141,Marist,28,11,17,.393,-7.18,-3.51,7,11,,,,,1939,2042,,,101.9,.416,.252,.524,45.3,51.6,10.7,8.3,.481,17.0,32.9,.292
142,Marquette,31,20,11,.645,10.55,5.26,8,8,,,,,2024,1860,,,97.7,.332,.371,.501,53.4,55.7,10.2,9.8,.467,19.3,39.0,.225
143,Marshall,27,11,16,.407,-2.97,0.63,7,11,,,,,1882,1875,,,100.8,.302,.323,.534,49.0,54.0,10.0,8.5,.509,19.8,35.1,.203
144,Maryland-Baltimore County,28,14,14,.500,-10.96,-9.32,6,6,,,,,1978,1991,,,99.5,.373,.333,.532,50.4,60.3,10.3,7.2,.494,20.0,33.2,.266
145,Maryland-Eastern Shore,27,9,18,.333,-16.17,-11.39,7,11,,,,,1838,1967,,,91.4,.422,.212,.485,49.3,37.6,13.2,4.1,.445,20.1,35.4,.275
146,Maryland NCAA,32,21,11,.656,18.79,12.10,10,6,,,,,2520,2306,,,102.4,.403,.242,.537,51.3,66.3,11.2,12.2,.503,18.3,35.4,.273
147,Massachusetts NCAA,32,21,11,.656,11.99,7.27,12,4,,,,,2231,2080,,,104.0,.380,.179,.517,54.2,54.3,9.2,13.3,.478,18.1,42.8,.266
148,McNeese State,26,7,19,.269,-16.45,-7.73,4,12,,,,,1817,2026,,,97.3,.354,.363,.523,46.2,58.0,11.8,7.4,.492,20.5,33.8,.237
149,Memphis,29,17,12,.586,8.04,5.56,12,4,,,,,2151,2079,,,99.1,.422,.262,.533,48.6,51.6,13.4,7.3,.506,20.3,34.0,.268
150,Mercer,26,5,21,.192,-19.22,-8.72,2,14,,,,,1767,1989,,,95.4,.327,.340,.491,48.9,49.3,9.8,4.7,.463,19.2,37.7,.207
151,Miami (FL) NCAA,28,18,10,.643,10.87,6.37,11,7,,,,,1962,1836,,,95.8,.343,.238,.505,50.9,53.7,12.6,10.9,.475,20.4,37.0,.226
152,Miami (OH),29,17,12,.586,3.62,1.94,9,9,,,,,2006,1932,,,101.4,.387,.263,.537,52.3,49.1,8.3,4.8,.497,19.1,34.4,.279
153,Michigan State NCAA,30,22,8,.733,18.65,9.25,13,3,,,,,2202,1920,,,106.7,.359,.277,.529,56.3,55.8,11.1,10.0,.499,18.1,44.8,.241
154,Michigan NCAA,34,25,9,.735,18.79,9.64,11,5,,,,,2630,2284,,,111.2,.382,.326,.584,54.8,57.6,10.3,10.5,.557,19.2,38.8,.265
155,Middle Tennessee,28,19,9,.679,-1.76,-6.59,12,6,,,,,1984,1781,,,112.7,.398,.344,.542,49.4,59.9,13.1,8.4,.511,16.9,36.0,.266
156,Milwaukee,27,3,24,.111,-9.89,1.96,2,12,,,,,1651,1971,,,87.8,.336,.369,.482,44.8,56.9,10.4,5.2,.450,21.0,29.0,.220
157,Minnesota,35,20,15,.571,11.93,8.30,6,10,,,,,2530,2403,,,105.5,.367,.274,.531,48.7,55.3,12.7,11.0,.490,15.6,34.6,.266
158,Mississippi State,30,15,15,.500,7.75,5.13,4,12,,,,,2131,2053,,,100.3,.341,.240,.517,50.5,54.2,9.6,7.7,.493,17.0,32.3,.216
