,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
73,Eastern Illinois,28,13,15,.464,-13.67,-8.97,9,9,,,,,1933,2053,,,,.405,.311,.507,47.2,62.7,,7.6,.485,19.6,,.238
74,Eastern Kentucky,27,13,14,.481,-8.03,-4.63,7,9,,,,,2013,2059,,,,.453,.296,.538,49.6,58.3,,3.5,.500,19.4,,.306
75,Eastern Michigan NCAA,31,25,6,.806,11.54,3.71,14,4,,,,,2594,2304,,,,.382,.254,.558,49.7,50.4,,8.5,.524,13.8,,.270
76,Eastern Washington,26,3,23,.115,-15.51,-1.42,0,14,,,,,1697,1993,,,,.301,.225,.504,51.6,52.7,,5.6,.466,20.4,,.219
77,Evansville,27,13,14,.481,3.62,1.92,9,9,,,,,1943,1897,,,,.409,.305,.558,49.9,63.6,,5.6,.525,19.6,,.283
78,Fairfield,30,20,10,.667,-1.62,-2.89,10,4,,,,,2127,2089,,,,.425,.339,.555,50.1,64.3,,8.0,.514,19.9,,.305
79,Fairleigh Dickinson,27,7,20,.259,-14.27,-6.82,6,12,,,,,1811,2012,,,,.387,.285,.528,52.1,50.6,,8.0,.505,23.5,,.239
80,Florida A&M,27,8,19,.296,-24.46,-10.68,3,13,,,,,1671,1915,,,,.346,.257,.444,49.4,49.3,,17.1,.420,20.4,,.196
81,Florida Atlantic,27,9,18,.333,-7.28,-5.93,5,11,,,,,1865,1867,,,,.425,.252,.523,50.9,47.1,,9.8,.482,19.5,,.294
82,Florida International,28,13,15,.464,-14.34,-6.84,6,10,,,,,2054,2204,,,,.376,.437,.527,46.3,54.1,,5.6,.496,18.0,,.252
83,Florida State,27,13,14,.481,10.94,8.72,5,11,,,,,2033,1973,,,,.376,.307,.523,50.2,54.5,,11.9,.494,15.7,,.245
84,Florida,28,12,16,.429,7.65,11.40,6,10,,,,,1869,1974,,,,.285,.276,.500,47.7,55.3,,8.8,.473,17.9,,.189
85,Fordham,27,4,23,.148,-9.65,1.72,2,14,,,,,1628,1935,,,,.446,.220,.483,50.0,58.8,,4.5,.443,21.8,,.284
86,Fresno State,33,22,11,.667,7.58,4.86,13,5,,,,,2652,2544,,,,.370,.377,.556,49.7,55.2,,10.0,.534,17.3,,.238
87,Furman,27,10,17,.370,-11.34,-4.34,6,8,,,,,1984,2105,,,,.337,.331,.523,51.6,51.8,,7.2,.486,17.7,,.242
88,George Mason,27,11,16,.407,-5.07,-3.68,6,10,,,,,2443,2476,,,,.371,.277,.525,51.3,43.7,,5.8,.493,15.8,,.249
89,George Washington NCAA,29,21,8,.724,8.99,3.61,13,3,,,,,2263,2107,,,,.459,.223,.536,49.5,59.9,,8.3,.492,17.1,,.321
90,Georgetown NCAA,37,29,8,.784,22.63,9.83,13,5,,,,,3082,2545,,,,.436,.241,.542,54.7,46.5,,11.3,.516,18.1,,.277
91,Georgia Southern,26,3,23,.115,-20.66,-5.06,2,12,,,,,1470,1825,,,,.363,.356,.479,50.2,55.6,,6.5,.452,26.0,,.218
92,Georgia State,26,10,16,.385,-10.82,-7.10,6,10,,,,,1877,1972,,,,.366,.217,.492,50.8,49.0,,6.8,.450,16.8,,.255
93,Georgia Tech NCAA,36,24,12,.667,16.96,12.71,13,3,,,,,2888,2735,,,,.349,.359,.573,49.9,60.3,,8.2,.546,17.5,,.245
94,Georgia NCAA,31,21,10,.677,19.30,8.14,9,7,,,,,2456,2110,,,,.335,.293,.544,53.2,62.4,,10.7,.519,16.7,,.223
95,Gonzaga,30,21,9,.700,5.81,-1.23,10,4,,,,,2179,1937,,,,.465,.275,.559,52.7,57.2,,7.0,.531,17.4,,.302
96,Grambling,28,12,16,.429,-12.39,-11.78,6,8,,,,,2103,2089,,,,.342,.311,.513,46.6,50.3,,3.7,.502,15.7,,.190
97,Green Bay NCAA,29,25,4,.862,8.05,-0.88,16,0,,,,,1878,1620,,,,.411,.224,.562,49.9,73.1,,5.3,.519,15.3,,.306
98,Hampton,26,9,17,.346,-11.18,-4.51,0,0,,,,,1936,2069,,,,.321,.343,.476,48.2,39.0,,5.4,.439,14.9,,.219
99,Hartford,28,6,22,.214,-12.44,-3.05,5,13,,,,,2042,2305,,,,.368,.204,.497,47.6,54.2,,6.9,.453,20.0,,.262
100,Harvard,26,15,11,.577,-2.98,-8.54,7,7,,,,,1768,1581,,,,.352,.272,.515,54.2,54.9,,5.8,.470,18.2,,.260
101,Hawaii,28,10,18,.357,4.66,6.30,7,11,,,,,2149,2195,,,,.478,.210,.572,46.4,51.8,,5.1,.523,17.5,,.359
102,Hofstra,27,9,18,.333,-13.73,-5.46,5,13,,,,,1843,2039,,,,.378,.238,.498,47.9,48.6,,6.1,.462,20.4,,.249
103,Holy Cross,29,16,13,.552,-9.27,-9.20,8,4,,,,,2240,2246,,,,.434,.271,.507,50.9,59.3,,10.0,.473,18.0,,.277
104,Houston,27,17,10,.630,3.57,3.05,11,3,,,,,2082,2015,,,,.413,.253,.544,53.7,52.5,,9.4,.513,20.8,,.274
105,Howard,27,7,20,.259,-18.27,-11.00,6,10,,,,,1823,2015,,,,.432,.266,.493,46.0,39.8,,4.4,.444,19.5,,.301
106,Idaho State,26,11,15,.423,-9.41,-3.62,7,7,,,,,1810,1891,,,,.416,.227,.504,47.3,54.8,,6.7,.472,20.3,,.264
107,Idaho,28,12,16,.429,-4.27,-1.96,5,9,,,,,2030,2035,,,,.378,.250,.532,50.8,43.3,,4.5,.493,19.3,,.269
108,Illinois-Chicago,28,10,18,.357,-6.83,-0.61,5,11,,,,,2152,2299,,,,.335,.357,.509,47.3,51.5,,7.5,.475,17.6,,.230
109,Illinois State,34,22,12,.647,5.53,2.89,13,5,,,,,2441,2352,,,,.408,.326,.543,51.1,61.5,,6.9,.512,20.6,,.272
110,Illinois,31,18,13,.581,13.96,7.86,7,11,,,,,2352,2163,,,,.320,.337,.519,49.9,59.2,,7.0,.488,13.4,,.220
111,Indiana State,26,10,16,.385,-5.79,-0.79,6,12,,,,,1799,1929,,,,.446,.285,.498,51.5,51.4,,4.0,.454,18.5,,.299
112,Indiana NCAA,31,19,12,.613,17.61,10.87,12,6,,,,,2349,2142,,,,.459,.275,.564,51.5,62.7,,9.0,.526,18.3,,.322
113,Iona,29,21,8,.724,2.27,-2.14,10,4,,,,,2103,1975,,,,.413,.239,.511,49.9,47.6,,14.1,.471,16.7,,.282
114,Iowa State NCAA,33,24,9,.727,10.90,7.24,9,5,,,,,2223,2091,,,,.504,.242,.520,49.1,58.3,,7.4,.473,17.7,,.343
115,Iowa NCAA,32,23,9,.719,18.65,6.90,11,7,,,,,2548,2172,,,,.415,.313,.569,56.3,63.1,,6.9,.532,19.0,,.298
116,Jackson State,29,16,13,.552,-8.68,-6.53,11,3,,,,,2199,2227,,,,.306,.250,.498,49.0,51.8,,7.8,.474,17.8,,.192
117,Jacksonville State,27,10,17,.370,-10.79,-8.23,4,12,,,,,2203,2220,,,,.427,.284,.541,52.5,41.6,,6.3,.497,19.3,,.308
118,Jacksonville,28,15,13,.536,-0.35,0.12,10,8,,,,,2122,2135,,,,.460,.267,.535,50.1,44.8,,8.7,.505,20.0,,.293
119,James Madison,30,10,20,.333,-5.60,-0.14,6,10,,,,,2053,2217,,,,.331,.294,.518,46.7,42.1,,7.4,.483,17.5,,.232
120,Kansas State NCAA,29,17,12,.586,7.75,7.72,7,7,,,,,1970,1963,,,,.452,.235,.499,51.2,54.6,,10.3,.459,19.2,,.293
121,Kansas NCAA,34,29,5,.853,21.39,7.24,12,2,,,,,2741,2219,,,,.434,.319,.538,53.7,62.5,,13.5,.506,17.2,,.284
122,Kent State,27,14,13,.519,0.67,0.71,8,10,,,,,2051,2022,,,,.373,.260,.539,50.4,59.3,,6.3,.496,17.5,,.277
123,Kentucky NCAA,36,34,2,.944,32.14,10.06,16,0,,,,,3292,2497,,,,.359,.272,.571,53.8,65.4,,11.2,.541,16.1,,.256
124,La Salle,30,6,24,.200,-1.74,5.52,3,13,,,,,1903,2121,,,,.281,.418,.465,46.3,54.1,,5.5,.438,15.3,,.178
125,Lafayette,27,7,20,.259,-12.38,-7.18,4,8,,,,,1832,1970,,,,.371,.405,.509,47.6,50.4,,8.3,.471,18.8,,.254
126,Lamar,27,12,15,.444,-2.78,-0.26,7,11,,,,,1971,1961,,,,.433,.230,.510,52.1,46.9,,3.9,.473,19.7,,.285
127,Lehigh,27,4,23,.148,-18.82,-7.25,2,10,,,,,1837,2120,,,,.442,.275,.500,45.1,44.6,,6.0,.460,18.9,,.291
128,Liberty,29,17,12,.586,-5.69,-7.58,9,5,,,,,1981,1889,,,,.390,.331,.549,49.5,60.0,,13.5,.511,18.7,,.279
129,Long Beach State,28,17,11,.607,4.16,0.42,12,6,,,,,2094,1944,,,,.433,.288,.538,100.0,53.9,,6.6,.512,,,.275
130,Long Island University,28,9,19,.321,-17.63,-6.41,5,13,,,,,2159,2440,,,,.292,.313,.448,47.1,48.1,,8.0,.423,,,.175
131,Louisiana,28,16,12,.571,1.29,0.09,9,9,,,,,2115,1996,,,,.382,.382,.514,47.7,50.8,,9.8,.480,17.5,,.252
132,Louisiana-Monroe NCAA,30,16,14,.533,-2.52,-3.63,13,5,,,,,2318,2256,,,,.296,.316,.541,47.5,49.8,,10.6,.515,17.6,,.204
133,Louisiana State,29,12,17,.414,2.50,5.14,4,12,,,,,2265,2300,,,,.352,.321,.508,51.2,54.1,,8.7,.474,17.7,,.237
134,Louisiana Tech,28,11,17,.393,-4.05,-1.20,6,12,,,,,1738,1807,,,,.408,.245,.490,51.7,52.0,,6.3,.454,20.1,,.264
135,Louisville NCAA,34,22,12,.647,15.18,9.84,10,4,,,,,2602,2422,,,,.412,.325,.571,48.2,55.7,,9.9,.543,19.3,,.279
136,Loyola (IL),27,8,19,.296,-6.61,-1.61,5,11,,,,,1854,1963,,,,.363,.303,.514,48.6,56.3,,7.9,.488,19.9,,.229
137,Loyola Marymount,29,18,11,.621,-1.00,-0.89,8,6,,,,,2022,1991,,,,.493,.269,.549,53.6,51.3,,6.4,.508,22.9,,.339
138,Loyola (MD),27,12,15,.444,-4.28,-2.20,8,6,,,,,1807,1815,,,,.399,.238,.512,48.7,49.5,,11.6,.483,21.0,,.252
139,Maine,28,15,13,.536,-4.20,-5.49,11,7,,,,,1921,1885,,,,.383,.277,.488,53.2,57.8,,5.6,.465,19.5,,.223
140,Manhattan,29,17,12,.586,4.03,-1.38,9,5,,,,,1959,1802,,,,.448,.261,.528,54.5,55.5,,8.0,.485,20.1,,.310
141,Marist,29,22,7,.759,-1.02,-8.61,14,4,,,,,2094,1874,,,,.473,.344,.545,53.0,60.8,,11.5,.499,18.9,,.335
142,Marquette NCAA,31,23,8,.742,14.45,4.93,10,4,,,,,2259,1964,,,,.354,.329,.531,53.4,58.2,,13.2,.494,16.5,,.253
143,Marshall,28,17,11,.607,1.97,-3.81,8,6,,,,,2560,2367,,,,.326,.380,.592,49.4,48.2,,7.6,.570,18.0,,.225
144,Maryland-Baltimore County,27,5,22,.185,-17.13,-6.17,3,11,,,,,1595,1891,,,,.383,.321,.485,50.0,58.3,,5.8,.438,20.8,,.271
145,Maryland-Eastern Shore,27,11,16,.407,-20.25,-13.21,6,10,,,,,1758,1872,,,,.407,.239,.483,48.2,40.2,,5.2,.448,17.4,,.257
146,Maryland NCAA,30,17,13,.567,15.00,9.94,8,8,,,,,2440,2288,,,,.408,.284,.533,51.0,61.5,,7.4,.497,18.1,,.279
147,Massachusetts NCAA,37,35,2,.946,21.38,8.92,15,1,,,,,2768,2307,,,,.420,.209,.528,53.8,56.3,,15.0,.490,15.7,,.285
148,McNeese State,27,15,12,.556,-2.80,-6.69,11,7,,,,,2119,2014,,,,.446,.253,.537,46.4,58.0,,7.5,.503,17.6,,.294
149,Memphis NCAA,30,22,8,.733,14.35,6.58,11,3,,,,,2205,1972,,,,.304,.289,.525,50.6,58.5,,13.1,.507,17.2,,.188
150,Mercer,29,15,14,.517,-10.14,-6.81,7,9,,,,,2196,2243,,,,.396,.315,.515,50.2,56.1,,9.6,.477,17.7,,.268
151,Miami (FL),28,15,13,.536,7.77,7.42,8,10,,,,,1883,1873,,,,.407,.289,.500,52.1,58.8,,11.1,.469,20.2,,.256
152,Miami (OH),29,21,8,.724,10.60,0.81,12,6,,,,,2169,1854,,,,.389,.279,.541,53.3,46.3,,8.5,.506,16.2,,.271
153,Michigan State,32,16,16,.500,6.78,9.04,9,9,,,,,1986,2053,,,,.353,.218,.497,55.2,54.9,,6.2,.463,20.6,,.235
154,Michigan NCAA,32,21,11,.656,15.02,8.55,10,8,,,,,2283,2076,,,,.373,.254,.517,52.9,50.1,,8.9,.483,19.3,,.251
155,Middle Tennessee,27,15,12,.556,-4.98,-5.94,9,7,,,,,1998,1958,,,,.410,.237,.540,51.6,53.2,,4.9,.500,17.0,,.290
156,Milwaukee,27,9,18,.333,-6.36,-2.06,5,11,,,,,1912,1986,,,,.365,.281,.506,47.7,50.5,,5.5,.469,19.2,,.250
157,Minnesota,32,19,13,.594,8.67,6.92,10,8,,,,,2227,2170,,,,.377,.253,.497,51.6,59.7,,8.6,.466,18.0,,.241
158,Mississippi State NCAA,34,26,8,.765,16.20,8.73,10,6,,,,,2484,2230,,,,.388,.303,.569,54.4,59.0,,13.0,.536,21.1,,.276
159,Mississippi Valley State NCAA,29,22,7,.759,-5.56,-11.92,11,3,,,,,2486,2218,,,,.380,.263,.527,56.8,43.4,,7.8,.504,18.0,,.235
160,Mississippi,27,12,15,.444,5.90,4.90,6,10,,,,,1887,1818,,,,.368,.280,.480,52.1,56.9,,6.5,.448,18.7,,.232
161,Missouri-Kansas City,27,12,15,.444,-9.60,-9.00,10,8,,,,,1888,1904,,,,.438,.254,.505,51.2,54.3,,7.5,.468,20.0,,.283
162,Missouri State,28,16,12,.571,4.35,1.60,11,7,,,,,2096,2019,,,,.366,.255,.534,51.1,64.0,,7.4,.503,16.9,,.247
163,Missouri,33,18,15,.545,7.16,5.07,6,8,,,,,2563,2494,,,,.515,.211,.557,53.0,55.3,,7.2,.514,19.6,,.357
164,Monmouth NCAA,30,20,10,.667,-1.89,-5.56,14,4,,,,,2065,1955,,,,.430,.224,.545,49.2,62.5,,9.9,.507,17.7,,.299
165,Montana State NCAA,30,21,9,.700,7.48,-2.45,11,3,,,,,2425,2098,,,,.344,.314,.579,53.5,69.8,,6.9,.556,17.8,,.234
166,Montana,28,20,8,.714,2.71,-3.13,10,4,,,,,2126,1924,,,,.486,.246,.569,51.7,65.3,,8.3,.530,19.8,,.340
167,Morehead State,27,7,20,.259,-15.47,-1.56,2,14,,,,,1992,2227,,,,.303,.362,.491,46.5,59.2,,7.1,.458,17.7,,.207
168,Morgan State,27,7,20,.259,-19.34,-8.04,6,10,,,,,1853,2161,,,,.289,.289,.468,42.9,59.5,,6.2,.445,17.3,,.176
169,Mount St. Mary's,29,21,8,.724,0.83,-5.86,16,2,,,,,2193,1999,,,,.248,.371,.543,46.1,59.7,,10.4,.517,14.0,,.179
170,Murray State,29,19,10,.655,1.18,-3.01,12,4,,,,,2325,2126,,,,.356,.267,.540,52.6,47.3,,9.5,.503,16.1,,.258
171,Navy,27,15,12,.556,-10.10,-8.18,9,3,,,,,1772,1762,,,,.346,.223,.474,55.1,55.4,,7.4,.443,18.7,,.218
172,Nebraska,35,21,14,.600,10.29,5.58,4,10,,,,,2808,2643,,,,.429,.236,.558,50.6,60.4,,11.9,.524,20.0,,.296
173,Nevada-Las Vegas,26,10,16,.385,-2.34,-0.50,7,11,,,,,1743,1791,,,,.403,.278,.506,50.0,56.3,,3.5,.488,19.1,,.231
174,Nevada,29,16,13,.552,0.45,0.04,9,9,,,,,2119,2107,,,,.398,.327,.515,51.0,54.2,,7.7,.476,17.6,,.271
175,New Hampshire,27,6,21,.222,-12.30,-4.04,5,13,,,,,2000,2223,,,,.391,.312,.520,47.1,56.6,,5.4,.482,19.3,,.267
176,New Mexico State,26,11,15,.423,-3.12,0.48,8,10,,,,,1767,1833,,,,.368,.359,.489,48.4,46.2,,6.7,.451,16.0,,.246
