,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,28,5,23,.179,-5.63,5.04,1,17,,,,,1880,2089,,,,.350,.246,.479,50.0,55.8,,6.9,.448,17.0,,.220
2,Akron,26,3,23,.115,-11.17,2.51,0,18,,,,,1631,1949,,,,.375,.256,.491,44.3,53.4,,5.5,.449,18.3,,.260
3,Alabama-Birmingham,30,16,14,.533,3.66,3.70,6,8,,,,,2070,2051,,,,.342,.321,.494,51.0,49.7,,8.8,.461,16.3,,.227
4,Alabama State,27,9,18,.333,-23.56,-12.77,5,9,,,,,1995,2226,,,,.362,.290,.508,41.1,40.5,,3.9,.478,14.2,,.233
5,Alabama,32,19,13,.594,7.00,6.13,9,7,,,,,2303,2275,,,,.277,.355,.516,49.3,48.4,,13.7,.492,16.5,,.183
6,Alcorn State,25,10,15,.400,-18.20,-9.20,7,7,,,,,1942,2088,,,,.355,.248,.512,49.8,49.1,,7.7,.482,19.9,,.234
7,American,27,12,15,.444,-2.04,-1.27,8,8,,,,,2019,1978,,,,.431,.275,.522,47.6,46.4,,7.0,.474,16.5,,.307
8,Appalachian State,28,8,20,.286,-14.16,-1.12,3,11,,,,,2007,2308,,,,.385,.294,.545,45.7,57.4,,6.3,.514,20.8,,.262
9,Arizona State,27,11,16,.407,1.56,5.89,6,12,,,,,1980,2115,,,,.324,.309,.501,47.2,56.7,,8.6,.474,17.6,,.208
10,Arizona NCAA,33,26,7,.788,18.14,8.42,13,5,,,,,2693,2372,,,,.402,.298,.571,52.3,60.5,,8.2,.547,18.7,,.265
11,Little Rock,30,23,7,.767,6.29,-1.03,14,4,,,,,2295,2033,,,,.419,.233,.545,52.7,49.6,,9.5,.510,15.7,,.288
12,Arkansas State,27,9,18,.333,-6.56,-0.10,7,11,,,,,1866,2030,,,,.397,.270,.511,45.8,49.3,,6.9,.486,20.1,,.243
13,Arkansas NCAA,33,20,13,.606,11.67,8.09,9,7,,,,,2560,2442,,,,.356,.273,.511,49.1,52.9,,10.7,.486,18.2,,.222
14,Army,27,7,20,.259,-21.68,-10.64,2,10,,,,,1792,1983,,,,.347,.289,.480,50.3,54.3,,4.5,.444,19.2,,.230
15,Auburn,32,19,13,.594,6.08,4.18,6,10,,,,,2378,2283,,,,.367,.431,.542,50.5,59.2,,6.4,.513,20.1,,.248
16,Austin Peay NCAA,30,19,11,.633,-0.41,-4.20,10,6,,,,,2377,2224,,,,.308,.304,.561,46.9,59.1,,8.9,.538,15.5,,.211
17,Ball State,28,16,12,.571,2.97,1.83,11,7,,,,,2066,2034,,,,.339,.297,.516,48.8,53.4,,6.4,.484,16.2,,.232
18,Baylor,27,9,18,.333,-2.69,1.15,4,10,,,,,2008,2065,,,,.388,.301,.497,48.9,51.3,,10.3,.465,17.4,,.245
19,Bethune-Cookman,27,12,15,.444,-17.80,-12.93,8,8,,,,,1820,1847,,,,.370,.340,.495,47.0,55.2,,7.4,.456,18.1,,.254
20,Boise State,28,15,13,.536,-3.05,-2.21,10,4,,,,,1805,1827,,,,.352,.395,.536,45.9,60.4,,4.6,.500,20.0,,.250
21,Boston College NCAA,30,19,11,.633,16.93,9.23,10,8,,,,,2346,2115,,,,.445,.316,.556,53.4,53.3,,7.4,.517,18.5,,.314
22,Boston University,29,18,11,.621,-1.05,-4.33,13,5,,,,,2037,1942,,,,.403,.252,.510,51.5,55.0,,7.8,.478,17.0,,.260
23,Bowling Green State,27,14,13,.519,3.01,2.93,9,9,,,,,1842,1778,,,,.416,.250,.534,50.8,50.6,,5.5,.497,16.0,,.285
24,Bradley NCAA,30,22,8,.733,9.71,3.55,15,3,,,,,2136,1951,,,,.434,.246,.535,49.7,60.5,,7.8,.493,15.8,,.303
25,Brigham Young,28,15,13,.536,7.89,4.00,9,9,,,,,2303,2194,,,,.454,.198,.561,52.1,59.7,,5.9,.508,15.8,,.347
26,Brown,26,10,16,.385,-10.95,-5.91,5,9,,,,,1632,1763,,,,.372,.365,.529,50.1,61.3,,8.1,.494,21.5,,.255
27,Bucknell,28,17,11,.607,-5.71,-7.33,8,4,,,,,1981,1864,,,,.477,.322,.545,51.4,57.0,,8.1,.496,19.8,,.343
28,Buffalo,27,13,14,.481,-11.68,-9.75,10,8,,,,,1817,1869,,,,.404,.320,.483,48.9,56.6,,5.7,.448,18.2,,.256
29,Butler,27,19,8,.704,1.56,-2.67,12,4,,,,,1923,1810,,,,.548,.241,.550,53.9,53.7,,7.9,.508,19.5,,.372
30,Cal Poly,29,16,13,.552,-7.45,-6.69,5,1,,,,,2328,2206,,,,.373,.358,.509,50.0,58.5,,4.9,.483,17.9,,.231
31,Cal State Fullerton,26,6,20,.231,-8.67,1.10,5,13,,,,,1742,1996,,,,.403,.273,.488,47.9,51.7,,6.0,.447,19.3,,.268
32,Cal State Northridge,27,7,20,.259,-14.48,-3.35,2,4,,,,,1827,2090,,,,.350,.365,.503,46.7,55.2,,6.5,.471,19.7,,.230
33,UC-Irvine,27,15,12,.556,0.63,-1.44,11,7,,,,,2026,1970,,,,.502,.348,.548,48.7,58.8,,5.3,.517,17.7,,.324
34,UC-Santa Barbara,26,11,15,.423,-1.99,-0.95,8,10,,,,,1811,1838,,,,.336,.351,.539,47.0,63.4,,6.5,.507,18.3,,.236
35,University of California NCAA,28,17,11,.607,11.90,6.44,11,7,,,,,2117,1964,,,,.475,.271,.540,51.4,51.4,,9.6,.496,17.9,,.333
36,Campbell,28,17,11,.607,-7.05,-6.62,11,5,,,,,1840,1802,,,,.299,.328,.516,46.2,63.7,,6.2,.486,16.6,,.206
37,Canisius NCAA,30,19,11,.633,1.13,-1.60,7,7,,,,,1973,1891,,,,.366,.305,.508,48.4,62.3,,6.7,.469,17.8,,.255
38,Centenary (LA),27,11,16,.407,-10.49,-6.21,8,8,,,,,2067,2133,,,,.336,.379,.504,47.4,55.3,,5.6,.475,16.3,,.219
39,Central Connecticut State,28,13,15,.464,-12.95,-10.80,9,9,,,,,2206,2227,,,,.416,.210,.511,50.3,52.4,,15.8,.464,21.3,,.295
40,Central Florida NCAA,30,11,19,.367,-10.00,-3.83,6,10,,,,,2243,2395,,,,.358,.319,.546,49.1,55.8,,7.9,.511,21.2,,.255
41,Central Michigan,26,6,20,.231,-3.57,3.14,3,15,,,,,1787,1914,,,,.330,.270,.544,47.3,58.8,,10.7,.514,18.8,,.230
42,Charleston Southern,28,15,13,.536,-7.77,-6.96,9,5,,,,,2044,1974,,,,.416,.288,.546,50.4,64.1,,9.5,.515,19.0,,.277
43,Charlotte,29,14,15,.483,7.44,6.78,6,8,,,,,1990,1963,,,,.367,.305,.502,50.7,54.2,,5.1,.466,17.1,,.248
44,Chattanooga,27,15,12,.556,-1.98,-6.02,9,5,,,,,1977,1817,,,,.328,.318,.523,52.2,50.0,,5.3,.494,16.0,,.221
45,Chicago State,27,2,25,.074,-29.06,-7.25,2,16,,,,,2013,2602,,,,.283,.299,.477,43.6,49.5,,7.4,.454,19.3,,.174
46,Cincinnati NCAA,33,28,5,.848,22.11,7.69,11,3,,,,,2627,2151,,,,.417,.252,.544,55.3,58.1,,8.3,.511,16.0,,.282
47,Citadel,26,10,16,.385,-16.89,-6.10,5,9,,,,,1796,1956,,,,.363,.287,.518,48.1,45.4,,10.0,.485,18.1,,.244
48,Clemson NCAA,29,18,11,.621,13.18,8.18,7,9,,,,,1971,1826,,,,.431,.284,.527,52.7,54.1,,10.4,.494,15.3,,.284
49,Cleveland State,26,5,21,.192,-14.77,-2.08,3,13,,,,,1587,1917,,,,.364,.277,.486,47.3,50.7,,4.6,.449,21.5,,.240
50,Coastal Carolina,26,5,21,.192,-19.52,-7.10,1,13,,,,,1740,1992,,,,.342,.329,.474,49.5,47.0,,6.9,.444,18.3,,.213
51,Colgate NCAA,30,15,15,.500,-4.68,-3.65,9,3,,,,,2164,2195,,,,.401,.302,.532,48.1,52.4,,15.2,.502,19.3,,.262
52,College of Charleston,29,25,4,.862,3.86,-7.33,15,1,,,,,2164,1806,,,,.380,.200,.545,53.5,59.2,,10.5,.518,16.6,,.252
53,Colorado State,30,18,12,.600,7.51,5.12,11,7,,,,,2355,2224,,,,.392,.274,.590,51.0,57.7,,11.3,.560,18.8,,.280
54,Colorado,27,9,18,.333,1.31,6.60,3,11,,,,,2048,2191,,,,.348,.257,.526,49.9,63.6,,10.1,.491,20.7,,.242
55,Columbia,26,7,19,.269,-15.71,-5.51,3,11,,,,,1519,1732,,,,.404,.411,.515,47.5,60.8,,5.4,.486,23.5,,.255
56,Connecticut NCAA,35,32,3,.914,26.05,8.19,17,1,,,,,2890,2265,,,,.312,.283,.563,55.8,62.1,,12.1,.532,17.4,,.228
57,Coppin State,29,19,10,.655,-7.05,-11.65,14,2,,,,,2280,2075,,,,.384,.339,.584,51.8,56.2,,4.9,.563,17.7,,.256
58,Cornell,26,10,16,.385,-12.02,-6.82,5,9,,,,,1674,1766,,,,.319,.376,.512,50.5,51.1,,8.7,.481,20.0,,.218
59,Creighton,29,14,15,.483,0.95,1.20,9,9,,,,,1931,1935,,,,.307,.308,.475,48.7,54.0,,8.7,.447,16.1,,.194
60,Dartmouth,26,16,10,.615,-8.80,-6.96,9,5,,,,,1662,1676,,,,.250,.323,.522,47.2,61.3,,8.8,.496,19.4,,.176
61,Davidson,30,25,5,.833,9.47,-4.90,14,0,,,,,2528,2047,,,,.435,.261,.563,51.9,56.4,,7.9,.524,18.0,,.313
62,Dayton,29,15,14,.517,-0.16,-0.64,6,10,,,,,2045,2031,,,,.451,.296,.533,55.3,56.0,,7.0,.504,22.3,,.287
63,Delaware State,28,11,17,.393,-23.95,-12.13,8,8,,,,,1979,2297,,,,.339,.263,.468,46.3,47.5,,5.3,.437,18.3,,.213
64,Delaware,27,15,12,.556,0.26,-3.38,11,7,,,,,2003,1827,,,,.365,.245,.564,50.9,57.9,,8.9,.527,19.8,,.270
65,DePaul,29,11,18,.379,6.20,7.93,2,12,,,,,2036,2086,,,,.217,.286,.505,48.2,55.3,,7.9,.485,16.3,,.145
66,Detroit Mercy,29,18,11,.621,2.67,-0.04,8,8,,,,,1955,1862,,,,.418,.195,.510,52.8,51.1,,9.3,.470,17.6,,.281
67,Drake,27,12,15,.444,-0.74,2.74,8,10,,,,,1876,1970,,,,.446,.290,.514,45.5,49.8,,8.6,.488,17.7,,.270
68,Drexel NCAA,31,27,4,.871,10.97,-5.06,17,1,,,,,2560,2056,,,,.446,.335,.578,53.9,59.6,,5.4,.541,16.1,,.319
69,Duke NCAA,31,18,13,.581,16.06,10.48,8,8,,,,,2336,2163,,,,.339,.330,.539,49.5,52.9,,8.7,.507,16.1,,.238
70,Duquesne,27,9,18,.333,-0.06,3.87,3,13,,,,,2017,2123,,,,.325,.270,.518,45.3,58.4,,7.4,.489,17.8,,.216
71,East Carolina,28,17,11,.607,-2.82,-3.08,8,8,,,,,1933,1911,,,,.426,.284,.525,53.4,54.5,,8.5,.487,19.4,,.287
72,East Tennessee State,27,7,20,.259,-12.63,-2.35,3,11,,,,,1992,2212,,,,.337,.276,.518,47.5,48.0,,7.1,.489,19.3,,.224
