,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,26,8,18,.308,-6.27,2.41,3,15,,,,,1813,1923,,,,.423,.282,.507,47.8,45.8,,11.0,.459,15.6,,.299
2,Akron,26,8,18,.308,-8.14,-2.22,2,16,,,,,1601,,,,,.338,.238,.466,,56.5,,,.436,,,.210
3,Alabama-Birmingham NCAA,30,22,8,.733,14.71,3.51,8,4,,,,,2142,1806,,,,.319,.298,.524,50.4,49.1,,6.9,.495,14.9,,.217
4,Alabama State,29,19,10,.655,-8.33,-12.09,10,4,,,,,2444,2329,,,,.409,.160,.528,53.0,43.9,,4.8,.495,15.8,,.273
5,Alabama NCAA,30,20,10,.667,10.19,6.06,12,4,,,,,2208,2084,,,,.411,.266,.525,52.5,49.8,,12.2,.492,19.5,,.270
6,Alcorn State,27,3,24,.111,-25.14,-8.78,3,11,,,,,2015,2410,,,,.301,.244,.491,42.4,38.7,,3.7,.464,18.4,,.193
7,American,27,8,19,.296,-9.58,-2.18,5,9,,,,,2049,2249,,,,.365,.240,.497,48.4,52.3,,6.0,.464,16.8,,.239
8,Appalachian State,27,16,11,.593,-2.44,-2.71,12,6,,,,,2070,2055,,,,.381,.279,.548,46.6,51.7,,9.8,.519,16.8,,.256
9,Arizona State,28,15,13,.536,9.55,7.80,10,8,,,,,2158,2109,,,,.381,.363,.528,48.7,51.0,,6.6,.499,17.2,,.250
10,Arizona NCAA,35,29,6,.829,23.70,8.84,14,4,,,,,3124,2604,,,,.386,.344,.577,51.9,52.4,,6.3,.545,15.1,,.275
11,Little Rock,28,13,15,.464,-2.24,-2.99,6,12,,,,,2057,2030,,,,.423,.257,.506,52.7,49.4,,6.7,.462,17.5,,.293
12,Arkansas State,27,15,12,.556,-0.20,-2.31,10,8,,,,,1839,1782,,,,.387,.353,.492,48.9,59.7,,7.9,.455,18.5,,.254
13,Arkansas NCAA,34,31,3,.912,23.88,7.55,14,2,,,,,3176,2569,,,,.353,.329,.576,50.7,59.5,,8.6,.552,16.3,,.240
14,Army,27,7,20,.259,-17.48,-7.60,4,10,,,,,2095,2310,,,,.458,.294,.524,50.2,48.1,,3.3,.482,18.4,,.312
15,Auburn,28,11,17,.393,7.95,7.17,3,13,,,,,2288,2266,,,,.361,.284,.578,52.6,53.5,,5.0,.560,19.8,,.236
16,Austin Peay,27,11,16,.407,-8.74,-4.39,10,6,,,,,2156,2209,,,,.430,.219,.528,51.7,49.0,,8.4,.496,18.7,,.278
17,Ball State,28,16,12,.571,1.28,-0.53,11,7,,,,,2081,2022,,,,.338,.219,.557,51.7,57.7,,4.9,.531,19.7,,.231
18,Baylor,27,16,11,.593,0.79,-0.99,7,7,,,,,2308,2260,,,,.401,.287,.508,54.1,55.8,,8.7,.468,16.8,,.274
19,Bethune-Cookman,27,9,18,.333,-17.62,-8.58,8,8,,,,,1916,2160,,,,.405,.277,.469,48.0,43.6,,5.5,.433,20.1,,.253
20,Boise State NCAA,30,17,13,.567,2.03,0.25,7,7,,,,,2174,2071,,,,.364,.179,.521,50.4,61.3,,11.5,.504,18.9,,.215
21,Boston College NCAA,34,23,11,.676,16.80,9.83,11,7,,,,,2658,2381,,,,.392,.289,.559,51.1,56.8,,4.4,.529,16.3,,.267
22,Boston University,27,11,16,.407,-9.20,-6.98,4,10,,,,,2013,2076,,,,.416,.257,.543,51.6,59.0,,12.8,.518,20.8,,.263
23,Bowling Green State,28,18,10,.643,4.08,0.08,12,6,,,,,2033,1883,,,,.431,.235,.572,51.9,54.2,,6.5,.540,18.4,,.299
24,Bradley,31,23,8,.742,2.65,-1.15,14,4,,,,,2140,2008,,,,.436,.262,.536,50.8,57.0,,6.2,.508,19.5,,.277
25,Brigham Young,32,22,10,.688,7.58,3.52,12,6,,,,,2540,2382,,,,.495,.250,.578,52.4,55.0,,8.6,.532,17.7,,.364
26,Brown,26,12,14,.462,-12.43,-5.74,6,8,,,,,1684,1858,,,,.346,.282,.493,48.1,58.8,,6.3,.456,18.9,,.236
27,Bucknell,27,10,17,.370,-9.44,-8.86,6,8,,,,,2243,2218,,,,.380,.265,.531,50.7,43.1,,9.1,.487,17.9,,.279
28,Buffalo,28,10,18,.357,-13.83,-7.61,3,2,,,,,1972,2131,,,,.322,.121,.464,47.7,46.3,,9.0,.442,18.1,,.186
29,Butler,29,16,13,.552,1.51,-0.03,6,4,,,,,2167,2104,,,,.499,.217,.544,53.4,52.6,,3.5,.497,19.8,,.352
30,Cal State Fullerton,27,8,19,.296,-5.35,0.17,6,12,,,,,1943,2055,,,,.452,.268,.518,50.2,51.9,,6.4,.482,19.6,,.293
31,Cal State Northridge,26,8,18,.308,-10.72,-1.20,,,,,,,1897,2124,,,,.386,.219,.526,45.5,56.0,,4.0,.483,20.1,,.278
32,UC-Irvine,30,10,20,.333,-4.67,0.43,4,14,,,,,2369,2489,,,,.445,.343,.535,47.9,54.4,,7.0,.504,19.6,,.290
33,UC-Santa Barbara,30,13,17,.433,-2.80,0.71,9,9,,,,,2008,2093,,,,.456,.253,.522,53.1,63.0,,9.1,.491,21.6,,.287
34,University of California NCAA,30,22,8,.733,14.24,7.14,13,5,,,,,2358,2145,,,,.424,.293,.548,49.9,63.2,,9.4,.516,16.9,,.284
35,Campbell,29,20,9,.690,-5.00,-8.70,13,5,,,,,2101,1928,,,,.356,.316,.528,50.4,64.6,,6.3,.502,17.9,,.230
36,Canisius,29,22,7,.759,2.79,-3.59,12,2,,,,,2305,2120,,,,.376,.325,.567,49.9,65.7,,6.4,.537,19.0,,.264
37,Centenary (LA),28,16,12,.571,-5.51,-7.86,8,8,,,,,2283,2155,,,,.365,.343,.525,48.0,53.8,,8.4,.499,16.3,,.234
38,Central Connecticut State,26,4,22,.154,-29.36,-8.28,0,5,,,,,1929,2350,,,,.326,.367,.483,46.7,57.4,,5.6,.453,23.0,,.209
39,Central Florida NCAA,30,21,9,.700,-6.25,-7.82,11,5,,,,,2418,2318,,,,.398,.219,.538,52.6,53.1,,8.3,.505,16.5,,.271
40,Central Michigan,26,5,21,.192,-12.80,-0.44,4,14,,,,,1494,1807,,,,.341,.209,.468,48.2,56.3,,7.9,.441,21.3,,.206
41,Charleston Southern,27,9,18,.333,-11.43,-7.01,7,11,,,,,2250,2297,,,,.299,.263,.512,49.4,45.3,,4.2,.484,17.8,,.203
42,Charlotte,29,16,13,.552,8.15,5.88,7,5,,,,,2018,1956,,,,.381,.278,.500,50.6,59.9,,12.4,.461,16.9,,.260
43,Chattanooga NCAA,30,23,7,.767,1.98,-1.77,14,4,,,,,2451,2309,,,,.459,.342,.577,49.2,55.4,,5.8,.538,16.8,,.328
