,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
44,Chicago State,27,4,23,.148,-21.84,-3.27,2,3,,,,,2116,2587,,,,.322,.307,.512,41.5,42.2,,3.7,.482,17.6,,.217
45,Cincinnati NCAA,32,22,10,.688,15.30,6.18,7,5,,,,,2485,2193,,,,.370,.344,.525,54.4,50.1,,6.7,.491,16.8,,.253
46,Citadel,27,11,16,.407,-6.58,-3.78,6,12,,,,,1871,1873,,,,.356,.296,.510,50.0,47.9,,6.5,.477,18.8,,.238
47,Clemson,34,18,16,.529,9.17,6.82,6,10,,,,,2557,2477,,,,.387,.352,.544,52.8,60.8,,10.4,.519,19.5,,.251
48,Cleveland State,29,14,15,.483,-4.76,-1.76,9,9,,,,,2089,2166,,,,.387,.197,.493,50.9,53.1,,5.7,.459,19.8,,.248
49,Coastal Carolina,26,15,11,.577,-8.53,-7.36,10,8,,,,,1984,1967,,,,.346,.362,.542,48.7,49.8,,7.0,.511,12.9,,.242
50,Colgate,29,17,12,.586,-6.28,-9.62,9,5,,,,,2360,2263,,,,.365,.326,.551,48.3,49.8,,8.8,.507,15.3,,.280
51,College of Charleston NCAA,28,24,4,.857,4.54,-5.76,14,2,,,,,2147,1833,,,,.426,.245,.567,50.4,55.8,,8.0,.544,16.5,,.276
52,Colorado State,28,15,13,.536,4.59,2.09,8,10,,,,,2153,2007,,,,.378,.333,.541,48.0,61.4,,8.4,.502,15.2,,.272
53,Colorado,27,10,17,.370,0.03,5.29,2,12,,,,,1992,2134,,,,.439,.182,.495,49.8,57.9,,12.3,.453,18.6,,.289
54,Columbia,26,6,20,.231,-19.13,-7.29,4,10,,,,,1555,1836,,,,.394,.154,.475,48.3,61.9,,10.3,.432,23.4,,.264
55,Connecticut NCAA,34,29,5,.853,22.63,6.31,16,2,,,,,2888,2333,,,,.398,.246,.575,54.1,60.1,,14.0,.541,17.3,,.287
56,Coppin State,30,22,8,.733,2.88,-7.09,16,0,,,,,2277,1924,,,,.362,.357,.542,49.7,53.3,,12.8,.504,16.8,,.263
57,Cornell,26,8,18,.308,-15.15,-4.74,3,11,,,,,1716,1890,,,,.304,.281,.492,50.2,56.4,,4.6,.463,20.1,,.200
58,Creighton,29,7,22,.241,-9.76,-0.02,3,15,,,,,1898,2151,,,,.394,.272,.479,49.1,65.6,,5.9,.439,20.9,,.259
59,Dartmouth,26,10,16,.385,-13.25,-7.05,6,8,,,,,1730,1853,,,,.351,.233,.516,48.9,61.0,,7.4,.483,20.6,,.238
60,Davidson,30,22,8,.733,1.45,-2.91,13,5,,,,,2294,2113,,,,.426,.286,.577,53.6,52.3,,5.8,.534,19.4,,.320
61,Dayton,27,6,21,.222,-3.32,4.42,1,11,,,,,1945,2129,,,,.311,.419,.509,46.4,57.2,,3.1,.486,19.2,,.197
62,Delaware State,27,8,19,.296,-20.07,-8.75,5,11,,,,,1929,1190,,,,.422,.303,.470,49.0,49.6,,6.1,.443,21.5,,.244
63,Delaware,27,14,13,.519,-5.62,-6.18,7,7,,,,,1967,1906,,,,.302,.264,.529,52.2,52.8,,4.7,.503,19.0,,.203
64,DePaul,28,16,12,.571,11.02,5.84,4,8,,,,,2194,2047,,,,.434,.242,.543,54.8,56.9,,7.4,.501,19.1,,.308
65,Detroit Mercy,29,16,13,.552,-0.06,1.78,5,5,,,,,2070,2109,,,,.458,.272,.515,53.8,50.8,,9.8,.485,19.8,,.284
66,Drake,27,11,16,.407,-2.20,0.49,6,12,,,,,2081,2125,,,,.379,.306,.523,48.4,50.2,,6.9,.489,18.2,,.256
67,Drexel NCAA,30,25,5,.833,3.31,-6.17,12,2,,,,,2295,1968,,,,.442,.306,.534,52.7,63.0,,4.8,.506,14.6,,.279
68,Duke NCAA,34,28,6,.824,19.21,8.92,12,4,,,,,2639,2289,,,,.408,.241,.566,50.6,55.7,,12.5,.530,17.1,,.290
69,Duquesne,30,17,13,.567,6.35,5.75,8,8,,,,,2159,2159,,,,.481,.253,.519,47.1,54.5,,11.4,.489,17.3,,.298
70,East Carolina,27,15,12,.556,0.10,-3.68,7,7,,,,,1992,1890,,,,.330,.288,.515,51.8,56.6,,7.0,.485,16.0,,.222
71,East Tennessee State,30,16,14,.533,-0.75,-1.50,13,5,,,,,2512,2430,,,,.375,.298,.507,49.7,39.6,,6.0,.485,16.8,,.224
72,Eastern Illinois,27,12,15,.444,-9.31,-4.24,7,11,,,,,1852,1971,,,,.399,.242,.499,50.9,53.7,,5.7,.463,19.2,,.260
73,Eastern Kentucky,27,13,14,.481,-3.83,-3.79,9,7,,,,,2223,2153,,,,.337,.282,.541,45.8,47.7,,5.4,.504,15.7,,.247
74,Eastern Michigan,27,15,12,.556,-1.69,-0.61,10,8,,,,,2065,2022,,,,.363,.258,.527,51.1,54.2,,4.0,.502,16.8,,.231
75,Eastern Washington,26,5,21,.192,-15.61,0.39,0,14,,,,,1749,2024,,,,.371,.229,.494,49.3,50.7,,6.0,.465,20.4,,.231
76,Evansville,32,21,11,.656,5.87,-1.57,6,4,,,,,2451,2158,,,,.429,.324,.580,51.4,67.6,,5.4,.549,18.7,,.297
77,Fairfield,27,8,19,.296,-8.27,-2.20,4,10,,,,,1929,2092,,,,.348,.268,.530,48.2,50.8,,8.4,.505,16.7,,.225
78,Fairleigh Dickinson,27,14,13,.519,-7.38,-5.80,10,8,,,,,1938,1973,,,,.476,.275,.503,52.1,42.8,,6.7,.474,18.9,,.286
79,Florida A&M,27,4,23,.148,-21.88,-8.07,2,14,,,,,1718,2064,,,,.402,.271,.439,45.3,36.7,,5.2,.406,22.3,,.234
80,Florida Atlantic,27,3,24,.111,-18.64,-0.52,0,0,,,,,1863,2341,,,,.329,.223,.484,46.6,41.2,,6.0,.449,19.5,,.222
81,Florida International,27,11,16,.407,-7.37,-5.37,7,9,,,,,1855,1909,,,,.451,.268,.502,52.8,58.5,,5.2,.474,20.1,,.272
82,Florida State,27,13,14,.481,9.37,7.22,6,10,,,,,2078,2020,,,,.349,.304,.520,51.5,49.6,,9.4,.492,17.8,,.229
83,Florida NCAA,37,29,8,.784,16.11,9.01,12,4,,,,,2777,2514,,,,.400,.251,.538,54.3,53.7,,10.1,.499,18.6,,.282
84,Fordham,27,12,15,.444,-10.60,-7.14,9,5,,,,,1922,1990,,,,.409,.165,.529,49.5,52.7,,7.9,.484,18.4,,.297
85,Fresno State,32,21,11,.656,5.38,3.00,13,5,,,,,2412,2308,,,,.399,.331,.580,50.5,69.4,,6.9,.548,17.7,,.283
86,Furman,28,10,18,.357,-8.68,-2.94,6,12,,,,,2014,2174,,,,.334,.294,.529,50.5,58.7,,6.3,.512,22.2,,.203
87,George Mason,27,10,17,.370,-9.91,-4.21,5,9,,,,,2385,2539,,,,.326,.294,.494,50.0,46.1,,6.0,.468,17.6,,.205
88,George Washington NCAA,30,18,12,.600,9.28,6.38,8,8,,,,,2078,1991,,,,.389,.309,.494,49.5,54.1,,9.8,.459,17.3,,.252
89,Georgetown NCAA,31,19,12,.613,17.42,12.07,10,8,,,,,2264,2036,,,,.476,.237,.518,53.2,55.6,,10.3,.467,19.5,,.337
90,Georgia Southern,28,14,14,.500,-4.74,-3.29,9,9,,,,,2111,2101,,,,.265,.277,.496,48.4,43.4,,4.4,.473,16.1,,.170
91,Georgia State,27,13,14,.481,-7.24,-7.78,9,7,,,,,1990,1949,,,,.455,.141,.503,50.3,54.2,,8.3,.471,19.8,,.280
92,Georgia Tech,29,16,13,.552,11.44,9.03,7,9,,,,,2200,2130,,,,.319,.293,.533,48.9,62.1,,6.9,.502,16.9,,.223
93,Georgia,30,14,16,.467,10.46,7.46,7,9,,,,,2396,2306,,,,.388,.244,.537,52.6,53.9,,9.4,.519,19.9,,.234
94,Gonzaga,30,22,8,.733,7.88,0.13,12,2,,,,,2449,2141,,,,.425,.262,.581,52.1,49.3,,4.7,.544,15.6,,.307
95,Grambling,27,9,18,.333,-20.83,-10.35,4,10,,,,,2186,2341,,,,.342,.152,.503,48.6,55.0,,3.8,.474,18.1,,.220
96,Green Bay NCAA,34,27,7,.794,9.80,-1.88,15,3,,,,,2258,1872,,,,.361,.236,.573,51.2,70.8,,6.8,.534,18.2,,.275
97,Hartford,28,16,12,.571,-2.53,-4.78,9,5,,,,,2139,2076,,,,.421,.196,.504,51.8,47.4,,8.0,.457,17.9,,.295
98,Harvard,26,9,17,.346,-12.43,-8.75,5,9,,,,,1769,1857,,,,.343,.265,.494,52.8,58.3,,5.6,.464,20.8,,.221
99,Hawaii NCAA,33,18,15,.545,1.62,4.14,11,7,,,,,2377,2460,,,,.324,.277,.514,48.6,60.0,,8.9,.488,17.3,,.212
100,Hofstra,29,9,20,.310,-17.58,-8.72,1,4,,,,,1968,2228,,,,.484,.138,.514,44.4,55.3,,6.2,.469,20.9,,.327
101,Holy Cross,28,14,14,.500,-10.51,-6.37,9,5,,,,,2343,2457,,,,.488,.268,.513,47.3,49.7,,10.2,.471,15.9,,.323
102,Houston,27,8,19,.296,-4.15,1.37,5,9,,,,,2074,2223,,,,.384,.264,.506,48.8,57.9,,5.6,.464,19.2,,.269
103,Howard,27,10,17,.370,-13.49,-9.37,7,9,,,,,1926,2014,,,,.509,.228,.481,51.5,45.5,,14.0,.447,21.9,,.300
104,Idaho State,27,18,9,.667,1.15,-1.31,10,4,,,,,2228,2071,,,,.525,.275,.545,50.4,53.9,,6.0,.503,17.9,,.355
105,Idaho,28,18,10,.643,1.53,-1.31,9,5,,,,,2036,1894,,,,.385,.254,.520,55.6,53.0,,10.1,.493,19.4,,.244
106,Illinois-Chicago,29,20,9,.690,3.49,-3.34,14,4,,,,,2466,2237,,,,.330,.310,.551,47.8,46.4,,7.8,.518,15.7,,.239
107,Illinois State,27,16,11,.593,4.05,0.68,12,6,,,,,1993,1900,,,,.440,.280,.532,49.3,68.4,,5.0,.498,18.1,,.290
108,Illinois NCAA,28,17,11,.607,18.96,9.75,10,8,,,,,2353,2095,,,,.421,.251,.564,54.7,58.0,,6.7,.526,15.2,,.302
109,Indiana State,26,4,22,.154,-10.99,0.36,3,15,,,,,1639,1934,,,,.445,.193,.483,47.9,58.2,,8.3,.437,20.1,,.296
110,Indiana NCAA,30,21,9,.700,15.92,12.05,12,6,,,,,2428,2312,,,,.451,.233,.581,51.4,62.9,,9.0,.537,18.6,,.338
111,Iona,27,7,20,.259,-11.84,-4.43,3,11,,,,,2025,2233,,,,.409,.161,.530,49.7,56.6,,8.6,.485,19.2,,.295
112,Iowa State,27,14,13,.519,14.01,6.16,4,10,,,,,2298,2055,,,,.418,.256,.583,52.1,61.3,,8.1,.540,17.5,,.317
113,Iowa,27,11,16,.407,11.42,9.68,5,13,,,,,2254,2207,,,,.460,.291,.527,53.0,61.1,,6.2,.492,18.8,,.301
114,Jackson State,29,19,10,.655,-3.10,-8.92,11,3,,,,,2352,2128,,,,.361,.207,.526,52.2,55.6,,9.1,.497,17.2,,.238
115,Jacksonville,28,17,11,.607,0.28,-2.47,11,7,,,,,2174,2097,,,,.422,.251,.522,50.5,50.3,,8.6,.489,16.9,,.276
116,James Madison NCAA,30,20,10,.667,2.20,-1.41,10,4,,,,,2498,2390,,,,.405,.283,.588,48.5,50.2,,7.8,.555,17.8,,.291
117,Kansas State,34,20,14,.588,8.58,6.53,4,10,,,,,2406,2336,,,,.345,.341,.497,51.9,52.3,,3.1,.464,19.9,,.229
118,Kansas NCAA,35,27,8,.771,20.69,8.60,9,5,,,,,2817,2392,,,,.409,.243,.541,53.9,61.2,,9.2,.517,17.8,,.259
119,Kent State,27,13,14,.481,-2.46,-1.17,8,10,,,,,1792,1834,,,,.432,.261,.525,50.9,59.8,,6.7,.480,20.3,,.307
120,Kentucky NCAA,34,27,7,.794,21.56,9.41,12,4,,,,,2952,2537,,,,.399,.390,.565,49.6,63.1,,13.2,.536,17.0,,.272
121,La Salle,27,11,16,.407,-0.88,2.89,4,6,,,,,1945,2041,,,,.331,.382,.496,46.3,51.8,,5.0,.464,14.9,,.220
122,Lafayette,28,9,19,.321,-14.05,-7.98,4,10,,,,,2127,2265,,,,.377,.254,.511,49.1,48.6,,5.1,.475,15.2,,.255
123,Lamar,27,10,17,.370,-5.01,-0.41,6,12,,,,,2015,2061,,,,.388,.308,.519,49.0,53.9,,2.6,.480,17.6,,.271
124,Lehigh,27,10,17,.370,-15.72,-8.34,6,8,,,,,2094,2274,,,,.406,.187,.537,46.7,53.9,,7.4,.500,18.2,,.282
125,Liberty NCAA,30,18,12,.600,-6.62,-6.98,12,6,,,,,2152,2091,,,,.383,.345,.548,49.5,64.5,,9.1,.511,19.3,,.274
126,Long Beach State,27,17,10,.630,0.41,-0.19,11,7,,,,,2167,2094,,,,.464,.305,.564,48.9,56.0,,8.1,.531,21.3,,.315
127,Long Island University,27,3,24,.111,-21.97,-5.56,2,16,,,,,1962,2405,,,,.424,.252,.457,43.2,46.0,,5.9,.410,17.2,,.278
128,Louisiana NCAA,30,22,8,.733,5.70,-1.02,13,5,,,,,2264,2157,,,,.341,.322,.538,44.1,51.8,,7.8,.502,14.8,,.246
129,Louisiana-Monroe,28,19,9,.679,-3.56,-6.82,15,3,,,,,2295,2192,,,,.304,.352,.559,49.3,55.0,,5.6,.537,16.9,,.205
130,Louisiana State,27,11,16,.407,7.21,8.47,5,11,,,,,2161,2195,,,,.360,.312,.510,48.9,47.8,,5.8,.480,17.0,,.235
131,Louisiana Tech,27,2,25,.074,-19.24,0.03,0,18,,,,,1637,2113,,,,.319,.169,.437,49.6,43.7,,3.8,.406,22.4,,.194
132,Louisville NCAA,34,28,6,.824,18.71,7.35,10,2,,,,,2726,2339,,,,.388,.298,.562,51.1,56.5,,11.2,.542,17.4,,.247
133,Loyola (IL),27,8,19,.296,-8.01,0.41,1,9,,,,,1848,2038,,,,.336,.240,.501,46.0,56.5,,6.8,.483,19.4,,.197
134,Loyola Marymount,27,6,21,.222,-8.73,1.98,4,10,,,,,2132,2429,,,,.416,.304,.539,46.1,53.5,,7.6,.500,22.8,,.290
135,Loyola (MD) NCAA,30,17,13,.567,-3.04,-3.01,6,8,,,,,2359,2361,,,,.443,.284,.529,50.2,57.6,,3.7,.488,19.5,,.305
136,Maine,29,20,9,.690,-2.14,-6.69,11,3,,,,,2414,2258,,,,.362,.182,.509,52.4,52.1,,7.8,.481,17.6,,.232
137,Manhattan,30,20,10,.667,5.53,-3.14,10,4,,,,,2262,2002,,,,.366,.261,.539,54.3,52.6,,8.5,.507,19.5,,.252
138,Marist,27,14,13,.519,-7.09,-8.09,10,8,,,,,2112,2090,,,,.450,.280,.532,52.2,49.4,,7.7,.482,17.5,,.328
139,Marquette NCAA,33,24,9,.727,15.64,8.02,10,2,,,,,2298,2040,,,,.371,.289,.537,51.9,70.8,,13.8,.507,16.8,,.251
140,Marshall,27,9,18,.333,-12.12,-2.04,7,11,,,,,1990,2219,,,,.333,.287,.517,49.2,39.3,,6.3,.487,22.9,,.223
141,Maryland-Baltimore County,27,6,21,.222,-13.38,-5.61,5,13,,,,,1969,2151,,,,.384,.264,.499,49.5,50.6,,9.8,.466,19.1,,.249
142,Maryland-Eastern Shore,28,16,12,.571,-12.74,-11.38,10,6,,,,,2050,2018,,,,.376,.220,.517,48.2,45.9,,7.2,.488,17.8,,.242
143,Maryland NCAA,30,18,12,.600,14.07,7.34,8,8,,,,,2399,2197,,,,.403,.211,.530,51.0,57.8,,13.3,.494,19.1,,.275
144,Massachusetts NCAA,35,28,7,.800,16.78,6.30,14,2,,,,,2674,2307,,,,.443,.228,.513,52.6,55.4,,13.2,.481,16.8,,.280
145,McNeese State,27,11,16,.407,-8.88,-5.56,9,9,,,,,1903,1922,,,,.317,.315,.499,53.8,52.3,,8.9,.476,18.4,,.197
146,Memphis,29,13,16,.448,5.41,5.93,4,8,,,,,2092,2105,,,,.315,.248,.507,51.4,59.2,,15.7,.475,20.2,,.216
147,Mercer,29,5,24,.172,-15.66,-1.59,3,13,,,,,1893,2256,,,,.411,.265,.494,48.4,49.0,,7.7,.451,20.6,,.279
148,Miami (FL),27,7,20,.259,-1.79,6.32,0,18,,,,,1690,1909,,,,.310,.281,.484,50.9,64.7,,12.2,.464,23.3,,.181
149,Miami (OH),30,19,11,.633,6.14,0.56,12,6,,,,,2291,2092,,,,.343,.348,.546,50.7,51.7,,7.6,.526,17.3,,.217
150,Michigan State NCAA,32,20,12,.625,15.67,10.70,10,8,,,,,2426,2267,,,,.302,.224,.566,53.8,54.4,,6.6,.546,19.2,,.202
151,Michigan NCAA,32,24,8,.750,17.91,12.04,13,5,,,,,2542,2352,,,,.334,.250,.554,53.1,54.6,,6.8,.530,17.7,,.225
152,Middle Tennessee,27,8,19,.296,-10.81,-4.77,5,11,,,,,1929,2055,,,,.334,.223,.475,46.6,43.0,,4.6,.438,17.1,,.226
153,Milwaukee,27,10,17,.370,-9.46,-4.38,7,11,,,,,1858,2003,,,,.367,.330,.500,46.0,55.9,,8.9,.450,16.0,,.274
154,Minnesota NCAA,35,22,13,.629,19.14,10.14,10,8,,,,,2602,2312,,,,.334,.249,.536,52.6,63.1,,6.4,.504,15.3,,.233
155,Mississippi State,29,18,11,.621,10.66,7.38,9,7,,,,,2185,2059,,,,.449,.263,.524,51.2,58.2,,11.2,.498,20.4,,.276
156,Mississippi Valley State,27,10,17,.370,-16.00,-8.87,6,8,,,,,2216,2396,,,,.319,.273,.482,49.4,47.0,,7.8,.461,15.0,,.187
157,Mississippi,27,14,13,.519,3.13,7.80,7,9,,,,,1940,1992,,,,.439,.193,.486,51.1,52.3,,13.1,.452,21.0,,.271
158,Missouri-Kansas City,29,12,17,.414,-5.53,-1.24,,,,,,,2075,2189,,,,.438,.238,.525,49.0,50.5,,7.5,.479,18.3,,.310
159,Missouri State,27,12,15,.444,0.14,0.14,7,11,,,,,1690,1690,,,,.342,.251,.492,52.6,58.7,,4.2,.459,19.5,,.226
160,Missouri NCAA,32,28,4,.875,15.65,8.26,14,0,,,,,2593,2361,,,,.444,.293,.545,50.5,54.8,,7.4,.509,16.7,,.302
161,Monmouth,29,18,11,.621,-6.91,-7.64,13,5,,,,,2206,2185,,,,.433,.248,.563,49.5,60.5,,8.3,.526,20.9,,.306
162,Montana State,27,16,11,.593,-0.44,-1.90,8,6,,,,,2174,2045,,,,.346,.256,.525,49.0,57.7,,6.4,.492,16.7,,.239
163,Montana,28,19,9,.679,3.90,-2.98,6,8,,,,,2138,1901,,,,.487,.237,.558,52.8,67.2,,10.1,.527,18.8,,.320
164,Morehead State,28,14,14,.500,-9.02,-3.60,8,8,,,,,2316,2431,,,,.445,.368,.555,48.7,56.0,,2.7,.508,18.8,,.329
165,Morgan State,29,8,21,.276,-16.60,-8.42,4,12,,,,,2072,2309,,,,.311,.230,.474,51.0,45.0,,8.1,.454,22.4,,.180
166,Mount St. Mary's,28,14,14,.500,-7.30,-8.37,9,9,,,,,2232,2203,,,,.342,.270,.519,49.0,56.8,,10.9,.488,17.4,,.230
167,Murray State,29,23,6,.793,3.77,-4.89,15,1,,,,,2611,2310,,,,.416,.270,.553,50.5,37.2,,10.9,.521,14.7,,.283
168,Navy NCAA,30,17,13,.567,-7.74,-8.84,9,5,,,,,2248,2207,,,,.418,.266,.533,53.2,57.4,,6.6,.508,19.4,,.262
169,Nebraska NCAA,30,20,10,.667,13.54,6.84,7,7,,,,,2620,2419,,,,.349,.285,.568,50.8,60.8,,8.7,.532,17.1,,.260
170,Nevada-Las Vegas,28,15,13,.536,0.87,0.46,10,8,,,,,2182,2137,,,,.480,.305,.519,48.9,56.7,,6.3,.475,17.7,,.325
171,Nevada,28,11,17,.393,-4.71,0.36,6,12,,,,,2071,2203,,,,.317,.292,.524,47.8,59.9,,8.0,.493,18.4,,.220
172,New Hampshire,28,15,13,.536,-7.07,-6.32,8,6,,,,,2038,2059,,,,.368,.300,.530,49.4,57.9,,6.9,.494,20.7,,.257
173,New Mexico State NCAA,31,23,8,.742,6.26,-0.60,12,6,,,,,2500,2214,,,,.433,.304,.522,52.2,56.6,,9.7,.506,18.9,,.248
174,New Mexico NCAA,31,23,8,.742,9.55,0.93,14,4,,,,,2410,2092,,,,.381,.437,.570,52.0,50.7,,8.2,.534,15.6,,.279
175,New Orleans,30,20,10,.667,4.75,0.06,12,6,,,,,2130,1958,,,,.449,.237,.539,50.6,54.2,,10.4,.497,16.2,,.314
176,Niagara,27,6,21,.222,-13.44,-2.92,3,11,,,,,1786,2070,,,,.379,.293,.485,47.9,51.1,,4.3,.452,21.9,,.240
