,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
35,UC-Santa Barbara,28,15,13,.536,-2.74,-3.16,12,4,,,,,1971,1942,,,99.0,.335,.232,.509,52.1,61.4,11.9,5.4,.483,18.3,37.1,.215
36,University of California,33,22,11,.667,11.94,7.85,8,10,,,,,2406,2267,,,99.5,.410,.188,.501,48.5,48.2,11.5,9.1,.461,15.9,34.5,.275
37,Campbell,27,9,18,.333,-16.27,-7.63,6,10,,,,,1721,1934,,,94.7,.287,.364,.519,48.0,60.5,8.5,7.8,.495,21.8,33.6,.191
38,Canisius,27,15,12,.556,-7.03,-4.77,11,7,,,,,1918,1979,,,103.0,.421,.260,.540,48.5,63.3,8.8,7.3,.500,19.4,37.3,.295
39,Centenary (LA),28,14,14,.500,-10.73,-7.13,9,7,,,,,1765,1853,,,,.437,.282,.521,48.5,48.4,,6.8,.479,19.7,,.300
40,Central Connecticut State,32,19,13,.594,-7.37,-10.40,11,9,,,,,2263,2182,,,101.1,.406,.208,.517,52.2,52.8,12.5,10.7,.480,19.2,40.2,.273
41,Central Florida,29,19,10,.655,-2.21,-5.29,13,3,,,,,2107,2009,,,103.6,.344,.311,.552,52.1,55.0,10.0,8.6,.521,20.8,39.4,.243
42,Central Michigan,26,10,16,.385,-3.10,0.62,7,11,,,,,1824,1879,,,96.6,.456,.283,.528,48.0,56.0,10.1,7.8,.482,20.1,30.3,.321
43,Charleston Southern,28,12,16,.429,-14.36,-7.88,4,6,,,,,2022,2149,,,96.5,.467,.227,.541,48.9,50.2,12.9,9.5,.498,22.2,33.6,.325
44,Charlotte NCAA,34,23,11,.676,10.54,7.13,10,6,,,,,2336,2220,,,103.5,.390,.353,.518,50.8,54.5,10.7,7.8,.483,17.0,37.7,.262
45,Chattanooga,28,16,12,.571,-4.25,-5.75,9,7,,,,,1898,1820,,,102.2,.369,.301,.523,51.7,55.4,10.1,9.4,.488,18.9,38.5,.253
46,Chicago State,27,3,24,.111,-21.53,-0.41,3,11,,,,,1475,2026,,,79.6,.221,.334,.419,44.8,54.2,11.2,7.3,.395,20.1,32.0,.136
47,Cincinnati NCAA,33,27,6,.818,19.95,7.70,12,4,,,,,2440,2020,,,109.9,.379,.265,.539,54.5,52.2,11.5,11.7,.507,17.4,42.7,.257
48,Citadel,27,9,18,.333,-18.06,-7.19,3,13,,,,,1693,1821,,,92.5,.355,.361,.513,47.4,56.1,10.9,7.5,.488,21.8,30.8,.222
49,Clemson,35,20,15,.571,13.44,6.59,5,11,,,,,2508,2263,,,106.9,.440,.348,.543,56.0,60.1,9.7,10.1,.520,18.8,41.0,.273
50,Cleveland State,28,14,14,.500,-1.73,0.27,6,8,,,,,1978,1996,,,100.0,.449,.264,.525,52.9,51.6,11.1,7.3,.492,20.9,45.7,.289
51,Coastal Carolina,27,7,20,.259,-20.40,-8.35,4,6,,,,,1935,2169,,,95.9,.322,.325,.518,47.1,49.6,11.4,4.3,.486,21.6,36.2,.222
52,Colgate,28,14,14,.500,-8.07,-7.22,7,5,,,,,1826,1799,,,94.1,.434,.218,.511,50.9,52.1,12.2,5.4,.478,21.3,34.6,.277
53,College of Charleston NCAA,31,28,3,.903,6.02,-6.59,16,0,,,,,2258,1834,,,109.1,.381,.224,.562,54.8,52.8,13.7,17.0,.529,18.2,40.1,.269
54,Colorado State,30,19,11,.633,8.64,3.02,7,7,,,,,2168,1991,,,104.3,.429,.327,.541,48.6,53.1,11.5,10.3,.509,17.1,31.5,.286
55,Colorado,33,18,15,.545,7.15,4.86,7,9,,,,,2411,2257,,,98.8,.383,.312,.504,49.2,57.4,11.5,9.7,.468,16.9,32.0,.254
56,Columbia,26,10,16,.385,-14.50,-6.62,5,9,,,,,1520,1692,,,90.4,.390,.354,.501,45.0,57.6,14.0,5.2,.472,19.7,25.5,.245
57,Connecticut NCAA,36,34,2,.944,24.74,8.80,16,2,,,,,2781,2207,,,109.4,.411,.240,.551,54.9,55.9,11.3,9.6,.508,17.2,41.1,.301
58,Coppin State,29,15,14,.517,-6.87,-6.98,14,4,,,,,1992,1989,,,97.1,.428,.359,.503,49.8,52.3,11.3,7.6,.454,19.4,36.4,.302
59,Cornell,26,11,15,.423,-9.69,-7.57,6,8,,,,,1667,1710,,,96.5,.332,.306,.504,53.1,50.5,9.9,11.5,.479,19.8,36.0,.209
60,Creighton NCAA,31,22,9,.710,12.24,4.86,11,7,,,,,2357,2128,,,109.2,.415,.352,.560,54.3,56.4,13.3,8.7,.522,18.5,39.7,.297
61,Dartmouth,26,14,12,.538,-9.80,-6.96,10,4,,,,,1673,1727,,,96.4,.345,.364,.519,49.9,58.3,8.6,8.9,.483,20.0,30.7,.243
62,Davidson,27,16,11,.593,-1.47,-5.64,11,5,,,,,2058,1844,,,106.0,.368,.337,.550,53.2,61.2,12.6,7.2,.524,19.4,38.6,.244
63,Dayton,28,11,17,.393,5.21,5.42,5,11,,,,,1900,1906,,,97.0,.386,.331,.498,49.4,55.7,10.4,6.7,.449,18.8,36.1,.281
64,Delaware State,27,8,19,.296,-20.10,-11.87,5,13,,,,,2007,2203,,,97.8,.412,.343,.527,47.3,47.2,10.3,8.0,.483,21.6,36.9,.284
65,Delaware NCAA,31,25,6,.806,1.64,-7.88,15,3,,,,,2394,2099,,,106.0,.409,.313,.565,49.5,54.3,10.4,10.2,.526,17.7,30.0,.297
66,Denver,27,10,17,.370,-10.06,-4.09,,,,,,,1988,2149,,,97.4,.305,.336,.514,48.0,57.4,6.3,7.9,.477,17.6,28.4,.222
67,DePaul,31,18,13,.581,9.07,7.88,10,6,,,,,2253,2216,,,104.5,.353,.293,.508,53.4,49.4,11.5,4.0,.475,17.5,43.7,.238
