,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,33,27,6,.818,-1.28,-8.10,14,4,13,2,10,4,2458,2082,,67.3,109.8,.340,.343,.569,50.9,58.4,12.9,8.1,.540,15.5,29.4,.243
2,Air Force,32,14,18,.438,-3.93,0.59,8,10,9,6,3,9,2179,2294,,67.4,99.5,.283,.401,.540,50.1,54.1,7.0,5.8,.517,17.3,23.7,.192
3,Akron,33,17,16,.515,5.21,1.44,8,10,14,3,1,10,2271,2107,,68.5,100.1,.277,.477,.515,48.2,50.1,8.2,8.9,.485,15.0,25.3,.195
4,Alabama A&M,32,5,27,.156,-19.25,-8.40,4,14,4,7,0,18,1938,2285,,67.5,88.7,.251,.319,.479,47.0,52.2,10.7,4.6,.458,19.4,27.6,.157
5,Alabama-Birmingham,34,20,14,.588,0.82,-1.27,10,8,11,5,6,5,2392,2287,,66.4,105.2,.313,.348,.537,52.6,44.9,9.5,7.5,.512,14.8,30.4,.210
6,Alabama State,31,12,19,.387,-15.64,-7.88,9,9,8,3,3,13,2086,2235,,69.6,96.0,.388,.382,.500,48.9,44.0,9.3,9.3,.465,17.8,30.9,.253
7,Alabama,33,18,15,.545,10.26,9.77,8,10,10,5,4,8,2369,2353,,69.9,102.8,.385,.367,.534,52.2,48.5,6.6,11.6,.503,16.8,31.3,.257
8,Albany (NY),32,12,20,.375,-9.17,-6.50,7,9,6,8,6,10,2150,2216,,66.7,99.2,.322,.451,.533,49.8,55.2,9.0,7.1,.494,18.4,27.1,.240
9,Alcorn State,31,10,21,.323,-22.11,-9.00,6,12,10,3,0,17,1995,2194,,68.8,93.2,.316,.375,.504,49.9,55.1,10.7,9.8,.473,19.9,30.1,.213
10,American,30,15,15,.500,-4.01,-7.05,9,9,8,7,6,8,2161,2070,,67.7,104.7,.358,.355,.562,50.4,51.4,10.7,11.0,.533,16.7,26.1,.250
11,Appalachian State,32,11,21,.344,-3.57,0.26,6,12,9,5,2,12,2557,2539,,73.7,107.6,.364,.420,.562,48.6,46.1,7.2,6.8,.529,15.5,26.5,.261
12,Arizona State NCAA,32,22,10,.688,10.46,5.71,12,6,13,3,6,5,2490,2338,,72.1,106.2,.436,.357,.542,53.1,51.1,8.5,9.7,.508,15.9,32.4,.292
13,Arizona,32,17,15,.531,8.36,6.36,8,10,12,5,4,7,2269,2205,,68.6,102.6,.333,.376,.526,50.5,50.0,7.5,6.6,.490,14.7,28.4,.240
14,Little Rock,31,10,21,.323,-4.64,-1.84,5,13,7,9,3,12,2301,2353,,72.7,101.2,.417,.344,.569,49.8,54.2,7.4,8.6,.545,19.9,24.1,.273
15,Arkansas-Pine Bluff,32,13,19,.406,-14.47,-8.21,10,8,8,2,4,17,2108,2269,,67.3,96.3,.417,.341,.522,49.4,50.8,9.9,9.4,.484,19.1,29.1,.282
16,Arkansas State,32,13,19,.406,-6.82,-0.96,7,11,10,4,2,13,2359,2475,,70.2,102.6,.379,.372,.525,51.5,45.6,8.0,11.8,.480,16.6,33.2,.278
17,Arkansas,32,17,15,.531,11.87,9.00,8,10,12,6,4,7,2415,2323,,71.8,104.2,.385,.372,.540,46.7,59.4,11.3,14.5,.510,16.0,28.5,.256
18,Army,32,13,19,.406,-7.35,-4.51,8,10,10,4,3,13,2268,2305,,71.7,98.9,.241,.442,.520,48.9,59.6,8.6,4.6,.497,14.7,21.8,.165
19,Auburn NCAA,35,26,9,.743,20.36,10.07,11,7,15,2,4,6,2785,2384,,69.3,114.0,.313,.493,.568,49.8,52.4,13.5,16.1,.541,14.7,33.0,.223
20,Austin Peay,33,22,11,.667,0.57,-4.43,13,5,10,2,8,7,2712,2413,,71.9,113.1,.342,.341,.566,51.7,46.7,10.5,9.2,.537,14.1,33.1,.242
21,Ball State,33,16,17,.485,3.74,1.55,6,12,7,7,8,7,2478,2362,,71.7,103.1,.375,.328,.556,51.5,47.9,9.0,8.9,.523,17.7,27.7,.263
22,Baylor NCAA,32,19,13,.594,12.87,8.40,10,8,13,5,5,6,2293,2150,,66.6,107.1,.326,.404,.536,54.5,54.3,9.2,13.9,.509,16.5,38.0,.220
23,Belmont NCAA,31,26,5,.839,8.56,-3.64,16,2,13,1,12,3,2710,2290,,74.4,116.6,.282,.440,.605,52.6,62.4,9.1,9.2,.582,13.8,25.6,.208
24,Bethune-Cookman,31,14,17,.452,-11.82,-9.58,9,7,11,4,3,12,2290,2245,,74.3,98.6,.363,.334,.514,52.1,53.2,10.1,8.8,.492,18.4,34.2,.221
25,Binghamton,33,10,23,.303,-13.69,-4.47,5,11,5,11,5,12,2152,2376,,67.3,96.9,.245,.428,.523,45.6,40.9,8.2,12.6,.505,16.6,21.4,.158
26,Boise State,33,13,20,.394,3.88,1.35,7,11,8,7,3,10,2364,2263,,66.5,106.9,.324,.397,.569,49.8,47.1,9.0,6.5,.539,15.4,23.7,.234
27,Boston College,31,14,17,.452,6.53,8.47,5,13,10,8,2,8,2196,2256,,68.4,101.9,.350,.380,.521,48.7,49.7,7.4,9.1,.485,15.2,28.6,.244
28,Boston University,33,15,18,.455,-6.40,-5.18,7,11,7,7,8,10,2385,2387,,68.1,105.8,.243,.332,.556,51.5,48.5,8.8,6.6,.537,16.5,28.7,.166
29,Bowling Green State,34,22,12,.647,4.54,1.17,12,6,14,2,5,8,2668,2496,,72.8,106.9,.354,.357,.535,53.5,45.2,9.1,7.7,.507,14.2,31.1,.237
30,Bradley NCAA,34,20,14,.588,-0.28,-1.46,9,9,10,6,5,8,2264,2209,,66.1,100.4,.359,.347,.531,50.9,51.9,8.1,11.6,.497,16.8,27.4,.249
31,Brigham Young,32,19,13,.594,6.45,3.61,11,5,13,3,5,8,2527,2436,,71.9,108.5,.400,.364,.566,49.0,54.9,8.7,8.8,.528,13.7,23.6,.290
32,Brown,30,19,11,.633,-0.11,-3.43,7,7,12,3,7,8,2209,2045,,72.7,100.5,.379,.400,.546,50.3,50.7,10.4,11.0,.510,17.4,24.1,.268
33,Bryant,30,10,20,.333,-14.99,-7.46,7,11,8,6,2,13,2088,2314,,69.2,100.6,.368,.421,.529,47.3,45.0,7.6,7.5,.490,16.3,26.7,.262
34,Bucknell,33,21,12,.636,0.78,-2.74,13,5,12,3,7,8,2534,2418,,71.4,107.2,.339,.459,.566,49.8,59.9,7.3,8.9,.530,15.5,25.5,.254
35,Buffalo NCAA,34,31,3,.912,16.00,2.18,16,2,14,0,12,3,2888,2398,,74.7,113.2,.322,.434,.561,52.5,55.5,9.8,10.5,.536,13.5,31.8,.223
36,Butler,32,16,16,.500,9.85,8.57,7,11,12,4,2,9,2298,2257,,67.2,106.0,.251,.426,.547,48.5,50.1,8.7,5.8,.519,14.3,25.6,.185
37,Cal Poly,29,6,23,.207,-13.70,-3.29,2,14,4,8,1,14,1930,2183,,66.8,97.5,.264,.401,.500,46.8,42.6,7.4,8.9,.477,14.8,26.1,.171
38,Cal State Bakersfield,31,16,15,.516,-4.66,-2.05,7,9,9,4,5,9,2211,2207,,67.5,104.4,.298,.336,.511,53.5,44.3,9.7,10.7,.484,15.9,38.1,.199
39,Cal State Fullerton,33,16,17,.485,-2.76,-0.79,10,6,9,3,4,11,2379,2348,,70.4,100.5,.380,.306,.541,50.4,46.7,8.2,8.6,.506,16.6,24.0,.267
40,Cal State Northridge,33,13,20,.394,-6.36,-3.36,7,9,7,9,4,10,2517,2609,,71.8,105.0,.324,.307,.538,48.1,52.5,8.7,11.4,.518,14.7,27.7,.206
41,California Baptist,30,16,14,.533,-3.77,-4.04,7,9,8,6,8,6,2348,2185,,70.3,109.5,.307,.430,.565,52.0,41.5,6.8,7.0,.527,14.9,28.3,.240
42,UC-Davis,31,11,20,.355,-5.98,-1.22,7,9,7,6,3,12,2038,2128,,67.0,96.5,.308,.370,.531,46.5,51.0,9.3,7.0,.500,17.7,21.5,.218
43,UC-Irvine NCAA,35,30,5,.857,5.87,-2.99,15,1,12,2,13,2,2551,2216,,66.3,108.4,.295,.321,.544,55.1,49.0,8.5,11.1,.517,14.9,34.3,.206
44,UC-Riverside,33,10,23,.303,-10.86,-2.92,4,12,7,7,2,14,2153,2279,,64.4,100.9,.236,.415,.542,50.5,53.7,7.7,5.4,.522,17.6,26.6,.161
45,UC-Santa Barbara,32,22,10,.688,-1.42,-5.35,10,6,12,3,7,6,2350,2114,,66.0,110.4,.381,.327,.547,54.8,52.2,7.5,9.2,.510,14.2,34.8,.273
46,University of California,31,8,23,.258,-3.08,5.50,3,15,7,9,1,10,2121,2387,,68.5,99.5,.348,.341,.525,44.6,45.3,10.7,9.9,.486,14.8,23.3,.251
47,Campbell,32,20,12,.625,-3.49,-4.80,12,4,12,4,5,7,2426,2244,,67.9,111.3,.315,.484,.573,48.0,55.8,9.6,10.1,.539,13.3,24.0,.238
48,Canisius,32,15,17,.469,-8.57,-4.64,11,7,5,8,9,5,2250,2376,,68.5,101.4,.314,.431,.534,47.3,58.4,9.2,9.7,.505,16.4,27.1,.217
49,Central Arkansas,33,14,19,.424,-11.00,-4.43,8,10,8,5,5,13,2383,2498,,72.0,99.5,.350,.412,.537,48.2,57.2,8.4,10.1,.498,17.7,25.1,.256
50,Central Connecticut State,31,11,20,.355,-13.80,-6.49,5,13,5,7,5,12,2205,2367,,70.4,99.4,.348,.336,.520,50.1,46.8,7.8,10.9,.469,16.8,29.9,.272
51,Central Florida NCAA,31,23,8,.742,12.49,4.65,13,5,15,2,5,5,2236,1993,,67.2,107.0,.464,.361,.554,51.5,53.7,8.5,12.4,.527,15.4,29.3,.300
52,Central Michigan,34,23,11,.676,3.45,-0.23,10,8,13,4,7,5,2810,2590,,73.3,110.7,.420,.375,.554,49.8,46.7,10.2,7.5,.523,14.0,31.8,.283
53,Charleston Southern,32,17,15,.531,-2.23,-4.27,9,7,11,4,4,10,2439,2230,,71.9,105.3,.277,.443,.530,50.9,52.7,10.9,10.1,.507,15.3,31.3,.187
54,Charlotte,29,8,21,.276,-8.12,-0.67,5,13,5,9,3,9,1776,1992,,65.8,93.0,.364,.427,.525,48.3,48.2,7.2,11.1,.481,19.8,21.9,.270
55,Chattanooga,32,12,20,.375,-7.54,-0.43,7,11,8,6,4,11,2268,2376,,69.5,101.6,.243,.423,.540,48.6,50.3,6.2,6.4,.520,16.3,24.4,.166
56,Chicago State,32,3,29,.094,-24.40,1.10,0,16,3,8,0,19,1970,2710,,72.0,85.5,.333,.268,.486,44.5,51.9,8.4,6.4,.451,20.2,22.2,.225
57,Cincinnati NCAA,34,28,6,.824,14.61,5.11,14,4,16,2,7,4,2438,2115,,64.9,109.7,.381,.331,.529,53.9,54.1,9.4,14.7,.490,13.4,37.2,.268
58,Citadel,30,12,18,.400,-7.74,0.22,4,14,8,7,4,10,2553,2584,,76.7,110.0,.260,.535,.565,47.7,51.5,8.7,10.6,.539,14.6,27.0,.192
59,Clemson,32,19,13,.594,15.06,9.85,9,9,13,4,4,6,2209,2042,,67.4,102.5,.327,.360,.547,52.7,49.8,9.6,13.2,.512,17.5,27.7,.240
60,Cleveland State,31,10,21,.323,-7.87,-1.42,5,13,8,9,2,12,2300,2437,,71.4,103.1,.319,.447,.545,47.5,57.6,7.8,8.3,.518,16.3,26.7,.218
61,Coastal Carolina,31,15,16,.484,-1.15,-1.98,9,9,9,4,5,10,2364,2265,,70.7,107.1,.409,.384,.559,52.8,50.9,8.9,8.0,.520,17.3,32.1,.294
62,Colgate NCAA,34,24,10,.706,1.04,-4.38,13,5,15,1,9,9,2578,2381,,67.9,110.5,.287,.405,.585,53.0,57.1,9.0,10.2,.558,16.7,29.6,.213
63,College of Charleston,33,24,9,.727,2.69,-2.62,12,6,13,2,8,5,2453,2265,,66.3,111.3,.338,.367,.581,50.4,44.1,9.8,7.3,.545,14.1,25.4,.259
64,Colorado State,32,12,20,.375,0.19,1.70,7,11,8,9,3,8,2393,2406,,68.9,108.1,.318,.397,.572,49.8,54.5,9.0,6.6,.548,15.1,24.5,.221
65,Colorado,33,21,12,.636,9.87,3.48,10,8,13,2,5,8,2439,2228,,69.5,106.0,.375,.350,.554,54.8,51.6,7.3,8.5,.513,16.8,31.3,.280
66,Columbia,28,10,18,.357,-4.93,-1.89,5,9,5,7,4,9,2059,2052,,69.4,102.3,.220,.381,.542,49.7,56.9,10.8,8.3,.521,16.1,25.6,.155
67,Connecticut,33,16,17,.485,6.74,4.26,6,12,13,5,1,8,2436,2354,,69.7,105.5,.327,.374,.538,50.7,48.3,8.7,11.9,.510,15.9,32.3,.223
68,Coppin State,33,8,25,.242,-18.75,-6.96,7,9,3,7,4,16,2118,2507,,71.9,88.5,.377,.460,.492,48.8,45.9,7.1,9.5,.454,20.5,25.5,.251
69,Cornell,30,15,15,.500,-5.52,-1.59,7,7,9,4,6,11,2060,2113,,69.5,97.5,.328,.429,.541,46.7,59.9,8.4,8.6,.507,17.1,18.6,.236
70,Creighton,32,18,14,.563,12.61,9.13,9,9,11,6,4,7,2520,2362,,70.2,110.5,.289,.472,.593,49.8,56.7,9.5,7.1,.575,16.5,24.8,.198
71,Dartmouth,30,11,19,.367,-5.52,-2.77,2,12,8,6,2,12,2160,2116,,68.3,104.6,.249,.411,.553,50.3,52.5,7.7,8.5,.528,15.6,24.3,.180
72,Davidson,33,24,9,.727,6.88,2.07,14,4,14,1,7,5,2328,2140,,65.9,106.6,.280,.467,.560,50.9,57.9,7.7,7.8,.530,14.9,23.7,.209
73,Dayton,32,21,11,.656,10.12,2.99,13,5,13,4,7,3,2333,2105,,66.2,108.9,.325,.345,.583,52.2,60.7,7.5,7.1,.561,16.8,26.7,.224
74,Delaware State,31,6,25,.194,-26.78,-10.09,2,14,3,9,2,15,1956,2371,,72.6,86.9,.249,.402,.446,46.7,47.9,9.5,5.9,.414,16.5,28.1,.169
75,Delaware,33,17,16,.515,-7.57,-4.48,8,10,9,7,7,8,2352,2380,,64.7,106.9,.312,.413,.567,48.8,51.2,6.8,6.5,.537,15.4,23.8,.227
76,Denver,30,8,22,.267,-11.68,-2.82,3,13,6,7,1,14,2086,2319,,69.1,100.3,.267,.361,.537,51.5,46.9,6.8,7.9,.504,17.4,26.7,.203
77,DePaul,30,15,15,.500,6.88,5.12,7,11,12,6,3,8,2306,2253,,71.0,107.8,.354,.332,.557,54.1,53.0,8.9,8.7,.524,16.7,32.8,.253
78,Detroit Mercy,31,11,20,.355,-6.24,-0.27,8,10,6,6,4,14,2279,2464,,70.4,104.3,.310,.440,.530,45.7,40.7,10.9,7.0,.497,14.2,28.8,.222
79,Drake,33,24,9,.727,3.30,-0.22,12,6,13,2,7,5,2490,2307,,69.4,107.1,.325,.401,.577,51.4,57.7,7.5,10.0,.544,16.8,25.3,.245
80,Drexel,32,13,19,.406,-6.69,-2.60,7,11,9,7,3,11,2425,2475,,70.0,108.3,.307,.352,.557,51.9,53.1,6.4,4.9,.522,14.8,29.0,.232
81,Duke NCAA,34,29,5,.853,28.39,12.45,14,4,15,2,7,2,2839,2297,,73.7,112.9,.346,.376,.561,53.9,52.2,12.8,16.4,.534,15.0,36.1,.238
82,Duquesne,32,19,13,.594,0.77,-0.39,10,8,14,4,4,6,2351,2314,,70.5,103.0,.350,.444,.532,48.2,54.7,11.0,12.1,.499,16.9,31.6,.243
83,East Carolina,31,10,21,.323,-5.61,1.20,3,15,8,9,1,11,2088,2299,,69.9,95.2,.356,.304,.499,47.9,51.0,10.2,10.0,.461,16.6,27.9,.243
84,East Tennessee State,33,24,9,.727,5.96,-1.53,13,5,13,2,8,6,2613,2269,,70.0,111.8,.308,.362,.570,57.5,52.8,10.5,11.9,.550,17.0,37.8,.205
85,Eastern Illinois,32,14,18,.438,-11.81,-5.01,7,11,7,6,5,10,2299,2457,,69.0,101.7,.285,.384,.530,49.2,52.5,8.8,10.7,.503,16.4,29.3,.196
86,Eastern Kentucky,31,13,18,.419,-7.41,-2.47,6,12,9,5,3,11,2562,2577,,79.9,101.3,.321,.392,.523,47.5,50.8,12.5,8.0,.488,15.4,27.7,.229
87,Eastern Michigan,32,15,17,.469,0.81,4.85,9,9,11,7,4,10,2203,2213,,66.5,102.3,.332,.348,.522,51.0,45.1,11.0,13.5,.500,17.3,35.6,.209
88,Eastern Washington,34,16,18,.471,-6.79,-4.19,12,8,9,4,4,13,2460,2527,,69.5,102.6,.268,.434,.535,49.9,53.3,8.3,8.6,.505,14.8,24.4,.195
89,Elon,32,11,21,.344,-11.14,-3.17,7,11,5,11,6,7,2266,2445,,69.0,101.9,.238,.506,.547,48.0,57.6,6.1,5.1,.527,16.6,23.6,.165
90,Evansville,32,11,21,.344,-3.70,0.27,5,13,9,7,2,13,2234,2317,,70.8,97.5,.372,.437,.535,47.3,52.7,8.1,7.1,.495,16.6,18.9,.268
91,Fairfield,31,9,22,.290,-10.08,-7.01,6,12,5,7,3,13,2072,2167,,68.1,98.1,.239,.422,.530,47.6,52.7,9.6,6.0,.507,18.2,25.8,.166
92,Fairleigh Dickinson NCAA,33,20,13,.606,-5.93,-8.19,12,6,13,4,7,9,2489,2352,,68.6,108.3,.360,.344,.579,49.4,53.2,11.0,10.2,.547,17.1,28.9,.263
93,Florida A&M,31,12,19,.387,-13.53,-8.05,9,7,6,3,6,14,1927,2057,,67.1,92.3,.307,.298,.513,47.9,49.4,10.8,10.7,.493,21.0,27.9,.188
94,Florida Atlantic,32,17,15,.531,-1.04,-1.45,8,10,9,5,6,8,2256,2175,,70.4,99.0,.280,.452,.521,52.6,51.6,7.8,8.4,.485,17.9,30.0,.210
95,Florida Gulf Coast,32,14,18,.438,-5.03,-1.40,9,7,10,4,4,10,2280,2360,,71.1,100.2,.329,.405,.552,48.3,55.5,9.5,11.6,.528,18.8,25.6,.220
