,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
96,Florida International,32,19,13,.594,-3.79,-1.33,10,8,12,4,5,8,2643,2555,,80.7,102.3,.376,.415,.530,45.5,50.2,13.1,11.5,.505,15.2,26.2,.240
97,Florida State NCAA,34,27,7,.794,18.42,10.63,13,5,15,1,6,4,2547,2282,,69.2,106.7,.363,.383,.547,53.3,49.8,9.9,12.5,.507,16.5,33.1,.269
98,Florida NCAA,34,19,15,.559,15.73,11.11,9,9,9,6,5,6,2321,2164,,64.8,104.2,.303,.434,.532,49.6,51.1,11.0,11.3,.499,15.5,31.1,.218
99,Fordham,32,12,20,.375,-4.71,-2.10,3,15,9,10,3,8,2108,2141,,66.4,98.0,.244,.440,.500,47.5,47.4,8.7,9.9,.475,14.1,25.3,.166
100,Fresno State,32,23,9,.719,9.34,1.02,13,5,13,4,7,3,2448,2162,,69.6,109.5,.307,.481,.573,51.0,54.0,10.2,10.6,.546,15.8,27.1,.221
101,Furman,32,25,7,.781,7.96,-1.52,13,5,13,2,11,4,2492,2106,,68.3,112.3,.261,.478,.583,51.2,56.4,12.6,11.7,.563,15.8,29.9,.186
102,Gardner-Webb NCAA,34,23,11,.676,-3.00,-5.36,11,6,13,0,8,9,2662,2397,,68.7,111.6,.385,.364,.588,49.5,52.7,9.8,8.8,.559,14.7,24.8,.274
103,George Mason,33,18,15,.545,1.10,0.34,11,7,11,6,6,6,2314,2289,,68.1,102.2,.342,.343,.537,51.3,48.4,9.0,8.2,.501,16.6,28.9,.245
104,George Washington,33,9,24,.273,-6.34,1.51,4,14,6,11,2,10,2097,2356,,67.5,92.8,.326,.343,.493,47.4,50.3,7.5,8.3,.458,16.3,23.3,.223
105,Georgetown,32,19,13,.594,7.60,5.98,9,9,13,5,5,6,2557,2505,,73.4,106.0,.386,.376,.553,52.2,61.1,7.8,10.6,.512,15.8,28.9,.284
106,Georgia Southern,33,21,12,.636,3.97,0.36,12,6,10,4,7,7,2726,2489,,75.3,108.8,.356,.311,.575,50.7,39.6,10.1,10.5,.549,16.0,27.9,.246
107,Georgia State NCAA,33,24,9,.727,3.11,0.36,13,5,13,1,7,7,2543,2407,,71.4,107.9,.355,.438,.570,45.7,46.3,11.2,14.4,.549,14.7,23.5,.235
108,Georgia Tech,32,14,18,.438,7.56,8.78,6,12,11,7,3,9,2091,2130,,68.1,95.6,.343,.334,.525,48.3,57.4,10.1,14.4,.492,18.7,25.3,.236
109,Georgia,32,11,21,.344,5.63,8.44,2,16,8,9,2,9,2274,2364,,70.4,100.9,.413,.370,.540,52.1,54.5,8.2,12.7,.501,19.4,32.7,.291
110,Gonzaga NCAA,33,30,3,.909,28.28,4.49,16,0,17,0,9,1,2932,2147,,71.6,124.1,.360,.353,.627,54.3,55.9,10.5,13.4,.596,12.8,30.6,.276
111,Grambling,33,17,16,.515,-9.91,-9.55,10,8,11,3,6,11,2353,2262,,71.5,98.9,.433,.302,.545,50.7,49.6,7.9,11.7,.509,19.4,26.7,.296
112,Grand Canyon,33,20,13,.606,4.53,-1.41,10,6,12,2,5,7,2497,2276,,69.4,108.1,.339,.385,.553,52.1,52.8,8.7,5.9,.517,15.0,29.7,.248
113,Green Bay,33,17,16,.515,-3.33,-0.04,10,8,12,3,4,12,2653,2633,,76.4,104.4,.346,.363,.547,47.6,51.8,10.2,10.8,.515,14.8,25.0,.244
114,Hampton,31,15,16,.484,-4.21,-5.29,9,7,10,3,5,11,2533,2380,,72.8,109.6,.354,.385,.547,50.2,50.6,8.4,9.5,.500,12.6,27.9,.276
115,Hartford,33,18,15,.545,-3.66,-4.60,10,6,10,4,8,9,2477,2407,,68.0,108.4,.332,.454,.574,47.4,54.5,10.0,6.0,.542,15.7,25.3,.246
116,Harvard,29,18,11,.621,1.47,0.26,10,4,9,2,7,8,2074,2028,,68.5,102.2,.313,.424,.563,53.2,47.5,8.2,11.0,.535,19.9,28.0,.223
117,Hawaii,31,18,13,.581,-1.04,-3.35,9,7,12,5,4,5,2241,2131,,67.6,106.1,.330,.430,.555,51.1,60.7,7.4,5.8,.527,15.4,26.8,.229
118,High Point,31,16,15,.516,-5.73,-4.49,9,7,9,4,5,8,2115,2105,,65.5,103.0,.351,.339,.527,55.0,52.9,8.3,9.8,.496,16.8,34.2,.238
119,Hofstra,34,27,7,.794,4.88,-4.79,15,3,15,1,10,5,2841,2469,,68.1,119.2,.376,.389,.606,50.7,49.0,9.3,9.1,.564,12.4,27.8,.301
120,Holy Cross,33,16,17,.485,-6.25,-3.82,6,12,8,6,6,11,2216,2296,,65.0,102.1,.231,.365,.544,43.5,60.1,11.1,12.4,.527,14.7,20.5,.154
121,Houston Baptist,30,12,18,.400,-8.99,-5.16,8,10,9,4,3,13,2465,2484,,75.0,107.3,.418,.310,.542,52.2,51.9,10.2,4.5,.509,16.3,35.0,.282
122,Houston NCAA,34,31,3,.912,18.24,3.86,16,2,19,1,10,1,2571,2082,,67.6,111.9,.319,.429,.550,54.9,55.8,9.5,13.8,.521,14.2,34.4,.224
123,Howard,33,17,16,.515,-12.33,-9.77,10,6,6,8,9,7,2612,2580,,74.7,105.1,.362,.306,.530,48.4,49.2,7.8,11.1,.490,14.5,30.4,.261
124,Idaho State,30,11,19,.367,-13.12,-4.76,7,13,6,7,5,11,2198,2369,,68.9,106.3,.286,.432,.555,48.6,49.2,7.4,7.9,.526,15.4,26.8,.210
125,Idaho,32,5,27,.156,-18.69,-6.14,2,18,4,11,1,13,2174,2460,,67.9,99.6,.287,.384,.542,47.7,51.3,6.0,4.8,.512,17.8,24.2,.208
126,Illinois-Chicago,32,16,16,.500,-3.14,-1.98,10,8,12,4,4,12,2391,2385,,71.5,103.3,.279,.455,.561,48.4,55.3,9.1,10.6,.540,17.7,24.8,.190
127,Illinois State,33,17,16,.515,-1.86,0.45,9,9,12,4,2,10,2257,2314,,67.9,100.0,.286,.389,.526,49.5,51.8,7.2,9.7,.495,16.3,25.5,.205
128,Illinois,33,12,21,.364,9.52,12.09,7,13,9,6,1,9,2398,2483,,71.0,101.2,.295,.375,.525,47.5,51.7,10.3,7.3,.496,16.0,29.0,.207
129,Incarnate Word,31,6,25,.194,-18.67,-4.85,1,17,5,9,0,14,2044,2355,,66.6,97.8,.362,.333,.571,46.7,49.8,8.8,5.2,.523,22.0,23.6,.293
130,Indiana State,31,15,16,.484,-2.59,0.75,7,11,9,5,4,9,2146,2218,,69.3,99.0,.361,.286,.533,48.4,45.2,9.6,6.8,.492,16.9,23.8,.264
131,Indiana,32,17,15,.531,15.03,11.28,8,12,13,5,3,9,2289,2169,,68.1,103.3,.348,.337,.538,50.8,50.8,9.4,12.1,.512,16.0,28.2,.230
132,Iona NCAA,32,17,15,.531,-4.97,-6.19,12,6,8,3,5,9,2459,2420,,71.3,107.8,.371,.436,.567,48.5,50.3,9.5,8.0,.530,15.4,25.0,.275
133,Iowa State NCAA,34,23,11,.676,18.16,9.04,9,9,12,4,5,6,2633,2323,,68.4,113.3,.303,.396,.577,50.5,54.5,10.2,12.8,.549,13.9,28.7,.222
134,Iowa NCAA,33,22,11,.667,14.48,9.82,10,10,14,4,4,6,2584,2430,,70.3,110.6,.423,.390,.568,50.7,60.2,8.7,9.3,.526,15.0,30.0,.313
135,Purdue-Fort Wayne,33,18,15,.545,-3.31,-3.44,9,7,11,5,6,9,2728,2556,,73.5,111.7,.270,.461,.587,48.9,53.0,10.1,12.3,.568,14.5,24.0,.187
136,IUPUI,32,16,16,.500,-2.64,-3.14,8,10,11,4,3,12,2434,2351,,71.3,106.8,.362,.351,.545,53.3,53.4,9.8,9.2,.512,16.6,34.9,.254
137,Jackson State,32,13,19,.406,-14.56,-9.30,10,8,9,4,3,14,1974,2107,,67.4,91.2,.342,.313,.479,50.6,50.2,9.7,11.9,.448,17.5,28.7,.217
138,Jacksonville State,33,24,9,.727,1.57,-5.50,15,3,11,1,10,7,2574,2283,,71.3,107.4,.305,.307,.545,54.3,47.3,10.2,12.2,.510,15.7,33.4,.227
139,Jacksonville,32,12,20,.375,-8.22,-4.69,5,11,5,8,6,11,2385,2402,,73.3,101.3,.298,.330,.535,50.5,51.3,9.0,13.0,.510,17.2,28.4,.202
140,James Madison,33,14,19,.424,-8.22,-3.77,6,12,8,6,4,11,2322,2409,,66.0,104.3,.326,.361,.540,50.6,49.1,9.5,8.3,.507,16.4,30.8,.235
141,Kansas State NCAA,33,25,8,.758,15.80,9.22,14,4,13,2,7,5,2172,1955,,65.0,101.3,.307,.382,.521,50.8,57.9,11.7,7.8,.495,15.1,27.9,.204
142,Kansas NCAA,34,25,9,.735,18.10,12.81,12,6,16,0,3,8,2563,2383,,70.3,106.0,.329,.350,.552,51.7,48.8,9.6,11.0,.523,16.1,29.7,.230
143,Kennesaw State,32,6,26,.188,-16.20,-1.07,3,13,6,8,0,15,2030,2455,,70.9,89.1,.303,.225,.456,48.7,48.9,8.1,8.7,.416,16.4,29.4,.211
144,Kent State,32,22,10,.688,1.89,0.89,11,7,14,3,8,6,2404,2330,,69.4,107.3,.321,.378,.530,51.0,49.2,9.8,10.2,.495,13.9,33.7,.231
145,Kentucky NCAA,33,27,6,.818,21.75,10.44,15,3,17,1,8,2,2532,2159,,67.9,112.6,.425,.298,.574,56.6,52.1,8.8,14.2,.533,15.9,36.5,.314
146,La Salle,31,10,21,.323,-3.25,1.65,8,10,5,9,3,8,2091,2243,,69.5,97.0,.285,.435,.512,48.9,54.4,10.7,8.6,.472,17.6,28.8,.219
