,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,28,9,19,.321,-7.45,2.05,3,15,,,,,1833,1984,,,,.376,.279,.500,49.9,44.3,,9.6,.458,17.4,,.263
2,Akron,26,8,18,.308,-10.69,-5.07,3,15,,,,,1614,1709,,,,.372,.277,.517,51.1,54.5,,5.5,.488,18.4,,.241
3,Alabama-Birmingham,35,21,14,.600,10.82,5.68,5,5,,,,,2432,2254,,,,.325,.270,.527,52.2,56.4,,9.6,.494,17.8,,.228
4,Alabama State,27,14,13,.519,-8.48,-9.70,9,5,,,,,2378,2288,,,,.433,.203,.557,51.3,46.1,,2.8,.518,20.7,,.305
5,Alabama,29,16,13,.552,9.66,7.83,7,9,,,,,2192,2138,,,,.415,.299,.541,51.7,43.1,,8.9,.513,19.4,,.271
6,Alcorn State,27,7,20,.259,-11.04,-4.58,5,9,,,,,2054,2313,,,,.297,.166,.510,47.9,55.3,,7.2,.504,20.0,,.208
7,American,28,11,17,.393,-0.17,1.15,6,8,,,,,2131,2168,,,,.424,.269,.525,52.7,53.3,,5.6,.477,17.7,,.307
8,Appalachian State,28,13,15,.464,-6.08,-4.27,8,10,,,,,2276,2295,,,,.361,.324,.532,45.1,50.7,,8.4,.503,18.0,,.241
9,Arizona State,28,18,10,.643,9.23,6.97,11,7,,,,,2366,2304,,,,.296,.386,.519,44.1,59.1,,6.7,.499,15.2,,.185
10,Arizona NCAA,28,24,4,.857,20.50,8.28,17,1,,,,,2340,1998,,,,.424,.231,.562,55.8,57.4,,9.9,.530,17.6,,.290
11,Little Rock,27,15,12,.556,-3.31,-0.24,10,8,,,,,1859,1935,,,,.419,.252,.527,50.3,53.8,,6.7,.483,21.4,,.298
12,Arkansas State,28,16,12,.571,4.06,0.02,11,7,,,,,1971,1834,,,,.374,.257,.523,51.5,56.1,,7.6,.490,20.3,,.253
13,Arkansas NCAA,31,22,9,.710,17.72,8.30,10,6,,,,,2695,2403,,,,.354,.261,.566,45.6,58.5,,7.2,.539,15.9,,.243
14,Army,26,4,22,.154,-19.98,-7.17,2,12,,,,,1555,1888,,,,.415,.215,.489,48.6,54.1,,4.8,.452,21.8,,.266
15,Auburn,27,15,12,.556,8.93,6.97,8,8,,,,,2171,2057,,,,.332,.254,.576,51.2,51.9,,5.8,.550,18.7,,.234
16,Austin Peay,27,7,20,.259,-13.85,-1.43,4,12,,,,,1864,2173,,,,.408,.217,.516,46.9,50.2,,3.7,.477,20.8,,.277
17,Ball State NCAA,34,26,8,.765,1.32,-4.68,14,4,,,,,2421,2185,,,,.487,.210,.549,53.3,55.6,,6.1,.506,18.7,,.339
18,Baylor,27,16,11,.593,2.99,1.83,7,7,,,,,2352,2264,,,,.468,.342,.553,51.0,62.3,,10.4,.521,16.8,,.310
19,Bethune-Cookman,27,3,24,.111,-23.17,-8.76,2,14,,,,,1728,2123,,,,.307,.188,.472,47.6,48.5,,4.2,.455,22.0,,.173
20,Boise State NCAA,29,21,8,.724,0.35,-4.28,10,4,,,,,2190,2020,,,,.428,.234,.547,49.4,54.2,,8.7,.505,18.8,,.307
21,Boston College,31,18,13,.581,11.90,7.48,9,9,,,,,2215,2078,,,,.356,.272,.568,50.1,56.3,,4.8,.531,18.1,,.266
22,Boston University,27,6,21,.222,-16.04,-5.22,3,11,,,,,1880,2172,,,,.371,.220,.486,46.9,56.9,,6.9,.448,18.6,,.247
23,Bowling Green State,27,11,16,.407,-4.01,-0.85,8,10,,,,,1749,1800,,,,.354,.283,.540,48.2,54.9,,5.4,.514,18.2,,.234
24,Bradley,27,11,16,.407,-0.92,1.12,7,11,,,,,1623,1656,,,,.384,.152,.518,49.8,55.1,,8.2,.486,21.3,,.253
25,Brigham Young NCAA,34,25,9,.735,12.49,4.08,15,3,,,,,2754,2445,,,,.477,.233,.589,54.6,64.7,,9.0,.540,19.5,,.366
26,Brown,26,7,19,.269,-15.84,-5.80,2,12,,,,,1514,1874,,,,.404,.259,.463,45.9,53.6,,7.6,.460,19.0,,.256
27,Bucknell,29,23,6,.793,-0.11,-8.57,13,1,,,,,2350,2081,,,,.360,.226,.537,48.1,48.9,,8.9,.506,15.1,,.244
28,Buffalo,27,5,22,.185,-18.75,-5.45,,,,,,,1778,2140,,,,.318,.157,.453,46.6,42.2,,6.8,.424,21.6,,.196
29,Butler,28,11,17,.393,-1.51,3.20,5,9,,,,,1899,1986,,,,.371,.266,.516,50.1,50.1,,2.8,.478,20.0,,.258
30,Cal State Fullerton,27,15,12,.556,3.12,2.19,10,8,,,,,1937,1892,,,,.429,.232,.535,48.8,53.0,,10.6,.504,17.5,,.281
31,Cal State Northridge,27,10,17,.370,-8.55,-2.47,,,,,,,1837,1948,,,,.344,.344,.515,45.8,52.0,,2.7,.486,18.1,,.226
32,UC-Irvine,27,6,21,.222,-3.78,2.91,4,14,,,,,1975,2115,,,,.435,.299,.530,53.6,48.1,,7.2,.502,21.8,,.275
33,UC-Santa Barbara,29,18,11,.621,7.28,1.55,10,8,,,,,1996,1830,,,,.441,.212,.551,49.1,62.0,,6.5,.516,18.1,,.301
34,University of California NCAA,30,21,9,.700,12.79,7.26,12,6,,,,,2380,2214,,,,.398,.234,.540,53.2,58.6,,8.1,.509,18.4,,.265
35,Campbell,27,12,15,.444,-13.73,-10.15,10,6,,,,,1923,1988,,,,.286,.380,.543,47.2,65.7,,6.6,.522,16.3,,.189
36,Canisius,28,10,18,.357,-6.53,-2.10,5,9,,,,,1776,1900,,,,.303,.329,.500,47.6,58.5,,7.3,.464,21.8,,.214
37,Centenary (LA),27,9,18,.333,-14.65,-7.35,4,8,,,,,2272,2361,,,,.363,.330,.510,46.9,53.6,,4.7,.476,16.8,,.243
38,Central Connecticut State,27,8,19,.296,-21.33,-8.94,,,,,,,2057,2262,,,,.373,.216,.502,46.8,57.4,,5.1,.463,19.3,,.254
39,Central Florida,27,10,17,.370,-13.48,-9.16,0,0,,,,,2071,2151,,,,.423,.253,.554,49.2,53.8,,5.0,.522,18.6,,.286
40,Central Michigan,26,8,18,.308,-11.82,-2.37,4,14,,,,,1918,2114,,,,.368,.250,.507,48.0,50.0,,9.0,.478,18.5,,.235
41,Charleston Southern,27,9,18,.333,-18.54,-9.02,5,11,,,,,1951,2043,,,,.332,.231,.532,51.7,52.1,,2.1,.487,19.3,,.257
42,Charlotte,28,15,13,.536,5.37,2.83,6,6,,,,,2037,1954,,,,.435,.218,.507,53.9,59.6,,8.2,.473,18.6,,.277
43,Chattanooga NCAA,33,26,7,.788,6.63,-3.06,16,2,,,,,2820,2385,,,,.384,.299,.579,52.3,55.2,,7.9,.540,15.4,,.289
44,Chicago State,27,4,23,.148,-21.96,-1.19,,,,,,,1906,2573,,,,.324,.186,.457,44.3,45.5,,4.1,.424,18.0,,.207
45,Cincinnati NCAA,32,27,5,.844,22.62,6.62,8,2,,,,,2383,1871,,,,.347,.258,.535,53.2,57.0,,7.3,.512,16.9,,.222
46,Citadel,27,10,17,.370,-12.16,-5.09,8,10,,,,,1741,1928,,,,.400,.229,.504,47.5,59.5,,5.6,.464,20.1,,.271
47,Clemson,30,17,13,.567,10.05,7.55,5,11,,,,,2376,2301,,,,.349,.298,.549,50.1,58.2,,13.1,.523,18.5,,.233
48,Cleveland State,28,22,6,.786,-0.08,-5.50,15,1,,,,,2138,1986,,,,.430,.249,.553,50.3,61.1,,6.6,.521,18.5,,.291
49,Coastal Carolina NCAA,32,22,10,.688,-3.95,-7.89,12,4,,,,,2488,2268,,,,.387,.258,.563,50.5,53.9,,8.4,.531,16.9,,.272
50,Colgate,28,18,10,.643,-5.96,-9.60,9,5,,,,,2150,2048,,,,.415,.286,.526,50.0,52.0,,8.8,.483,16.9,,.293
51,College of Charleston,27,19,8,.704,-4.09,-8.30,0,0,,,,,1848,1631,,,,.571,.206,.540,51.3,62.0,,8.7,.488,17.3,,.395
52,Colorado State,29,17,12,.586,3.33,2.21,9,9,,,,,2172,2074,,,,.428,.291,.557,51.3,66.1,,6.3,.517,15.9,,.308
