,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
53,Colorado,27,10,17,.370,6.48,7.62,2,12,,,,,2003,2034,,,,.463,.218,.531,50.8,54.6,,12.7,.499,21.8,,.297
54,Columbia,26,16,10,.615,-3.01,-6.65,10,4,,,,,1889,1737,,,,.542,.195,.569,50.4,58.0,,10.9,.525,18.5,,.381
55,Connecticut,28,15,13,.536,11.71,8.06,9,9,,,,,2113,2011,,,,.343,.240,.517,51.1,50.7,,11.8,.480,17.6,,.243
56,Coppin State NCAA,30,22,8,.733,-3.73,-11.06,16,0,,,,,2216,1994,,,,.418,.335,.512,50.6,45.6,,8.1,.465,16.9,,.294
57,Cornell,26,16,10,.615,-1.24,-1.72,9,5,,,,,1827,1780,,,,.365,.190,.513,50.9,47.1,,6.7,.465,16.6,,.274
58,Creighton,26,8,18,.308,-3.03,2.01,6,12,,,,,1667,1798,,,,.425,.253,.543,48.3,67.4,,4.6,.492,23.4,,.320
59,Dartmouth,26,11,15,.423,-7.56,-5.32,5,9,,,,,1768,1808,,,,.407,.285,.539,48.9,58.8,,9.1,.512,21.1,,.263
60,Davidson,28,14,14,.500,-4.50,-2.78,10,8,,,,,2078,2040,,,,.373,.240,.542,53.2,61.7,,5.9,.514,19.5,,.249
61,Dayton,30,4,26,.133,-5.32,5.33,3,11,,,,,1844,2150,,,,.254,.434,.494,46.7,57.1,,5.0,.470,18.1,,.168
62,Delaware State,29,13,16,.448,-17.32,-12.04,6,10,,,,,2138,2273,,,,.383,.275,.484,50.7,49.0,,8.6,.458,21.9,,.229
63,Delaware NCAA,30,22,8,.733,-0.63,-5.63,10,4,,,,,2244,2070,,,,.474,.195,.519,54.1,49.0,,9.5,.471,18.0,,.331
64,DePaul,31,16,15,.516,5.53,6.79,3,7,,,,,2291,2326,,,,.339,.242,.539,52.5,56.1,,6.0,.507,19.4,,.236
65,Detroit Mercy,27,15,12,.556,1.73,0.81,7,7,,,,,2116,2056,,,,.381,.288,.529,51.2,54.8,,5.1,.504,15.9,,.240
66,Drake,28,14,14,.500,0.89,2.33,9,9,,,,,2065,2086,,,,.351,.283,.539,48.5,44.4,,5.8,.501,17.1,,.257
67,Drexel,29,22,7,.759,-2.39,-8.49,12,2,,,,,2121,1944,,,,.478,.217,.536,53.1,60.3,,5.3,.497,16.7,,.321
68,Duke NCAA,32,24,8,.750,25.98,10.76,10,6,,,,,2766,2279,,,,.430,.237,.589,49.9,53.5,,9.7,.554,16.6,,.310
69,Duquesne,28,13,15,.464,1.54,1.15,5,9,,,,,2096,2085,,,,.448,.264,.527,50.7,62.5,,11.0,.502,20.9,,.274
70,East Carolina NCAA,30,13,17,.433,-2.02,0.95,4,10,,,,,2037,2089,,,,.386,.274,.498,50.9,47.7,,5.9,.465,17.3,,.248
71,East Tennessee State,29,19,10,.655,-0.39,-3.31,12,6,,,,,2413,2254,,,,.332,.299,.525,51.9,44.3,,7.1,.499,16.6,,.218
72,Eastern Illinois,27,10,17,.370,-11.12,-3.62,7,9,,,,,1802,1973,,,,.409,.220,.541,51.1,56.6,,6.4,.511,23.6,,.270
73,Eastern Kentucky,27,15,12,.556,-3.57,-5.81,11,5,,,,,2054,1960,,,,.381,.279,.557,48.4,53.7,,8.0,.521,16.9,,.274
74,Eastern Michigan,30,13,17,.433,-5.09,-2.99,8,10,,,,,2074,2099,,,,.362,.265,.505,50.6,49.5,,10.7,.472,17.6,,.240
75,Eastern Washington,26,6,20,.231,-12.17,-3.17,3,11,,,,,1695,1911,,,,.389,.268,.505,47.2,48.9,,6.7,.477,18.7,,.242
76,Evansville NCAA,30,23,7,.767,8.84,-0.88,12,2,,,,,2251,1960,,,,.465,.269,.583,51.2,63.2,,7.1,.539,18.1,,.347
77,Fairfield,27,14,13,.519,-5.20,-3.83,7,7,,,,,1790,1827,,,,.402,.248,.503,50.5,45.5,,6.7,.470,19.9,,.258
78,Fairleigh Dickinson,28,11,17,.393,-12.10,-8.14,8,10,,,,,1896,1963,,,,.434,.275,.513,52.1,45.6,,5.6,.481,20.1,,.274
79,Florida A&M,28,10,18,.357,-19.93,-10.63,8,8,,,,,2072,2309,,,,.368,.178,.524,50.2,49.1,,4.8,.507,18.0,,.225
80,Florida International,30,20,10,.667,-5.82,-7.41,9,3,,,,,2049,1959,,,,.454,.201,.542,52.5,56.6,,8.4,.519,20.1,,.281
81,Florida State NCAA,35,25,10,.714,18.07,11.44,12,4,,,,,3020,2788,,,,.349,.244,.560,50.6,51.0,,11.6,.535,17.0,,.235
82,Florida,28,16,12,.571,10.74,7.74,9,7,,,,,2058,1975,,,,.310,.227,.521,49.4,52.7,,9.3,.499,17.1,,.197
83,Fordham,31,15,16,.484,-7.93,-3.96,9,5,,,,,2028,2131,,,,.499,.229,.526,50.2,60.9,,9.7,.487,20.3,,.327
84,Fresno State,28,13,15,.464,-3.05,2.06,8,10,,,,,1868,2011,,,,.412,.310,.535,49.5,67.4,,9.6,.510,19.8,,.260
85,Furman,28,11,17,.393,-6.17,-3.54,8,10,,,,,2093,2142,,,,.381,.293,.552,50.6,66.4,,4.7,.511,19.7,,.281
86,George Mason,28,7,21,.250,-10.13,-1.21,2,12,,,,,1911,2102,,,,.345,.240,.490,49.2,47.9,,6.1,.456,18.3,,.229
87,George Washington NCAA,30,21,9,.700,11.57,4.27,8,6,,,,,2292,2073,,,,.482,.246,.525,52.7,46.2,,10.6,.494,,,.302
88,Georgetown,33,20,13,.606,12.61,8.68,8,10,,,,,2285,2062,,,,.426,.208,.516,54.0,54.4,,8.2,.470,19.2,,.300
89,Georgia Southern,28,19,9,.679,-1.55,-4.87,12,6,,,,,2216,2110,,,,.319,.254,.530,52.5,53.6,,5.2,.509,18.1,,.201
90,Georgia State,27,13,14,.481,-9.61,-5.22,5,7,,,,,2060,2080,,,,.425,.189,.493,48.1,48.5,,4.2,.461,16.3,,.265
91,Georgia Tech NCAA,30,19,11,.633,12.96,10.39,8,8,,,,,2331,2257,,,,.298,.208,.557,51.8,65.0,,10.2,.534,18.8,,.204
92,Georgia,29,15,14,.517,11.54,10.04,8,8,,,,,2254,2174,,,,.416,.252,.543,52.3,52.7,,9.8,.523,20.1,,.254
93,Gonzaga,28,19,9,.679,1.61,-4.93,10,4,,,,,2092,1833,,,,.524,.219,.584,50.5,51.0,,6.9,.549,16.8,,.360
94,Grambling,27,13,14,.481,-11.58,-8.50,5,9,,,,,2254,2268,,,,.377,.141,.520,50.9,53.1,,7.3,.496,20.7,,.233
95,Green Bay,27,13,14,.481,-2.14,-5.33,9,7,,,,,1785,1705,,,,.279,.261,.560,52.1,65.3,,5.5,.533,19.1,,.202
96,Hartford,28,14,14,.500,-5.71,-6.08,7,7,,,,,2043,2024,,,,.436,.210,.514,50.9,48.8,,11.3,.473,18.0,,.296
97,Harvard,26,6,20,.231,-16.14,-4.70,3,11,,,,,1806,2076,,,,.365,.208,.481,49.5,46.5,,8.2,.453,20.2,,.224
98,Hawaii,28,12,16,.429,2.47,2.97,7,11,,,,,1961,1965,,,,.382,.207,.540,49.5,60.0,,6.3,.503,19.2,,.269
99,Hofstra,27,9,18,.333,-11.59,-3.12,,,,,,,1700,1901,,,,.493,.264,.549,45.4,55.8,,5.1,.501,22.1,,.354
100,Holy Cross NCAA,30,23,7,.767,2.59,-5.04,12,2,,,,,2563,2334,,,,.456,.226,.562,48.2,60.6,,5.9,.516,16.8,,.336
101,Houston,30,21,9,.700,9.79,2.66,9,5,,,,,2376,2161,,,,.425,.304,.563,48.8,53.1,,11.8,.534,17.3,,.284
102,Howard,28,10,18,.357,-18.06,-9.91,6,10,,,,,1932,2125,,,,.500,.214,.485,48.3,48.1,,4.4,.446,19.9,,.306
103,Idaho State,28,10,18,.357,-6.83,-3.16,5,9,,,,,1993,2060,,,,.394,.336,.534,46.1,60.5,,5.4,.490,18.4,,.288
104,Idaho,32,24,8,.750,1.08,-4.85,11,3,,,,,2384,2123,,,,.371,.211,.538,57.4,54.4,,8.2,.516,16.7,,.233
105,Illinois-Chicago,32,17,15,.531,-2.82,-3.45,9,7,,,,,2528,2465,,,,.313,.261,.528,47.7,50.2,,10.5,.499,16.5,,.216
106,Illinois State,29,19,10,.655,3.75,0.97,13,5,,,,,1930,1839,,,,.386,.239,.552,51.4,59.0,,3.3,.522,19.2,,.262
107,Illinois NCAA,32,19,13,.594,11.83,9.27,11,7,,,,,2429,2347,,,,.409,.235,.555,52.1,56.6,,6.4,.522,18.1,,.282
108,Indiana State,28,11,17,.393,-0.23,2.29,7,11,,,,,1882,1946,,,,.418,.274,.566,48.8,53.2,,4.5,.518,20.6,,.321
109,Indiana NCAA,35,31,4,.886,25.84,11.09,17,1,,,,,3028,2506,,,,.459,.225,.603,52.1,57.6,,6.0,.570,15.2,,.329
110,Iona,27,16,11,.593,-1.01,-1.97,9,5,,,,,2046,2005,,,,.433,.250,.557,48.7,65.8,,9.2,.523,19.9,,.297
111,Iowa State NCAA,31,20,11,.645,18.65,8.05,8,6,,,,,2520,2159,,,,.317,.233,.566,48.6,59.5,,5.4,.531,16.6,,.240
112,Iowa NCAA,32,23,9,.719,19.75,8.14,11,7,,,,,2507,2093,,,,.478,.172,.545,57.4,51.5,,11.8,.500,17.5,,.337
113,Jackson State,34,25,9,.735,0.73,-3.64,13,1,,,,,2884,2651,,,,.402,.234,.538,52.7,47.6,,12.2,.507,19.1,,.267
114,Jacksonville,27,5,22,.185,-6.43,0.54,3,15,,,,,1915,2099,,,,.409,.232,.490,49.9,46.2,,7.5,.460,24.3,,.251
115,James Madison,30,21,9,.700,9.37,0.27,11,3,,,,,2413,2140,,,,.467,.250,.604,51.8,43.6,,8.2,.569,18.1,,.340
116,Kansas State NCAA,30,19,11,.633,9.85,6.91,7,7,,,,,2109,2009,,,,.331,.265,.517,53.7,58.5,,3.8,.488,19.0,,.221
117,Kansas NCAA,36,29,7,.806,22.30,10.88,11,3,,,,,3037,2510,,,,.390,.245,.595,51.7,61.9,,6.5,.565,17.0,,.280
118,Kent State,27,10,17,.370,-5.26,-2.26,7,11,,,,,1742,1823,,,,.343,.278,.543,48.2,63.7,,3.8,.510,20.5,,.242
119,Kentucky NCAA,34,30,4,.882,26.91,9.23,13,3,,,,,2975,2374,,,,.359,.395,.582,54.0,63.5,,10.7,.558,17.5,,.247
120,La Salle,27,14,13,.519,-0.02,2.56,9,5,,,,,1905,1894,,,,.350,.395,.494,48.2,54.8,,9.4,.463,16.2,,.227
121,Lafayette,27,7,20,.259,-14.39,-6.23,4,10,,,,,1804,2012,,,,.337,.176,.498,50.4,46.2,,3.8,.458,18.9,,.239
122,Lamar,27,15,12,.556,6.57,-1.82,9,9,,,,,2384,2147,,,,.390,.380,.550,49.1,60.5,,4.5,.514,16.0,,.275
123,Lehigh,27,4,23,.148,-16.26,-6.53,2,12,,,,,1994,2253,,,,.399,.165,.520,47.4,56.2,,5.9,.479,21.5,,.279
124,Liberty,30,16,14,.533,-9.02,-10.30,9,7,,,,,2315,2127,,,,.392,.259,.564,52.8,61.2,,6.7,.535,18.3,,.267
125,Long Beach State NCAA,32,22,10,.688,8.24,2.38,11,7,,,,,2512,2275,,,,.432,.286,.573,50.8,62.1,,4.7,.540,18.8,,.300
126,Long Island University,28,11,17,.393,-12.97,-9.34,7,11,,,,,2161,2207,,,,.364,.278,.521,46.8,54.6,,8.1,.489,18.4,,.245
127,Louisiana,30,17,13,.567,4.58,1.68,11,7,,,,,2391,2304,,,,.398,.188,.544,48.2,48.2,,6.6,.507,16.7,,.279
128,Louisiana-Monroe NCAA,31,26,5,.839,7.66,-5.08,17,1,,,,,2702,2299,,,,.400,.227,.583,50.3,47.5,,6.1,.566,15.6,,.257
129,Louisiana State NCAA,33,22,11,.667,10.25,5.28,9,7,,,,,2597,2433,,,,.350,.244,.517,51.7,52.2,,7.2,.483,16.2,,.239
130,Louisiana Tech,28,7,21,.250,-10.93,0.82,3,15,,,,,1710,2029,,,,.363,.216,.477,48.1,45.5,,10.0,.448,23.0,,.222
131,Louisville NCAA,31,22,9,.710,14.65,8.85,11,1,,,,,2513,2293,,,,.399,.246,.574,52.3,56.7,,9.8,.549,17.7,,.267
132,Loyola (IL),27,7,20,.259,-7.23,2.29,3,11,,,,,1810,1993,,,,.370,.218,.513,47.2,55.1,,4.4,.484,22.1,,.239
133,Loyola Marymount,27,7,20,.259,-9.12,-2.40,2,12,,,,,1855,2008,,,,.384,.232,.502,48.9,54.4,,9.7,.463,21.3,,.262
134,Loyola (MD),27,2,25,.074,-15.26,-3.04,1,13,,,,,1571,1901,,,,.330,.235,.482,47.3,53.3,,6.8,.448,23.1,,.218
135,Maine,27,10,17,.370,-10.97,-7.93,4,10,,,,,1841,1923,,,,.325,.163,.511,49.9,55.8,,6.9,.482,19.6,,.215
136,Manhattan NCAA,30,23,7,.767,3.15,-3.05,12,2,,,,,2194,2006,,,,.436,.265,.544,53.4,56.0,,6.2,.511,19.8,,.291
137,Marist,30,14,16,.467,-10.56,-8.25,10,8,,,,,2129,2189,,,,.497,.259,.535,50.6,53.4,,6.8,.495,18.6,,.331
138,Marquette NCAA,28,20,8,.714,15.68,2.29,6,4,,,,,2067,1692,,,,.422,.216,.567,54.7,69.5,,10.4,.524,17.4,,.314
139,Marshall,27,16,11,.593,-4.44,-4.80,11,7,,,,,2112,2062,,,,.385,.209,.523,49.4,51.2,,8.8,.485,18.0,,.267
140,Maryland-Baltimore County,28,12,16,.429,-11.83,-8.48,7,9,,,,,2290,2337,,,,.412,.214,.517,50.1,57.3,,7.7,.489,17.8,,.258
141,Maryland-Eastern Shore,27,13,14,.481,-20.58,-11.90,7,9,,,,,1794,1995,,,,.438,.229,.503,48.1,42.1,,4.8,.466,21.8,,.284
142,Maryland,28,12,16,.429,9.49,9.17,2,14,,,,,2235,2226,,,,.342,.178,.504,48.5,61.7,,7.2,.471,17.1,,.230
143,Massachusetts NCAA,31,24,7,.774,14.25,5.34,11,3,,,,,2262,1986,,,,.495,.260,.532,54.8,61.4,,10.9,.485,2.3,,.346
144,McNeese State,28,12,16,.429,-5.95,-4.91,9,9,,,,,2034,2035,,,,.364,.273,.546,46.6,40.7,,11.1,.510,18.7,,.262
145,Memphis NCAA,32,20,12,.625,12.70,8.73,7,3,,,,,2402,2225,,,,.345,.271,.527,51.0,58.7,,10.3,.497,17.0,,.233
146,Mercer,27,13,14,.481,-7.95,-4.40,7,5,,,,,1973,1996,,,,.349,.197,.505,49.9,57.2,,10.2,.470,16.4,,.238
147,Miami (FL),27,10,17,.370,5.15,9.19,7,11,,,,,1929,2004,,,,.374,.326,.512,48.2,64.9,,10.8,.491,18.3,,.224
148,Miami (OH),31,22,9,.710,4.79,-0.28,14,4,,,,,1971,1442,,,,.372,.345,.554,50.7,62.2,,5.1,.525,16.4,,.253
149,Michigan State,28,15,13,.536,13.67,7.92,7,11,,,,,2079,1908,,,,.343,.195,.562,54.5,59.1,,5.8,.543,18.7,,.221
150,Michigan NCAA,36,31,5,.861,22.03,11.89,15,3,,,,,2950,2586,,,,.362,.190,.555,55.2,51.9,,11.4,.532,17.4,,.237
151,Middle Tennessee,26,10,16,.385,-10.72,-5.02,5,11,,,,,1805,1910,,,,.308,.252,.516,50.6,51.6,,7.1,.490,18.5,,.204
152,Milwaukee,27,23,4,.852,1.48,-7.60,,,,,,,2152,1889,,,,.342,.311,.545,49.4,50.5,,6.4,.516,14.9,,.234
153,Minnesota,32,22,10,.688,16.80,9.22,9,9,,,,,2453,2174,,,,.380,.199,.545,53.2,56.3,,7.9,.516,17.2,,.254
154,Mississippi State,29,13,16,.448,1.32,6.72,5,11,,,,,2034,2149,,,,.311,.209,.520,49.0,62.6,,7.9,.492,19.5,,.209
155,Mississippi Valley State,28,13,15,.464,-5.64,-3.93,7,7,,,,,2289,2328,,,,.280,.281,.479,50.3,47.3,,6.8,.451,14.2,,.181
156,Mississippi,28,10,18,.357,-2.08,8.04,4,12,,,,,1991,2161,,,,.366,.224,.512,50.0,51.4,,9.9,.494,20.6,,.214
157,Missouri-Kansas City,27,15,12,.556,-1.41,-2.19,,,,,,,2142,2016,,,,.341,.253,.552,48.1,52.6,,7.0,.525,16.0,,.232
158,Missouri State,31,20,11,.645,7.05,2.40,11,7,,,,,1957,1813,,,,.447,.279,.545,49.6,62.7,,4.4,.507,16.4,,.306
159,Missouri NCAA,33,19,14,.576,13.38,9.11,5,9,,,,,2452,2234,,,,.435,.223,.523,52.6,59.6,,7.7,.499,16.6,,.264
160,Monmouth,28,11,17,.393,-10.07,-8.25,7,11,,,,,1806,1856,,,,.339,.207,.532,47.9,61.8,,9.7,.493,21.4,,.249
161,Montana State,27,9,18,.333,-9.46,-4.98,5,9,,,,,1820,1841,,,,.352,.176,.507,51.5,57.0,,8.2,.474,20.3,,.236
162,Montana,28,17,11,.607,-3.98,-5.34,8,6,,,,,1834,1723,,,,.395,.219,.508,53.1,62.0,,10.0,.479,18.3,,.248
163,Morehead State,27,6,21,.222,-18.94,-4.71,6,10,,,,,2023,2400,,,,.402,.379,.513,47.4,61.9,,2.6,.468,19.7,,.285
164,Morgan State,26,9,17,.346,-18.19,-10.51,9,7,,,,,1936,2136,,,,.354,.227,.483,48.1,53.5,,8.8,.459,20.6,,.209
165,Mount St. Mary's,28,13,15,.464,-10.52,-8.45,10,8,,,,,2012,2070,,,,.341,.299,.518,52.0,47.3,,6.5,.486,19.1,,.233
166,Murray State,30,18,12,.600,-3.68,-4.40,11,5,,,,,2536,2450,,,,.424,.253,.547,48.9,42.3,,9.0,.511,16.9,,.292
167,Navy,27,8,19,.296,-13.92,-6.92,5,9,,,,,1717,1879,,,,.387,.246,.491,53.6,62.6,,6.6,.453,20.8,,.256
168,Nebraska NCAA,31,20,11,.645,10.57,5.70,8,6,,,,,2497,2346,,,,.387,.237,.534,52.2,59.5,,9.3,.500,18.8,,.265
169,Nevada-Las Vegas,29,21,8,.724,11.17,3.07,13,5,,,,,2592,2357,,,,.422,.338,.589,49.0,59.1,,7.3,.559,15.4,,.296
170,Nevada,26,9,17,.346,-4.59,2.77,4,14,,,,,1944,2105,,,,.384,.289,.536,50.2,55.2,,6.1,.503,18.3,,.261
171,New Hampshire,27,6,21,.222,-13.98,-4.38,4,10,,,,,1678,1938,,,,.407,.270,.483,48.6,57.9,,5.8,.441,19.2,,.270
172,New Mexico State NCAA,34,26,8,.765,8.07,4.10,15,3,,,,,2615,2460,,,,.441,.223,.542,52.5,59.5,,6.4,.504,17.5,,.303
173,New Mexico NCAA,31,24,7,.774,8.96,3.30,13,5,,,,,2164,1960,,,,.365,.364,.549,49.7,58.5,,9.6,.528,15.9,,.232
174,New Orleans NCAA,30,26,4,.867,12.00,0.55,18,0,,,,,2175,1835,,,,.509,.149,.545,54.1,54.4,,11.8,.505,18.7,,.343
175,Niagara,30,23,7,.767,4.68,-4.02,11,3,,,,,2387,2126,,,,.410,.233,.575,48.8,58.3,,5.9,.536,18.7,,.303
176,Nicholls State,26,14,12,.538,-7.35,-4.47,11,7,,,,,2019,2040,,,,.406,.172,.502,49.8,53.5,,6.3,.461,17.6,,.274
