,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,28,8,20,.286,-4.05,4.95,4,14,,,,,1882,2029,,,,.375,.303,.487,47.6,49.6,,10.1,.445,22.0,,.257
2,Akron,26,8,18,.308,-7.59,0.97,4,14,,,,,1565,1764,,,,.337,.239,.476,49.0,56.7,,6.4,.443,20.4,,.219
3,Alabama-Birmingham,30,14,16,.467,3.42,2.94,5,7,,,,,2129,2120,,,,.374,.238,.478,53.7,41.2,,9.2,.438,18.1,,.250
4,Alabama State,26,11,15,.423,-15.86,-8.27,8,6,,,,,2100,2246,,,,.387,.227,.487,51.2,53.5,,6.1,.454,16.3,,.247
5,Alabama NCAA,33,23,10,.697,15.47,6.59,10,6,,,,,2408,2115,,,,.329,.314,.528,53.3,56.2,,14.5,.505,18.6,,.212
6,Alcorn State,26,7,19,.269,-17.90,-9.08,4,10,,,,,2130,2283,,,,.327,.324,.519,47.6,49.7,,5.3,.487,17.6,,.224
7,American,28,9,19,.321,-9.32,-2.50,7,7,,,,,2088,2279,,,,.345,.349,.510,47.4,49.9,,3.0,.477,15.9,,.233
8,Appalachian State,29,9,20,.310,-10.75,-2.97,4,10,,,,,2125,2285,,,,.327,.306,.534,47.7,59.7,,7.0,.499,20.2,,.236
9,Arizona State NCAA,33,24,9,.727,16.75,9.06,12,6,,,,,2585,2331,,,,.369,.310,.541,49.3,63.7,,11.3,.521,18.5,,.229
10,Arizona NCAA,31,23,8,.742,19.13,10.40,13,5,,,,,2631,2350,,,,.380,.302,.568,52.4,59.0,,6.7,.546,18.5,,.250
11,Little Rock,29,17,12,.586,-1.43,-5.14,9,9,,,,,2198,2064,,,,.417,.227,.494,50.8,47.0,,8.2,.462,15.5,,.260
12,Arkansas State,28,8,20,.286,-14.25,-4.79,3,15,,,,,1854,2072,,,,.331,.267,.475,45.9,56.8,,6.8,.440,19.7,,.219
13,Arkansas NCAA,39,32,7,.821,16.85,10.45,12,4,,,,,3416,3115,,,,.342,.348,.558,49.1,59.0,,7.8,.533,17.1,,.231
14,Army,28,12,16,.429,-17.95,-11.25,4,10,,,,,2068,2222,,,,.450,.313,.521,47.9,51.6,,3.7,.472,17.4,,.316
15,Auburn,29,16,13,.552,9.17,6.98,7,9,,,,,2230,2124,,,,.370,.365,.571,50.1,62.9,,5.9,.539,20.2,,.265
16,Austin Peay,29,13,16,.448,-7.23,-4.60,8,8,,,,,2193,2210,,,,.411,.259,.536,49.0,50.1,,7.6,.496,17.1,,.288
17,Ball State NCAA,30,19,11,.633,5.30,2.55,11,7,,,,,2334,2183,,,,.413,.277,.553,50.4,58.7,,6.5,.526,18.2,,.270
18,Baylor,28,9,19,.321,-6.05,-0.31,3,11,,,,,2273,2409,,,,.281,.397,.508,46.9,58.7,,8.0,.484,16.7,,.186
19,Bethune-Cookman,28,12,16,.429,-16.73,-9.17,9,7,,,,,2143,2251,,,,.391,.273,.511,49.1,54.2,,7.7,.474,18.1,,.264
20,Boise State,27,17,10,.630,4.40,-0.45,7,7,,,,,1936,1807,,,,.415,.231,.520,47.9,57.6,,8.4,.489,15.4,,.267
21,Boston College,28,9,19,.321,0.68,5.46,2,16,,,,,2017,2139,,,,.451,.222,.534,54.1,52.5,,6.4,.491,22.8,,.314
22,Boston University,31,15,16,.484,-3.19,-2.22,7,9,,,,,2031,2061,,,,.408,.224,.500,52.6,57.0,,11.3,.458,19.0,,.277
23,Bowling Green State,27,16,11,.593,2.76,0.88,10,8,,,,,1925,1827,,,,.355,.281,.577,52.5,54.6,,5.5,.556,20.3,,.237
24,Bradley,30,20,10,.667,8.35,3.15,12,6,,,,,2132,1966,,,,.401,.260,.546,51.2,58.3,,8.1,.505,16.8,,.292
25,Brigham Young NCAA,32,22,10,.688,11.65,5.71,13,5,,,,,2405,2214,,,,.458,.279,.567,52.0,61.6,,8.1,.513,17.4,,.354
26,Brown,26,13,13,.500,-9.56,-6.64,8,6,,,,,1764,1840,,,,.390,.325,.524,47.5,59.4,,6.3,.486,18.7,,.270
27,Bucknell,27,13,14,.481,-7.21,-8.88,11,3,,,,,1886,1841,,,,.392,.234,.546,51.3,49.0,,6.4,.507,19.9,,.280
28,Buffalo,28,18,10,.643,-5.29,-9.33,12,6,,,,,2152,2051,,,,.331,.308,.527,48.8,57.6,,8.4,.498,18.1,,.225
29,Butler,27,15,12,.556,-0.99,-2.30,8,7,,,,,1984,1921,,,,.536,.235,.533,55.6,52.9,,6.1,.501,20.0,,.336
30,Cal Poly,27,1,26,.037,-30.38,-0.65,0,6,,,,,1493,2273,,,,.294,.197,.454,43.8,49.9,,4.7,.430,26.8,,.174
31,Cal State Fullerton,27,7,20,.259,-6.28,2.79,5,13,,,,,1914,2159,,,,.431,.301,.496,46.3,52.7,,6.4,.455,19.7,,.286
32,Cal State Northridge,28,8,20,.286,-11.07,-1.34,4,2,,,,,2002,2284,,,,.381,.312,.516,48.4,55.8,,7.6,.477,21.6,,.266
33,UC-Irvine,29,13,16,.448,-0.16,3.09,6,12,,,,,2225,2302,,,,.434,.322,.524,50.3,57.5,,5.6,.487,17.8,,.289
34,UC-Santa Barbara,27,13,14,.481,1.73,0.47,8,10,,,,,1943,1909,,,,.399,.306,.544,49.7,60.1,,10.7,.509,19.3,,.276
35,University of California,27,13,14,.481,11.04,8.96,5,13,,,,,2158,2102,,,,.429,.319,.540,50.3,58.5,,8.9,.515,17.7,,.269
36,Campbell,26,8,18,.308,-17.19,-5.23,4,12,,,,,1612,1878,,,,.280,.286,.470,47.4,56.3,,5.2,.439,17.9,,.187
37,Canisius,35,21,14,.600,2.72,1.18,10,4,,,,,2441,2386,,,,.366,.332,.515,48.2,59.2,,7.5,.472,17.1,,.266
38,Centenary (LA),27,10,17,.370,-11.90,-5.94,7,9,,,,,2174,2299,,,,.303,.350,.519,44.9,60.2,,8.3,.487,15.5,,.214
39,Central Connecticut State,26,8,18,.308,-17.43,-8.62,6,12,,,,,1815,2065,,,,.357,.208,.505,53.3,56.1,,16.6,.477,23.5,,.228
40,Central Florida,27,11,16,.407,-9.51,-6.58,7,9,,,,,2037,2104,,,,.309,.237,.519,50.7,54.3,,8.2,.494,19.1,,.203
41,Central Michigan,26,3,23,.115,-13.36,1.64,0,18,,,,,1662,1992,,,,.334,.249,.491,45.2,42.4,,3.5,.457,18.6,,.225
42,Charleston Southern,29,19,10,.655,-4.47,-6.51,12,4,,,,,2149,2090,,,,.374,.245,.524,51.6,51.2,,8.2,.490,18.5,,.255
43,Charlotte NCAA,28,19,9,.679,9.26,3.54,8,4,,,,,2087,1927,,,,.375,.259,.530,54.2,58.1,,13.8,.485,17.5,,.279
44,Chattanooga NCAA,30,19,11,.633,-1.49,-4.60,11,3,,,,,2294,2170,,,,.420,.387,.549,50.5,58.8,,8.6,.513,19.2,,.291
45,Chicago State,26,6,20,.231,-20.31,-4.85,6,12,,,,,1972,2382,,,,.311,.332,.504,42.0,47.4,,5.2,.480,18.3,,.197
46,Cincinnati NCAA,34,22,12,.647,18.34,8.93,7,5,,,,,2754,2423,,,,.373,.312,.546,54.8,55.2,,8.2,.520,17.3,,.245
47,Citadel,27,11,16,.407,-12.95,-5.45,6,8,,,,,1837,1948,,,,.355,.333,.508,47.8,56.3,,6.5,.474,18.2,,.238
48,Clemson,28,15,13,.536,10.30,8.70,5,11,,,,,1794,1749,,,,.296,.389,.552,50.5,61.3,,6.5,.527,16.6,,.206
49,Cleveland State,27,10,17,.370,-8.59,-2.51,3,11,,,,,1992,2114,,,,.397,.178,.508,51.8,55.4,,7.8,.474,20.9,,.258
50,Coastal Carolina,26,6,20,.231,-14.88,-4.58,3,13,,,,,1857,2075,,,,.321,.310,.489,48.2,53.2,,5.6,.456,18.0,,.216
51,Colgate NCAA,30,17,13,.567,-5.43,-4.96,11,3,,,,,2296,2313,,,,.384,.294,.532,50.9,47.1,,13.2,.507,18.8,,.246
52,College of Charleston,29,23,6,.793,2.99,-5.01,15,1,,,,,2075,1819,,,,.359,.250,.517,52.7,56.2,,11.0,.487,15.4,,.236
53,Colorado State,31,17,14,.548,3.39,3.96,7,11,,,,,2321,235,,,,.462,.310,.546,53.5,57.1,,9.8,.497,18.0,,.337
54,Colorado,28,15,13,.536,8.51,7.44,5,9,,,,,2227,2198,,,,.384,.273,.533,48.2,58.4,,12.1,.504,18.1,,.252
55,Columbia,26,4,22,.154,-22.44,-8.12,1,13,,,,,1591,1922,,,,.387,.263,.488,49.3,57.0,,7.1,.452,25.5,,.250
56,Connecticut NCAA,33,28,5,.848,18.99,7.41,16,2,,,,,2837,2455,,,,.343,.270,.561,53.1,61.5,,7.4,.524,16.9,,.256
57,Coppin State,31,21,10,.677,-2.08,-8.35,15,1,,,,,2278,2059,,,,.342,.374,.530,51.3,49.8,,-37.6,.487,15.8,,.257
58,Cornell,26,9,17,.346,-19.89,-8.73,4,10,,,,,1823,2091,,,,.336,.292,.488,49.4,50.8,,7.6,.459,19.2,,.213
59,Creighton,26,7,19,.269,-6.82,3.06,4,14,,,,,1588,1845,,,,.334,.342,.458,51.9,60.5,,6.9,.438,21.2,,.186
60,Dartmouth,26,13,13,.500,-11.02,-8.94,10,4,,,,,1793,1798,,,,.341,.268,.527,48.5,64.4,,12.6,.494,19.8,,.236
61,Davidson,27,14,13,.519,-5.08,-4.13,7,7,,,,,2004,1936,,,,.407,.251,.539,52.3,58.0,,7.4,.496,19.4,,.294
62,Dayton,27,7,20,.259,-6.56,4.29,0,12,,,,,1800,2093,,,,.385,.275,.478,49.1,52.4,,4.3,.449,21.0,,.233
63,Delaware State,28,7,21,.250,-20.22,-12.30,3,13,,,,,1938,2136,,,,.365,.211,.483,49.8,48.9,,5.7,.454,19.3,,.225
64,Delaware,27,12,15,.444,-4.04,-3.48,7,9,,,,,2047,1996,,,,.425,.305,.562,51.7,58.2,,4.6,.518,19.6,,.313
65,DePaul,28,17,11,.607,14.05,6.05,6,6,,,,,2218,2004,,,,.400,.305,.572,51.1,62.1,,4.7,.538,16.8,,.286
66,Detroit Mercy,28,13,15,.464,-0.64,0.98,9,5,,,,,1944,1969,,,,.374,.355,.535,53.0,53.9,,6.1,.503,20.8,,.254
67,Drake,27,12,15,.444,-1.15,3.08,9,9,,,,,1967,2081,,,,.346,.359,.503,46.2,49.1,,11.1,.468,16.0,,.236
68,Drexel NCAA,30,22,8,.733,5.68,-3.69,12,4,,,,,2262,1981,,,,.428,.316,.541,53.9,60.1,,6.2,.501,17.6,,.299
69,Duke,31,13,18,.419,15.95,11.89,2,14,,,,,2410,2284,,,,.330,.317,.559,51.3,53.7,,9.4,.536,17.1,,.222
70,Duquesne,28,10,18,.357,0.79,5.82,5,11,,,,,1908,2049,,,,.360,.301,.487,47.3,47.4,,6.2,.454,19.0,,.232
71,East Carolina,29,18,11,.621,-1.96,-5.00,7,7,,,,,2132,2015,,,,.368,.271,.546,54.4,58.7,,6.4,.517,19.1,,.248
72,East Tennessee State,28,14,14,.500,-5.98,-4.02,9,5,,,,,2217,2205,,,,.344,.311,.538,47.9,51.0,,7.9,.517,19.3,,.219
73,Eastern Illinois,29,16,13,.552,-9.12,-9.66,10,8,,,,,2142,2043,,,,.418,.315,.542,51.6,57.0,,8.0,.513,18.5,,.273
74,Eastern Kentucky,28,9,19,.321,-10.82,-6.11,6,10,,,,,2009,2141,,,,.350,.269,.513,49.4,42.0,,3.3,.482,16.4,,.234
75,Eastern Michigan,30,20,10,.667,5.16,1.98,12,6,,,,,2239,2123,,,,.428,.284,.521,52.5,47.1,,8.4,.484,16.1,,.286
76,Eastern Washington,26,6,20,.231,-7.81,0.71,2,12,,,,,1763,1943,,,,.390,.164,.506,51.4,52.8,,4.8,.460,21.6,,.279
77,Evansville,27,18,9,.667,13.41,-0.26,11,7,,,,,2078,1719,,,,.440,.291,.590,51.5,65.7,,6.4,.558,17.5,,.310
78,Fairfield,28,13,15,.464,-3.35,-3.38,6,8,,,,,1921,1961,,,,.369,.315,.558,47.8,60.3,,6.8,.531,19.4,,.249
79,Fairleigh Dickinson,28,16,12,.571,-9.32,-8.46,11,7,,,,,2058,2082,,,,.497,.258,.517,51.8,43.7,,6.1,.472,19.8,,.333
80,Florida A&M,27,5,22,.185,-24.54,-8.54,2,14,,,,,1943,2313,,,,.370,.260,.479,47.5,44.5,,7.6,.443,18.9,,.242
81,Florida Atlantic,27,9,18,.333,-15.06,-2.70,0,0,,,,,1702,1984,,,,.345,.201,.474,47.6,46.7,,8.4,.442,8.7,,.219
82,Florida International NCAA,30,11,19,.367,-10.51,-5.31,4,12,,,,,2018,2172,,,,.380,.222,.498,49.1,54.4,,4.8,.465,19.6,,.247
83,Florida State,27,12,15,.444,13.01,12.50,5,11,,,,,2027,2013,,,,.289,.350,.531,51.8,51.8,,14.0,.507,18.7,,.194
84,Florida NCAA,30,17,13,.567,15.34,11.31,8,8,,,,,2178,2057,,,,.435,.220,.537,54.5,54.5,,8.3,.492,18.8,,.311
85,Fordham,28,11,17,.393,-10.71,-7.40,6,8,,,,,1842,1905,,,,.446,.164,.509,50.2,55.6,,6.2,.467,18.6,,.300
86,Fresno State,28,13,15,.464,2.48,3.74,7,11,,,,,2000,2007,,,,.346,.366,.553,47.6,59.9,,8.7,.526,18.5,,.234
87,Furman,27,10,17,.370,-8.57,-5.03,6,8,,,,,1820,1862,,,,.288,.338,.513,49.6,54.5,,6.8,.488,18.4,,.190
88,George Mason,27,7,20,.259,-12.96,-1.81,2,12,,,,,2499,2748,,,,.282,.258,.503,47.2,46.2,,5.7,.476,16.7,,.188
89,George Washington,32,18,14,.563,6.79,6.82,10,6,,,,,2407,2408,,,,.438,.265,.530,50.0,56.7,,11.1,.493,17.3,,.294
90,Georgetown NCAA,31,21,10,.677,11.34,6.41,11,7,,,,,2340,2147,,,,.439,.261,.510,51.3,45.3,,12.5,.473,19.5,,.285
91,Georgia Southern,28,8,20,.286,-15.30,-3.96,3,11,,,,,1892,2095,,,,.265,.293,.497,50.1,50.8,,4.4,.471,20.1,,.177
92,Georgia State,28,11,17,.393,-12.81,-7.21,6,10,,,,,2037,2179,,,,.389,.165,.490,50.1,45.9,,6.8,.453,18.4,,.255
93,Georgia Tech,30,18,12,.600,14.91,9.04,8,8,,,,,2400,2224,,,,.325,.275,.553,49.2,60.1,,9.0,.522,15.5,,.234
94,Georgia,28,18,10,.643,14.21,5.96,9,7,,,,,2175,1944,,,,.391,.258,.534,53.4,57.2,,13.0,.506,17.3,,.252
95,Gonzaga NCAA,30,21,9,.700,8.57,-0.22,7,7,,,,,2296,1984,,,,.486,.364,.592,51.0,51.6,,7.4,.558,16.8,,.342
96,Grambling,28,11,17,.393,-19.69,-10.86,5,9,,,,,2250,2391,,,,.365,.285,.512,46.8,56.2,,4.9,.490,18.3,,.221
97,Green Bay NCAA,30,22,8,.733,4.78,-1.36,11,4,,,,,1951,1767,,,,.388,.318,.580,49.3,73.6,,5.7,.544,17.6,,.285
98,Hartford,27,11,16,.407,-5.78,-2.67,7,9,,,,,1893,1974,,,,.346,.181,.485,50.7,55.7,,8.0,.451,18.2,,.228
99,Harvard,26,6,20,.231,-14.50,-9.10,4,10,,,,,1738,1847,,,,.290,.273,.483,50.2,52.1,,-17.8,.456,20.4,,.187
100,Hawaii,29,16,13,.552,8.19,6.98,8,10,,,,,2033,1998,,,,.375,.269,.528,48.9,59.1,,9.5,.498,17.8,,.248
101,Hofstra,28,10,18,.357,-8.47,-4.54,5,11,,,,,1976,2072,,,,.412,.320,.515,47.0,54.3,,5.1,.476,19.1,,.279
102,Holy Cross,27,15,12,.556,-8.10,-9.84,9,5,,,,,2091,2044,,,,.411,.333,.524,46.5,51.9,,11.5,.490,17.5,,.273
103,Houston,28,9,19,.321,-5.80,2.50,5,9,,,,,2146,2340,,,,.395,.295,.515,48.9,53.4,,9.2,.478,19.4,,.267
104,Howard,27,9,18,.333,-18.36,-10.95,8,8,,,,,1907,2115,,,,.344,.255,.476,48.3,44.4,,7.3,.438,17.0,,.231
105,Idaho State,28,18,10,.643,4.57,0.20,7,7,,,,,2248,2015,,,,.512,.237,.553,50.9,56.9,,6.8,.508,17.6,,.359
106,Idaho,27,12,15,.444,-1.12,4.30,6,8,,,,,1851,1941,,,,.376,.296,.529,50.5,53.7,,3.3,.501,18.5,,.244
107,Illinois-Chicago,27,18,9,.667,1.65,-3.19,11,4,,,,,2248,2101,,,,.316,.347,.529,48.7,57.4,,7.9,.494,14.5,,.229
108,Illinois State,33,20,13,.606,4.03,3.35,13,5,,,,,2511,2480,,,,.427,.279,.559,49.7,65.7,,5.1,.519,17.9,,.307
