,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
109,Illinois NCAA,31,19,12,.613,11.95,7.68,10,8,,,,,2265,2125,,,,.377,.249,.521,54.3,48.2,,4.3,.492,16.4,,.245
110,Indiana State,26,7,19,.269,-4.85,0.83,3,15,,,,,1880,1995,,,,.422,.280,.517,48.4,59.5,,7.0,.480,20.0,,.284
111,Indiana NCAA,31,19,12,.613,14.85,9.05,11,7,,,,,2345,2158,,,,.416,.165,.545,51.8,56.0,,11.0,.514,18.1,,.277
112,Iona,27,10,17,.370,-6.59,-4.93,6,8,,,,,2035,,,,,.358,.232,.532,,56.4,,,.501,,,.242
113,Iowa State NCAA,34,23,11,.676,16.57,9.70,6,8,,,,,2607,2298,,,,.424,.238,.571,52.0,67.3,,7.5,.526,17.1,,.321
114,Iowa,33,21,12,.636,16.02,6.86,9,9,,,,,2757,2460,,,,.425,.365,.564,51.4,59.4,,7.0,.527,16.8,,.301
115,Jackson State,31,12,19,.387,-9.14,-5.81,7,7,,,,,2390,2477,,,,.324,.243,.506,50.0,53.6,,8.5,.488,20.1,,.194
116,Jacksonville,27,18,9,.667,-0.31,-2.77,12,6,,,,,2062,1984,,,,.406,.240,.518,51.4,50.7,,8.0,.492,18.4,,.252
117,James Madison,29,16,13,.552,-0.34,-3.62,9,5,,,,,2276,2173,,,,.396,.300,.574,49.0,43.7,,11.1,.540,17.8,,.285
118,Kansas State,27,12,15,.444,4.14,9.66,3,11,,,,,1857,1945,,,,.339,.265,.473,50.9,47.5,,6.1,.442,17.2,,.215
119,Kansas NCAA,31,25,6,.806,22.16,10.02,11,3,,,,,2573,2171,,,,.420,.306,.557,53.3,57.8,,12.8,.529,17.3,,.279
120,Kent State,27,8,19,.296,-6.81,1.01,5,13,,,,,1757,1978,,,,.343,.245,.486,46.1,58.4,,6.6,.444,20.1,,.241
121,Kentucky NCAA,33,28,5,.848,28.28,9.65,14,2,,,,,2884,2278,,,,.362,.333,.556,52.3,63.7,,12.8,.522,15.9,,.261
122,La Salle,27,13,14,.481,-0.21,0.09,7,7,,,,,1994,2002,,,,.318,.444,.511,47.8,47.2,,4.5,.482,13.9,,.213
123,Lafayette,27,2,25,.074,-27.88,-7.03,0,14,,,,,1833,2349,,,,.325,.254,.459,46.8,40.8,,4.2,.424,20.4,,.214
124,Lamar,27,11,16,.407,-11.26,-3.86,6,12,,,,,1775,1921,,,,.399,.237,.467,50.6,49.6,,3.5,.432,18.9,,.247
125,Lehigh,27,11,16,.407,-13.13,-8.86,5,9,,,,,2030,2131,,,,.471,.190,.512,49.5,48.5,,6.9,.469,17.3,,.314
126,Liberty,28,12,16,.429,-7.71,-4.21,7,9,,,,,1872,1925,,,,.363,.320,.511,51.3,62.8,,12.8,.476,21.8,,.245
127,Long Beach State NCAA,30,20,10,.667,4.84,3.64,13,5,,,,,2173,2098,,,,.405,.285,.540,51.0,63.3,,7.8,.516,20.6,,.254
128,Long Island University,28,11,17,.393,-18.03,-8.62,8,10,,,,,2248,2462,,,,.364,.243,.481,46.2,40.0,,7.4,.449,15.3,,.230
129,Louisiana,29,7,22,.241,-8.10,-1.47,4,14,,,,,1987,2106,,,,.334,.277,.469,47.8,55.5,,10.1,.441,19.4,,.205
130,Louisiana-Monroe,32,14,18,.438,-5.38,-3.22,11,7,,,,,2406,2475,,,,.290,.316,.524,49.3,44.4,,6.6,.496,18.6,,.201
131,Louisiana State,27,12,15,.444,5.97,7.46,6,10,,,,,2151,2191,,,,.323,.306,.527,51.9,60.6,,11.6,.499,20.3,,.217
132,Louisiana Tech,27,14,13,.519,-5.05,-5.24,9,9,,,,,1735,1718,,,,.493,.214,.520,50.5,47.7,,3.1,.482,21.5,,.319
133,Louisville NCAA,33,19,14,.576,11.60,7.82,7,5,,,,,2521,2396,,,,.329,.317,.552,48.6,55.7,,13.0,.528,18.4,,.221
134,Loyola (IL),27,5,22,.185,-12.05,-1.70,2,13,,,,,1803,2053,,,,.387,.246,.494,45.8,57.6,,8.7,.455,19.4,,.261
135,Loyola Marymount,28,13,15,.464,-1.09,0.51,4,10,,,,,2056,2058,,,,.438,.252,.529,51.9,54.4,,8.3,.498,20.8,,.282
136,Loyola (MD),27,9,18,.333,-9.63,-2.08,5,9,,,,,1852,2055,,,,.421,.267,.495,48.0,53.4,,5.2,.447,19.1,,.294
137,Maine,27,11,16,.407,-9.45,-4.30,6,10,,,,,1860,1988,,,,.406,.245,.475,50.6,47.5,,8.0,.442,18.0,,.248
138,Manhattan NCAA,31,26,5,.839,9.32,-3.71,12,2,,,,,2333,1929,,,,.435,.237,.557,53.0,58.1,,9.7,.527,17.3,,.288
139,Marist,28,17,11,.607,-5.10,-8.95,12,6,,,,,2135,2027,,,,.408,.311,.572,52.2,55.4,,11.0,.536,18.3,,.294
140,Marquette,33,21,12,.636,11.96,5.78,7,5,,,,,2339,2135,,,,.407,.362,.504,51.3,62.6,,12.4,.473,16.2,,.258
141,Marshall,27,18,9,.667,-0.73,-6.00,10,4,,,,,2279,2095,,,,.376,.401,.559,48.5,54.4,,9.8,.520,19.1,,.279
142,Maryland-Baltimore County,27,13,14,.481,-9.19,-6.23,10,6,,,,,1788,1839,,,,.363,.319,.496,50.3,62.6,,13.7,.463,19.5,,.237
143,Maryland-Eastern Shore,27,13,14,.481,-15.96,-12.46,9,7,,,,,1895,1898,,,,.350,.206,.514,48.8,44.5,,8.2,.481,16.3,,.236
144,Maryland NCAA,34,26,8,.765,22.88,10.36,12,4,,,,,2946,2514,,,,.475,.244,.578,54.5,61.9,,11.9,.541,17.2,,.335
145,Massachusetts NCAA,34,29,5,.853,23.15,8.03,13,3,,,,,2749,2235,,,,.399,.244,.534,54.5,58.0,,17.8,.504,16.2,,.263
146,McNeese State,27,11,16,.407,-10.27,-7.02,7,11,,,,,2095,2183,,,,.403,.332,.537,46.1,66.8,,4.9,.511,18.0,,.258
147,Memphis NCAA,34,24,10,.706,14.37,5.78,9,3,,,,,2701,2409,,,,.365,.248,.533,52.8,61.4,,15.5,.509,18.3,,.233
148,Mercer,29,15,14,.517,-6.84,-5.69,8,8,,,,,2262,2269,,,,.406,.271,.527,50.5,38.9,,11.6,.496,17.4,,.266
149,Miami (FL),28,15,13,.536,2.09,4.12,9,9,,,,,1831,1888,,,,.349,.299,.483,50.3,57.7,,11.3,.449,20.4,,.227
150,Miami (OH) NCAA,30,23,7,.767,10.06,0.82,16,2,,,,,2119,1827,,,,.400,.305,.539,50.7,52.7,,7.8,.507,16.3,,.269
151,Michigan State NCAA,28,22,6,.786,17.60,7.88,14,4,,,,,2194,1926,,,,.338,.233,.568,54.8,55.7,,4.0,.546,16.9,,.227
152,Michigan NCAA,31,17,14,.548,9.77,8.90,11,7,,,,,2188,2161,,,,.347,.222,.504,51.9,46.1,,11.0,.475,19.4,,.224
153,Middle Tennessee,27,12,15,.444,-13.62,-6.71,5,11,,,,,1934,2054,,,,.363,.166,.490,50.9,52.0,,6.3,.455,22.5,,.239
154,Milwaukee,27,3,24,.111,-16.97,-3.66,2,13,,,,,1824,2171,,,,.385,.304,.476,45.6,43.9,,3.7,.426,17.5,,.274
155,Minnesota NCAA,32,19,13,.594,13.88,6.27,10,8,,,,,2360,2123,,,,.355,.309,.519,53.0,61.4,,7.2,.484,17.5,,.245
156,Mississippi State NCAA,30,22,8,.733,17.33,8.53,12,4,,,,,2201,1937,,,,.359,.374,.546,51.9,61.2,,11.1,.515,19.6,,.249
157,Mississippi Valley State,28,17,11,.607,-11.00,-11.59,10,4,,,,,2251,2197,,,,.338,.240,.487,55.1,42.8,,7.8,.460,17.4,,.210
158,Mississippi,27,8,19,.296,2.17,5.65,3,13,,,,,1878,1972,,,,.386,.256,.487,52.0,60.3,,7.5,.455,18.5,,.242
159,Missouri-Kansas City,26,7,19,.269,-11.21,-6.21,7,11,,,,,1823,1949,,,,.470,.276,.519,47.6,45.5,,5.4,.467,19.0,,.335
160,Missouri State,27,16,11,.593,4.60,0.16,9,9,,,,,1827,1707,,,,.386,.292,.511,49.7,59.4,,7.2,.475,14.9,,.260
161,Missouri NCAA,29,20,9,.690,11.97,8.35,8,6,,,,,2233,2128,,,,.463,.276,.545,52.5,48.7,,8.6,.504,18.0,,.322
162,Monmouth,27,13,14,.481,-5.77,-8.22,11,7,,,,,1910,1844,,,,.406,.249,.548,49.4,58.0,,8.7,.505,18.1,,.296
163,Montana State,29,21,8,.724,11.82,0.98,8,6,,,,,2443,2054,,,,.338,.249,.575,50.4,65.2,,8.3,.555,17.3,,.224
164,Montana,30,21,9,.700,7.36,3.20,11,3,,,,,2337,2135,,,,.521,.285,.562,51.5,60.6,,7.2,.512,20.0,,.379
165,Morehead State,27,15,12,.556,-5.73,-5.33,10,6,,,,,2053,1974,,,,.357,.412,.547,48.5,59.1,,7.3,.507,16.7,,.266
166,Morgan State,27,5,22,.185,-23.22,-8.55,5,11,,,,,1841,2248,,,,.329,.284,.506,44.4,51.4,,4.7,.483,21.9,,.203
167,Mount St. Mary's NCAA,30,17,13,.567,-6.95,-6.74,12,6,,,,,2323,2312,,,,.359,.279,.526,50.8,52.5,,7.6,.491,16.9,,.250
168,Murray State NCAA,30,21,9,.700,-2.43,-9.10,11,5,,,,,2608,2316,,,,.367,.288,.567,50.5,44.2,,11.0,.525,16.3,,.282
169,Navy,29,20,9,.690,-3.72,-10.83,10,4,,,,,349,1966,,,,.986,.991,.343,57.8,99.1,,7.0,1.488,45.4,,.986
170,Nebraska,32,18,14,.563,11.21,6.80,4,10,,,,,2510,2367,,,,.393,.259,.543,48.7,63.1,,11.2,.510,17.2,,.269
171,Nevada-Las Vegas,28,12,16,.429,0.72,2.57,7,11,,,,,2147,2199,,,,.403,.343,.557,48.5,52.6,,5.9,.524,20.3,,.279
172,Nevada,29,18,11,.621,5.54,2.85,12,6,,,,,2235,2157,,,,.394,.252,.544,50.4,55.6,,7.9,.514,18.6,,.265
173,New Hampshire,28,19,9,.679,-2.18,-3.86,11,5,,,,,2256,2209,,,,.383,.299,.559,49.1,56.3,,5.9,.528,18.4,,.267
174,New Mexico State,35,25,10,.714,10.29,3.56,13,5,,,,,2997,2740,,,,.432,.289,.543,52.2,54.9,,11.3,.520,17.5,,.269
175,New Mexico,30,15,15,.500,6.43,5.25,9,9,,,,,2259,2164,,,,.424,.344,.558,48.7,54.7,,9.8,.534,16.2,,.274
176,New Orleans,31,20,11,.645,0.81,-2.49,13,5,,,,,2219,2096,,,,.380,.279,.503,51.5,51.0,,9.9,.472,17.9,,.244
