,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,29,8,21,.276,-3.57,1.99,3,11,6,9,1,11,1667,1828,,,544,1251,.435,245,683,.359,334,479,.697,182,666,367,211,54,385,572
2,Akron,28,12,16,.429,-3.09,1.67,9,9,8,5,4,9,1901,2034,,,613,1355,.452,189,436,.433,486,670,.725,252,823,379,161,89,445,516
3,Alabama A&M,28,17,11,.607,-13.46,-11.79,13,5,11,2,5,9,2056,2091,,,743,1902,.391,156,536,.291,414,661,.626,497,1138,388,339,78,473,610
4,Alabama-Birmingham,31,17,14,.548,6.63,4.08,8,8,10,5,6,7,2236,2157,,,799,1882,.425,178,552,.322,460,709,.649,454,1274,392,208,125,465,646
5,Alabama State NCAA,31,22,9,.710,-8.86,-13.61,15,3,11,2,8,5,2135,1980,,,756,1713,.441,165,506,.326,458,696,.658,386,1175,410,260,93,510,502
6,Alabama,36,25,11,.694,14.02,6.27,8,8,18,1,2,7,2761,2482,,,953,2199,.433,232,711,.326,623,893,.698,580,1519,438,257,166,547,690
7,Albany (NY),28,6,22,.214,-18.87,-8.67,,,4,9,1,12,1928,2169,,,712,1656,.430,166,442,.376,338,501,.675,281,920,316,225,64,428,570
8,Alcorn State,30,15,15,.500,-11.98,-10.78,13,5,8,2,6,10,2245,2280,,,784,1790,.438,159,476,.334,518,746,.694,433,1158,366,228,95,577,588
9,American,27,7,20,.259,-10.33,-2.81,3,13,6,7,1,13,1579,1782,,,596,1470,.405,110,382,.288,277,484,.572,348,1000,293,137,114,431,473
10,Appalachian State,31,11,20,.355,-12.13,-4.24,7,9,6,8,5,9,2005,2186,,,743,1715,.433,133,438,.304,386,572,.675,410,1172,444,193,79,547,598
11,Arizona State,29,13,16,.448,11.09,8.99,5,13,10,7,2,8,2121,2060,,,779,1757,.443,105,356,.295,458,681,.673,430,1144,458,183,119,456,678
12,Arizona NCAA,36,28,8,.778,26.84,12.56,15,3,13,2,7,5,2926,2386,,,1015,2131,.476,193,544,.355,703,940,.748,487,1433,585,283,159,546,630
13,Little Rock,29,18,11,.621,-0.79,-3.63,9,7,10,3,7,8,2056,1849,,,704,1484,.474,200,492,.407,448,635,.706,263,957,376,218,91,466,578
14,Arkansas-Pine Bluff,27,2,25,.074,-31.20,-8.23,2,16,2,8,0,17,1660,2282,,,612,1662,.368,116,412,.282,320,543,.589,359,1005,269,210,90,526,537
15,Arkansas State,30,17,13,.567,-4.23,-2.76,10,6,9,4,6,8,2189,2168,,,799,1759,.454,180,535,.336,411,593,.693,358,1114,415,155,141,442,614
16,Arkansas NCAA,31,20,11,.645,16.61,6.16,10,6,16,2,3,7,2476,2152,,,881,1990,.443,273,741,.368,441,639,.690,410,1100,476,365,124,451,654
17,Army,28,9,19,.321,-15.73,-7.65,3,9,7,7,2,11,2015,2201,,,644,1502,.429,160,419,.382,567,756,.750,272,919,309,169,58,498,662
18,Auburn,32,18,14,.563,11.48,7.14,7,9,14,5,2,7,2477,2338,,,917,2043,.449,198,642,.308,445,684,.651,466,1243,495,265,155,450,629
19,Austin Peay,32,22,10,.688,-0.53,-3.26,10,6,11,1,6,8,2510,2404,,,935,1845,.507,189,510,.371,451,641,.704,403,1111,472,189,148,462,504
20,Ball State,30,18,12,.600,3.12,0.30,11,7,9,6,7,5,2092,1993,,,784,1736,.452,193,477,.405,331,508,.652,412,1152,381,153,98,402,527
21,Baylor,31,19,12,.613,7.42,2.60,6,10,14,3,3,8,2209,2001,,,784,1748,.449,188,630,.298,453,673,.673,331,1118,473,274,75,445,541
22,Belmont,28,13,15,.464,-9.75,-5.45,,,9,2,3,12,2133,2202,,,719,1667,.431,288,815,.353,407,546,.745,350,995,490,151,45,422,552
23,Bethune-Cookman,29,10,19,.345,-17.81,-10.37,5,13,8,6,1,12,1822,1976,,,618,1541,.401,115,375,.307,471,738,.638,367,1028,242,207,59,499,644
24,Boise State,31,17,14,.548,-0.69,-0.21,8,8,10,2,6,9,2237,2230,,,811,1778,.456,174,501,.347,441,653,.675,338,1015,433,214,92,460,630
25,Boston College NCAA,32,27,5,.844,17.99,5.18,13,3,17,0,6,4,2547,2129,,,879,1934,.454,230,651,.353,559,788,.709,486,1166,464,326,97,423,652
26,Boston University,28,14,14,.500,-5.30,-5.84,9,9,8,4,5,9,1913,1898,,,656,1577,.416,194,545,.356,407,559,.728,353,1011,347,189,53,376,568
27,Bowling Green State,29,15,14,.517,2.00,1.40,10,8,10,4,5,9,2202,2110,,,761,1571,.484,134,354,.379,546,712,.767,276,952,442,221,98,424,587
28,Bradley,31,19,12,.613,3.15,1.75,12,6,13,2,3,8,2045,1972,,,699,1590,.440,166,452,.367,481,644,.747,306,1180,403,164,127,433,550
29,Brigham Young NCAA,33,24,9,.727,10.94,3.47,10,4,15,0,4,6,2324,2069,,,744,1620,.459,185,485,.381,651,835,.780,292,988,414,203,108,433,491
30,Brown,27,15,12,.556,-8.93,-6.78,9,5,10,2,5,10,1968,2026,,,682,1511,.451,154,457,.337,450,652,.690,327,968,384,211,71,472,539
31,Bucknell,29,14,15,.483,-12.19,-6.27,4,8,9,4,4,11,1909,2041,,,664,1542,.431,112,357,.314,469,762,.615,342,1015,338,216,85,497,540
32,Buffalo,28,4,24,.143,-9.02,0.70,2,16,3,10,0,13,1873,2145,,,645,1548,.417,189,529,.357,394,605,.651,329,944,331,186,66,444,589
33,Butler NCAA,32,24,8,.750,12.55,3.98,11,3,13,1,7,6,2228,1946,,,755,1643,.460,251,617,.407,467,652,.716,305,922,388,222,89,377,505
34,Cal Poly,28,9,19,.321,-8.24,-1.33,3,13,6,9,3,9,2241,2273,,,773,1764,.438,198,572,.346,497,728,.683,419,1129,334,178,96,422,565
35,Cal State Fullerton,28,5,23,.179,-13.24,-0.20,3,13,3,11,2,11,1657,1964,,,556,1336,.416,144,471,.306,401,585,.685,253,823,327,151,56,467,568
36,Cal State Northridge NCAA,32,22,10,.688,5.94,0.24,13,3,13,1,8,6,2650,2409,,,910,1842,.494,217,547,.397,613,865,.709,373,1158,608,267,77,489,716
37,UC-Irvine,30,25,5,.833,2.12,-2.58,15,1,14,1,10,3,2108,1928,,,705,1550,.455,181,464,.390,517,697,.742,274,1062,370,194,89,461,606
38,UC-Santa Barbara,28,13,15,.464,-2.87,-0.75,9,7,9,5,4,9,1933,1972,,,655,1512,.433,144,440,.327,479,662,.724,296,1020,394,166,63,449,566
39,University of California NCAA,31,20,11,.645,14.76,9.08,11,7,14,3,5,7,2304,2128,,,813,1699,.479,176,503,.350,502,732,.686,281,998,508,225,66,424,570
40,Campbell,28,7,21,.250,-16.75,-7.36,5,13,4,7,3,13,1819,2082,,,682,1599,.427,147,432,.340,308,464,.664,340,943,338,155,84,401,510
41,Canisius,31,20,11,.645,-2.11,-4.62,9,9,12,3,7,8,2395,2317,,,840,1850,.454,227,601,.378,488,706,.691,370,1162,494,199,99,414,624
42,Centenary (LA),27,8,19,.296,-13.08,-1.53,,,8,3,0,15,1854,2036,,,619,1494,.414,133,410,.324,483,641,.754,,950,292,156,52,392,640
43,Central Connecticut State,28,14,14,.500,-8.79,-10.18,11,9,8,5,6,7,2050,2011,,,710,1610,.441,155,429,.361,475,681,.698,419,1090,337,209,91,466,568
44,Central Florida,31,8,23,.258,-9.46,-5.26,3,15,4,9,3,11,2182,2302,,,795,1846,.431,194,608,.319,398,581,.685,393,1096,420,240,109,469,583
45,Central Michigan,28,20,8,.714,0.98,0.02,14,4,13,1,7,6,1998,1901,,,669,1370,.488,130,373,.349,530,723,.733,259,921,374,167,65,426,546
46,Charleston Southern,29,10,19,.345,-16.14,-7.06,6,8,7,6,2,10,1860,2086,,,677,1583,.428,135,419,.322,371,580,.640,353,966,345,283,91,531,648
47,Charlotte NCAA,33,22,11,.667,14.24,7.91,10,6,10,2,7,7,2583,2374,,,873,1998,.437,305,848,.360,532,777,.685,411,1267,471,231,97,418,663
48,Chattanooga,30,17,13,.567,-2.13,-3.81,9,7,12,2,3,9,2195,2094,,,742,1654,.449,197,561,.351,514,733,.701,409,1122,411,202,68,461,545
49,Chicago State,28,5,23,.179,-15.14,-1.29,2,14,3,9,2,13,1776,2120,,,682,1586,.430,131,403,.325,281,456,.616,355,986,381,171,90,496,599
50,Cincinnati NCAA,35,25,10,.714,16.19,7.84,11,5,11,3,7,5,2586,2294,,,921,2076,.444,214,600,.357,530,760,.697,464,1216,451,194,118,380,666
51,Citadel,28,16,12,.571,-6.91,-6.00,9,7,12,2,2,9,1927,1856,,,646,1566,.413,183,547,.335,452,715,.632,390,1036,337,218,102,414,619
52,Clemson,31,12,19,.387,2.73,8.31,2,14,9,7,1,9,2298,2471,,,797,1879,.424,248,692,.358,456,650,.702,384,1185,434,187,69,496,668
53,Cleveland State,32,19,13,.594,2.06,1.56,9,5,11,2,6,8,2192,2167,,,725,1717,.422,196,531,.369,546,795,.687,434,1185,324,210,130,488,647
54,Coastal Carolina,28,8,20,.286,-13.37,-6.62,6,8,6,7,2,12,1984,2173,,,694,1582,.439,171,497,.344,425,604,.704,340,914,390,243,56,518,606
55,Colgate,28,13,15,.464,-10.85,-8.13,6,6,9,3,4,10,1979,2004,,,658,1501,.438,130,366,.355,533,749,.712,337,958,357,203,70,482,643
56,College of Charleston,29,22,7,.759,1.62,-4.56,12,4,13,0,6,4,1942,1739,,,678,1494,.454,119,356,.334,467,615,.759,317,983,431,206,147,367,465
57,Colorado State,28,15,13,.536,5.49,2.33,6,8,10,3,2,8,1932,1774,,,666,1391,.479,183,454,.403,417,625,.667,297,971,432,162,42,424,556
58,Colorado,30,15,15,.500,11.10,5.65,5,11,8,7,6,6,2419,2250,,,837,1818,.460,186,518,.359,559,783,.714,402,1186,517,227,96,494,653
59,Columbia,27,12,15,.444,-10.79,-7.51,7,7,9,3,2,12,1539,1591,,,514,1230,.418,157,454,.346,354,500,.708,200,838,333,140,99,415,512
60,Connecticut,32,20,12,.625,10.17,5.43,8,8,17,2,1,8,2348,2185,,,860,1850,.465,102,298,.342,526,751,.700,475,1231,444,257,120,481,593
61,Coppin State,28,13,15,.464,-12.03,-9.39,11,8,7,5,4,9,1806,1880,,,628,1523,.412,129,408,.316,421,566,.744,326,959,256,162,85,436,556
62,Cornell,27,7,20,.259,-14.40,-7.52,3,11,4,8,3,9,1686,1832,,,578,1487,.389,173,585,.296,357,535,.667,330,904,292,193,38,361,529
63,Creighton NCAA,32,24,8,.750,12.40,3.00,14,4,14,0,7,5,2325,2024,,,788,1782,.442,249,694,.359,500,712,.702,357,1084,490,293,114,426,646
64,Dartmouth,27,8,19,.296,-14.38,-7.34,3,11,6,7,2,11,1720,1883,,,577,1436,.402,218,661,.330,348,489,.712,221,851,389,160,64,374,481
65,Davidson,32,15,17,.469,-8.76,-3.65,7,9,10,4,2,9,2208,2238,,,774,1816,.426,197,555,.355,463,699,.662,404,1247,438,209,119,576,708
66,Dayton,34,21,13,.618,9.73,6.14,9,7,12,6,6,6,2418,2296,,,819,1854,.442,254,686,.370,526,718,.733,446,1208,517,206,85,482,615
67,Delaware State,28,13,15,.464,-15.11,-10.97,11,7,8,3,5,11,1785,1901,,,646,1500,.431,183,558,.328,310,469,.661,309,851,398,191,71,378,497
68,Delaware,30,20,10,.667,1.90,-6.04,14,4,12,2,7,8,2252,2014,,,801,1732,.462,251,654,.384,399,578,.690,366,1142,463,219,157,486,604
69,Denver,28,10,18,.357,-7.30,-1.30,5,11,6,9,4,8,1888,1978,,,701,1664,.421,163,497,.328,323,540,.598,376,1086,359,185,71,467,526
70,DePaul,30,12,18,.400,5.34,8.02,4,12,8,8,3,8,2168,2219,,,766,1744,.439,184,549,.335,452,669,.676,396,1130,439,160,108,434,559
71,Detroit Mercy,37,25,12,.676,7.83,2.44,10,4,13,0,9,7,2600,2381,,,920,2036,.452,279,745,.374,481,706,.681,467,1292,473,214,105,448,711
72,Drake,28,12,16,.429,0.83,-0.21,8,10,10,5,2,10,1965,1936,,,668,1449,.461,201,507,.396,428,562,.762,240,934,385,139,64,380,480
73,Drexel,27,15,12,.556,-4.06,-5.43,12,6,9,2,5,9,2025,1988,,,723,1523,.475,163,439,.371,416,610,.682,316,1047,411,144,51,444,560
74,Duke NCAA,39,35,4,.897,32.18,11.98,13,3,13,2,9,1,3538,2750,,,1217,2530,.481,407,1057,.385,697,1002,.696,538,1505,701,411,196,531,659
75,Duquesne,30,9,21,.300,-3.14,3.96,3,13,7,6,0,12,2116,2329,,,735,1660,.443,156,440,.355,490,702,.698,352,990,331,196,64,509,594
76,East Carolina,28,14,14,.500,-4.24,-3.16,6,10,10,3,3,11,2018,2044,,,659,1603,.411,228,662,.344,472,651,.725,295,1002,356,165,47,386,565
77,East Tennessee State,28,18,10,.643,-3.04,-6.12,13,3,11,2,7,7,2034,1825,,,727,1638,.444,153,466,.328,427,693,.616,408,1095,375,279,90,462,624
78,Eastern Illinois NCAA,31,21,10,.677,0.99,-2.46,11,5,13,0,5,9,2564,2439,,,915,1931,.474,230,584,.394,504,650,.775,359,1124,514,197,116,427,577
79,Eastern Kentucky,26,7,19,.269,-13.60,-2.73,1,15,6,7,1,12,1895,2099,,,677,1612,.420,169,476,.355,372,589,.632,374,998,335,176,101,451,574
80,Eastern Michigan,28,3,25,.107,-11.40,-0.76,1,17,3,11,0,14,1672,1970,,,593,1403,.423,139,455,.305,347,542,.640,256,865,314,132,80,433,511
81,Eastern Washington,28,17,11,.607,0.05,-0.76,11,5,8,4,7,7,2010,1925,,,680,1413,.481,127,347,.366,523,716,.730,250,809,427,213,51,466,596
82,Elon,29,9,20,.310,-17.92,-9.17,4,10,7,5,1,14,1873,2064,,,669,1523,.439,171,525,.326,364,528,.689,294,893,331,196,92,470,555
83,Evansville,30,14,16,.467,-1.68,1.77,9,9,10,4,4,9,2066,2146,,,733,1515,.484,186,478,.389,414,590,.702,219,916,515,149,66,454,525
84,Fairfield,28,12,16,.429,-6.43,-3.51,8,10,5,5,6,9,2069,2151,,,708,1624,.436,118,410,.288,535,740,.723,377,1049,366,224,113,469,568
85,Fairleigh Dickinson,28,13,15,.464,-11.42,-8.45,10,10,7,4,6,10,1919,2002,,,661,1519,.435,195,587,.332,402,667,.603,345,986,375,211,71,448,513
86,Florida A&M,28,6,22,.214,-22.79,-10.22,4,14,5,9,1,12,1876,2230,,,621,1563,.397,165,528,.313,469,723,.649,391,956,290,235,100,545,704
87,Florida Atlantic,31,7,24,.226,-16.07,-3.79,5,13,3,10,3,12,2119,2519,,,761,1928,.395,206,611,.337,391,566,.691,462,1164,414,198,64,534,665
88,Florida International,29,8,21,.276,-9.16,-0.70,5,11,5,10,2,10,1727,1947,,,608,1444,.421,142,436,.326,369,528,.699,268,801,255,175,26,388,532
89,Florida State,30,9,21,.300,3.20,10.99,4,12,6,10,2,8,2085,2289,,,742,1739,.427,148,464,.319,453,675,.671,394,1097,389,186,103,448,600
90,Florida NCAA,31,24,7,.774,21.32,7.51,12,4,14,2,8,3,2509,2081,,,849,1764,.481,256,668,.383,555,761,.729,319,1145,538,271,114,451,589
91,Fordham,29,12,17,.414,0.60,5.32,4,12,8,6,2,10,2148,2287,,,775,1846,.420,189,635,.298,409,611,.669,424,1126,429,261,112,470,587
92,Fresno State NCAA,33,26,7,.788,15.66,5.14,13,3,17,1,6,4,2689,2342,,,954,2030,.470,241,678,.355,540,793,.681,389,1240,592,330,209,551,626
93,Furman,26,10,16,.385,-7.70,-6.02,5,11,6,6,4,10,1730,1725,,,633,1473,.430,149,465,.320,315,484,.651,303,891,349,179,75,340,490
94,George Mason NCAA,30,18,12,.600,5.12,-0.35,11,5,10,1,6,9,2127,1963,,,784,1705,.460,142,439,.323,417,633,.659,357,1018,411,252,129,429,544
95,George Washington,32,14,18,.438,8.37,6.30,6,10,9,6,2,9,2470,2404,,,835,1986,.420,223,680,.328,577,812,.711,475,1245,424,256,110,461,753
96,Georgetown NCAA,33,25,8,.758,12.07,1.58,10,6,13,3,7,3,2574,2228,,,924,2115,.437,186,561,.332,540,817,.661,607,1481,547,324,198,550,694
