,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
97,Georgia Southern,30,15,15,.500,-6.58,-5.50,9,7,8,4,5,10,2296,2261,,,839,1908,.440,181,525,.345,437,652,.670,443,1182,405,230,77,463,581
98,Georgia State NCAA,34,29,5,.853,5.25,-3.72,16,2,16,0,10,4,2701,2337,,,929,2068,.449,276,780,.354,567,808,.702,441,1171,449,351,129,435,617
99,Georgia Tech NCAA,30,17,13,.567,14.51,11.78,8,8,12,3,3,8,2269,2187,,,776,1822,.426,260,700,.371,457,662,.690,345,1125,488,238,136,474,645
100,Georgia NCAA,31,16,15,.516,12.67,12.71,9,7,9,4,5,7,2257,2258,,,845,1820,.464,142,411,.345,425,632,.672,397,1193,471,195,149,485,569
101,Gonzaga NCAA,33,26,7,.788,12.57,0.32,13,1,13,1,9,5,2720,2271,,,915,1793,.510,245,606,.404,645,947,.681,369,1265,537,191,135,472,619
102,Grambling,26,8,18,.308,-19.88,-10.18,8,10,5,4,3,14,1953,2225,,,692,1657,.418,158,479,.330,411,584,.704,350,958,302,196,106,437,560
103,Green Bay,28,11,17,.393,-2.15,2.56,4,10,8,7,3,9,1632,1764,,,565,1326,.426,130,330,.394,372,533,.698,247,835,288,123,68,361,522
104,Hampton NCAA,32,25,7,.781,-3.67,-10.60,14,4,10,1,11,5,2471,2246,,,850,1846,.460,200,575,.348,571,835,.684,434,1243,449,218,185,489,596
105,Hartford,28,4,24,.143,-16.83,-5.79,1,17,3,11,1,12,1821,2130,,,628,1539,.408,168,500,.336,397,611,.650,380,968,323,171,67,473,624
106,Harvard,26,14,12,.538,-6.90,-8.51,7,7,10,3,4,9,1864,1822,,,671,1531,.438,203,555,.366,319,473,.674,287,911,405,260,55,450,559
107,Hawaii NCAA,31,17,14,.548,6.89,7.25,8,8,13,5,2,8,2254,2265,,,797,1703,.468,177,507,.349,483,666,.725,335,999,557,183,74,516,605
108,High Point,28,8,20,.286,-18.26,-7.98,3,11,8,5,0,15,1681,1903,,,608,1548,.393,138,473,.292,327,503,.650,354,936,328,246,60,476,514
109,Hofstra NCAA,31,26,5,.839,5.11,-5.47,16,2,12,1,11,2,2257,1929,,,784,1657,.473,167,503,.332,522,807,.647,373,1166,414,237,119,511,547
110,Holy Cross NCAA,30,22,8,.733,-0.31,-5.84,10,2,13,1,9,6,2034,1868,,,640,1437,.445,136,388,.351,618,940,.657,388,1155,385,188,157,512,583
111,Houston,29,9,20,.310,-1.33,4.91,6,10,6,7,1,12,1897,2078,,,644,1549,.416,105,361,.291,504,729,.691,379,1079,321,164,77,463,616
112,Howard,28,10,18,.357,-19.91,-10.37,8,10,6,4,4,12,1914,2181,,,621,1598,.389,193,541,.357,479,672,.713,323,885,328,198,47,421,614
113,Idaho State,28,14,14,.500,-2.10,-1.41,10,6,8,6,5,6,2074,2044,,,709,1585,.447,235,599,.392,421,559,.753,287,952,432,145,82,394,559
114,Idaho,27,6,21,.222,-12.18,-0.02,3,13,5,9,1,12,1720,1992,,,584,1536,.380,160,505,.317,392,610,.643,315,883,296,188,60,396,584
115,Illinois-Chicago,28,11,17,.393,-0.05,3.55,5,9,9,6,2,10,1901,2002,,,663,1666,.398,129,365,.353,446,683,.653,396,1038,385,165,62,351,543
116,Illinois State,30,21,9,.700,5.96,0.56,12,6,13,2,7,6,2257,2095,,,766,1655,.463,155,422,.367,570,783,.728,307,1021,416,246,91,414,610
117,Illinois NCAA,35,27,8,.771,23.32,11.38,13,3,13,0,7,4,2725,2307,,,929,2046,.454,247,678,.364,620,880,.705,479,1400,550,269,146,524,772
118,Indiana State NCAA,34,22,12,.647,6.95,2.50,10,8,12,2,5,8,2479,2305,,,861,1872,.460,213,594,.359,544,772,.705,334,1069,521,237,100,402,576
119,Indiana NCAA,34,21,13,.618,17.58,11.05,10,6,13,2,4,6,2408,2186,,,858,1896,.453,181,500,.362,511,804,.636,377,1268,513,231,178,496,650
120,Iona NCAA,33,22,11,.667,0.25,-4.09,12,6,12,2,8,6,2549,2375,,,912,1896,.481,159,415,.383,566,822,.689,378,1239,481,259,183,557,717
121,Iowa State NCAA,31,25,6,.806,15.90,4.87,13,3,16,0,6,4,2451,2115,,,823,1735,.474,182,436,.417,623,856,.728,375,1228,429,190,102,467,636
122,Iowa NCAA,35,23,12,.657,14.24,10.70,7,9,12,4,5,6,2593,2469,,,815,1895,.430,210,573,.366,753,1068,.705,482,1351,474,191,83,520,783
123,IUPUI,29,11,18,.379,-5.26,-3.37,6,10,7,6,3,11,2057,2008,,,701,1620,.433,129,394,.327,526,751,.700,380,1007,342,220,95,418,536
124,Jackson State,30,7,23,.233,-18.35,-10.35,7,11,4,5,3,16,2012,2247,,,743,1794,.414,110,364,.302,416,632,.658,420,1145,352,193,68,511,616
125,Jacksonville State,28,9,19,.321,-14.43,-5.72,6,12,7,4,0,12,1819,2059,,,642,1554,.413,164,516,.318,371,567,.654,376,1033,402,185,92,517,534
126,Jacksonville,28,18,10,.643,-5.83,-8.31,11,7,12,2,6,7,1962,1784,,,701,1549,.453,175,481,.364,385,574,.671,352,1008,350,224,151,416,474
127,James Madison,29,12,17,.414,-5.06,-1.85,6,10,9,5,3,11,1880,1973,,,666,1624,.410,141,456,.309,407,607,.671,392,1057,330,184,80,435,560
128,Kansas State,29,11,18,.379,3.95,8.40,4,12,8,7,2,10,1843,1972,,,669,1625,.412,98,299,.328,407,625,.651,367,1098,349,157,94,454,563
129,Kansas NCAA,33,26,7,.788,20.23,9.03,12,4,14,1,8,4,2707,2286,,,1002,1996,.502,183,465,.394,520,789,.659,443,1407,641,217,170,532,648
130,Kent State NCAA,34,24,10,.706,8.69,1.44,13,5,10,2,7,5,2390,2117,,,823,1917,.429,180,516,.349,564,739,.763,403,1103,429,233,105,346,671
131,Kentucky NCAA,34,24,10,.706,20.27,11.06,12,4,11,1,6,6,2713,2400,,,988,2051,.482,245,708,.346,492,751,.655,464,1311,539,229,151,513,631
132,La Salle,29,12,17,.414,2.21,4.79,5,11,7,4,3,12,2011,2086,,,712,1728,.412,206,619,.333,381,558,.683,413,1080,373,167,118,419,467
133,Lafayette,28,12,16,.429,-8.83,-7.45,4,8,7,5,4,9,2110,2111,,,709,1629,.435,225,637,.353,467,639,.731,308,933,434,245,121,418,592
134,Lamar,27,9,18,.333,-16.83,-8.94,7,13,8,5,1,13,1696,1875,,,588,1421,.414,146,463,.315,374,601,.622,314,968,266,138,74,416,545
135,Lehigh,29,13,16,.448,-10.30,-8.33,6,6,8,5,4,11,2036,2034,,,672,1567,.429,168,499,.337,524,720,.728,331,1106,405,234,120,571,608
136,Liberty,28,13,15,.464,-13.62,-9.70,5,9,9,4,3,10,1847,1856,,,676,1594,.424,58,231,.251,437,660,.662,391,1054,371,299,75,500,567
137,Long Beach State,31,18,13,.581,-1.92,-0.10,10,6,10,4,6,7,2325,2313,,,824,1826,.451,178,534,.333,499,796,.627,402,1142,421,256,71,473,618
138,Long Island University,28,12,16,.429,-14.40,-8.57,12,8,8,5,4,10,1899,2062,,,682,1654,.412,181,523,.346,354,467,.758,297,953,322,218,113,459,518
139,Louisiana,29,16,13,.552,0.58,-0.46,10,6,9,3,5,7,2226,2161,,,809,1795,.451,202,617,.327,406,675,.601,406,1064,473,210,81,474,630
140,Louisiana-Monroe,28,11,17,.393,-14.11,-6.95,8,12,9,4,2,13,2023,2150,,,707,1651,.428,198,550,.360,411,650,.632,348,1031,427,205,151,525,546
141,Louisiana State,29,13,16,.448,10.69,7.58,2,14,10,7,2,8,2069,1979,,,720,1624,.443,194,544,.357,435,629,.692,335,1020,438,257,65,454,507
142,Louisiana Tech,29,17,12,.586,-1.23,-3.87,10,6,9,3,7,7,1982,1869,,,693,1521,.456,155,468,.331,441,646,.683,318,1003,368,188,58,432,519
143,Louisville,31,12,19,.387,2.83,8.67,8,8,6,10,5,7,2156,2337,,,763,1848,.413,190,535,.355,440,662,.665,416,1081,436,189,131,437,667
144,Loyola (IL),28,7,21,.250,-6.69,0.92,2,12,7,8,0,11,1932,2145,,,736,1709,.431,130,434,.300,330,502,.657,404,1047,409,166,88,419,555
145,Loyola Marymount,28,9,19,.321,-6.75,-0.23,5,9,5,7,4,11,1870,2023,,,655,1556,.421,121,397,.305,439,648,.677,368,1021,396,153,56,440,577
146,Loyola (MD),29,6,23,.207,-13.53,-4.66,2,16,4,7,0,15,1798,2055,,,636,1542,.412,173,472,.367,353,568,.621,305,1016,384,161,104,461,520
147,Maine,29,18,11,.621,-4.68,-6.51,10,8,10,2,7,8,2273,2193,,,781,1687,.463,194,573,.339,517,717,.721,375,1102,459,221,78,466,581
148,Manhattan,29,14,15,.483,-0.82,-3.89,11,7,9,3,5,9,2082,1993,,,726,1700,.427,159,504,.315,471,618,.762,355,971,416,294,67,397,667
149,Marist,30,17,13,.567,-1.87,-3.94,11,7,13,2,3,10,2119,2057,,,759,1818,.417,193,568,.340,408,602,.678,377,1055,470,237,113,384,582
150,Marquette,29,15,14,.517,6.78,6.61,9,7,10,6,4,7,1902,1897,,,651,1516,.429,140,409,.342,460,646,.712,358,989,325,144,67,396,578
151,Marshall,27,18,9,.667,5.49,0.81,12,6,13,1,5,6,2062,1882,,,732,1587,.461,167,504,.331,431,601,.717,320,1018,402,166,114,345,479
152,Maryland-Baltimore County,29,18,11,.621,-5.52,-9.66,13,7,11,4,6,6,2259,2139,,,795,1761,.451,136,430,.316,533,767,.695,427,1167,418,217,96,456,626
153,Maryland-Eastern Shore,28,12,16,.429,-18.23,-9.66,10,8,7,3,5,12,1862,2062,,,676,1638,.413,166,517,.321,344,530,.649,379,988,318,191,48,488,645
154,Maryland NCAA,36,25,11,.694,23.82,10.99,10,6,11,3,6,4,3067,2605,,,1120,2313,.484,205,540,.380,622,894,.696,543,1478,692,322,213,523,713
155,Massachusetts,30,15,15,.500,7.88,8.05,11,5,7,4,7,9,2040,2045,,,713,1698,.420,160,486,.329,454,684,.664,389,1227,399,189,152,,
156,McNeese State,31,22,9,.710,-1.39,-8.42,17,3,13,1,8,7,2580,2309,,,909,2046,.444,221,624,.354,541,761,.711,422,1177,415,328,171,415,607
157,Memphis,36,21,15,.583,13.20,7.09,10,6,12,5,6,6,2703,2445,,,965,2208,.437,196,573,.342,577,908,.635,531,1437,557,231,183,498,736
158,Mercer,28,13,15,.464,-7.71,-5.53,10,8,6,7,7,7,1961,1985,,,691,1543,.448,165,478,.345,414,592,.699,338,1006,381,162,114,445,501
159,Miami (FL),29,16,13,.552,7.54,4.92,8,8,12,4,4,8,2039,1963,,,713,1728,.413,206,595,.346,407,568,.717,397,1024,409,257,137,434,567
160,Miami (OH),33,17,16,.515,4.63,2.54,10,8,10,4,4,9,1997,1928,,,726,1667,.436,132,416,.317,413,558,.740,337,1036,346,176,51,362,606
161,Michigan State NCAA,33,28,5,.848,25.12,9.54,13,3,17,0,7,3,2553,2039,,,957,1957,.489,146,453,.322,493,686,.719,514,1404,579,210,133,451,611
162,Michigan,28,10,18,.357,3.21,11.39,4,12,8,7,2,8,1983,2190,,,697,1546,.451,134,418,.321,455,642,.709,348,1019,381,138,112,475,607
