,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,28,8,20,.286,-4.05,4.95,4,14,,,,,1882,2029,,,651,1642,.396,158,497,.318,422,615,.686,,942,323,186,98,544,544
2,Akron,26,8,18,.308,-7.59,0.97,4,14,,,,,1565,1764,,,573,1416,.405,109,338,.322,310,477,.650,,807,325,217,55,422,608
3,Alabama-Birmingham,30,14,16,.467,3.42,2.94,5,7,,,,,2129,2120,,,762,1891,.403,132,451,.293,473,707,.669,,1292,314,231,113,493,655
4,Alabama State,26,11,15,.423,-15.86,-8.27,8,6,,,,,2100,2246,,,764,1820,.420,123,413,.298,449,705,.637,,1177,409,183,79,421,530
5,Alabama NCAA,33,23,10,.697,15.47,6.59,10,6,,,,,2408,2115,,,892,1971,.453,207,618,.335,417,648,.644,,1385,501,200,201,520,585
6,Alcorn State,26,7,19,.269,-17.90,-9.08,4,10,,,,,2130,2283,,,765,1778,.430,202,576,.351,398,581,.685,,1024,380,270,66,440,591
7,American,28,9,19,.321,-9.32,-2.50,7,7,,,,,2088,2279,,,721,1760,.410,236,615,.384,410,608,.674,,1010,360,178,38,387,506
8,Appalachian State,29,9,20,.310,-10.75,-2.97,4,10,,,,,2125,2285,,,774,1721,.450,170,527,.323,407,563,.723,,1030,462,204,93,504,504
9,Arizona State NCAA,33,24,9,.727,16.75,9.06,12,6,,,,,2585,2331,,,954,2034,.469,212,630,.337,465,750,.620,,1161,608,345,165,542,617
10,Arizona NCAA,31,23,8,.742,19.13,10.40,13,5,,,,,2631,2350,,,948,1961,.483,245,593,.413,490,746,.657,,1285,559,222,95,526,564
11,Little Rock,29,17,12,.586,-1.43,-5.14,9,9,,,,,2198,2064,,,785,1856,.423,145,421,.344,483,774,.624,,1219,369,213,103,409,622
12,Arkansas State,28,8,20,.286,-14.25,-4.79,3,15,,,,,1854,2072,,,674,1687,.400,137,450,.304,369,558,.661,,978,383,234,85,479,598
