,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
13,Arkansas NCAA,39,32,7,.821,16.85,10.45,12,4,,,,,3416,3115,,,1223,2634,.464,361,917,.394,609,902,.675,,1528,721,445,129,633,789
14,Army,28,12,16,.429,-17.95,-11.25,4,10,,,,,2068,2222,,,677,1634,.414,187,512,.365,517,735,.703,,1004,349,153,45,419,601
15,Auburn,29,16,13,.552,9.17,6.98,7,9,,,,,2230,2124,,,784,1662,.472,222,606,.366,440,615,.715,,1049,493,216,70,495,513
16,Austin Peay,29,13,16,.448,-7.23,-4.60,8,8,,,,,2193,2210,,,775,1713,.452,149,443,.336,494,704,.702,,1001,388,217,90,422,563
17,Ball State NCAA,30,19,11,.633,5.30,2.55,11,7,,,,,2334,2183,,,841,1764,.477,175,488,.359,477,728,.655,,1060,494,267,85,470,609
18,Baylor,28,9,19,.321,-6.05,-0.31,3,11,,,,,2273,2409,,,821,1972,.416,265,783,.338,366,554,.661,,1165,482,175,110,447,615
19,Bethune-Cookman,28,12,16,.429,-16.73,-9.17,9,7,,,,,2143,2251,,,765,1768,.433,147,482,.305,466,691,.674,,1109,415,225,98,462,564
20,Boise State,27,17,10,.630,4.40,-0.45,7,7,,,,,1936,1807,,,708,1556,.455,105,360,.292,415,646,.642,,876,408,260,88,339,481
21,Boston College,28,9,19,.321,0.68,5.46,2,16,,,,,2017,2139,,,709,1556,.456,110,345,.319,489,702,.697,,1107,372,203,69,558,546
22,Boston University,31,15,16,.484,-3.19,-2.22,7,9,,,,,2031,2061,,,721,1703,.423,118,381,.310,471,694,.679,,1183,411,173,139,476,621
23,Bowling Green State,27,16,11,.593,2.76,0.88,10,8,,,,,1925,1827,,,721,1427,.505,145,401,.362,338,506,.668,,902,394,163,60,424,439
24,Bradley,30,20,10,.667,8.35,3.15,12,6,,,,,2132,1966,,,746,1639,.455,162,426,.380,478,658,.726,,1046,435,226,93,393,581
25,Brigham Young NCAA,32,22,10,.688,11.65,5.71,13,5,,,,,2405,2214,,,809,1743,.464,170,486,.350,617,798,.773,,1124,498,225,99,448,601
26,Brown,26,13,13,.500,-9.56,-6.64,8,6,,,,,1764,1840,,,604,1421,.425,173,462,.374,383,554,.691,,861,359,176,72,387,486
27,Bucknell,27,13,14,.481,-7.21,-8.88,11,3,,,,,1886,1841,,,673,1457,.462,132,341,.387,408,571,.715,,942,330,159,73,430,486
28,Buffalo,28,18,10,.643,-5.29,-9.33,12,6,,,,,2152,2051,,,792,1763,.449,171,543,.315,397,584,.680,,1094,456,248,114,452,519
29,Butler,27,15,12,.556,-0.99,-2.30,8,7,,,,,1984,1921,,,684,1482,.462,118,349,.338,498,795,.626,,1089,362,143,66,465,498
30,Cal Poly,27,1,26,.037,-30.38,-0.65,0,6,,,,,1493,2273,,,575,1444,.398,92,284,.324,251,425,.591,,821,287,189,53,602,615
31,Cal State Fullerton,27,7,20,.259,-6.28,2.79,5,13,,,,,1914,2159,,,651,1600,.407,154,482,.320,458,690,.664,,958,343,206,76,474,474
32,Cal State Northridge,28,8,20,.286,-11.07,-1.34,4,2,,,,,2002,2284,,,695,1642,.423,176,512,.344,436,626,.696,,1007,388,197,90,535,620
33,UC-Irvine,29,13,16,.448,-0.16,3.09,6,12,,,,,2225,2302,,,763,1762,.433,189,567,.333,510,764,.668,,1154,439,144,71,460,582
34,UC-Santa Barbara,27,13,14,.481,1.73,0.47,8,10,,,,,1943,1909,,,682,1501,.454,164,460,.357,415,599,.693,,991,410,177,130,426,543
35,University of California,27,13,14,.481,11.04,8.96,5,13,,,,,2158,2102,,,761,1661,.458,189,530,.357,447,712,.628,,1003,445,210,107,429,556
36,Campbell,26,8,18,.308,-17.19,-5.23,4,12,,,,,1612,1878,,,597,1514,.394,135,433,.312,283,424,.667,,855,336,153,52,375,452
37,Canisius,35,21,14,.600,2.72,1.18,10,4,,,,,2441,2386,,,851,2018,.422,202,669,.302,537,739,.727,,1178,504,244,110,487,494
38,Centenary (LA),27,10,17,.370,-11.90,-5.94,7,9,,,,,2174,2299,,,786,1830,.430,211,641,.329,391,554,.706,,972,473,241,105,383,515
39,Central Connecticut State,26,8,18,.308,-17.43,-8.62,6,12,,,,,1815,2065,,,686,1536,.447,93,319,.292,350,549,.638,,1055,385,187,194,553,584
40,Central Florida,27,11,16,.407,-9.51,-6.58,7,9,,,,,2037,2104,,,774,1710,.453,142,405,.351,347,529,.656,,1076,420,184,99,464,569
41,Central Michigan,26,3,23,.115,-13.36,1.64,0,18,,,,,1662,1992,,,601,1459,.412,131,364,.360,329,488,.674,,831,255,111,41,387,500
42,Charleston Southern,29,19,10,.655,-4.47,-6.51,12,4,,,,,2149,2090,,,778,1740,.447,149,426,.350,444,650,.683,,1179,398,208,97,466,565
43,Charlotte NCAA,28,19,9,.679,9.26,3.54,8,4,,,,,2087,1927,,,735,1670,.440,151,432,.350,466,626,.744,,1134,427,179,151,416,573
44,Chattanooga NCAA,30,19,11,.633,-1.49,-4.60,11,3,,,,,2294,2170,,,779,1743,.447,229,674,.340,507,732,.693,,1139,458,243,104,496,567
45,Chicago State,26,6,20,.231,-20.31,-4.85,6,12,,,,,1972,2382,,,724,1705,.425,188,566,.332,336,531,.633,,852,343,267,61,438,504
46,Cincinnati NCAA,34,22,12,.647,18.34,8.93,7,5,,,,,2754,2423,,,996,2143,.465,236,669,.353,526,799,.658,,1361,550,228,103,526,742
47,Citadel,27,11,16,.407,-12.95,-5.45,6,8,,,,,1837,1948,,,656,1548,.424,156,515,.303,369,549,.672,,913,369,215,67,403,515
48,Clemson,28,15,13,.536,10.30,8.70,5,11,,,,,1794,1749,,,652,1424,.458,197,554,.356,293,421,.696,,844,400,212,47,324,516
49,Cleveland State,27,10,17,.370,-8.59,-2.51,3,11,,,,,1992,2114,,,734,1651,.445,98,294,.333,426,655,.650,,1050,407,242,91,519,538
50,Coastal Carolina,26,6,20,.231,-14.88,-4.58,3,13,,,,,1857,2075,,,675,1647,.410,151,511,.295,356,528,.674,,955,359,188,59,416,548
51,Colgate NCAA,30,17,13,.567,-5.43,-4.96,11,3,,,,,2296,2313,,,828,1824,.454,192,537,.358,448,700,.640,,1222,390,193,188,499,592
52,College of Charleston,29,23,6,.793,2.99,-5.01,15,1,,,,,2075,1819,,,763,1714,.445,145,429,.338,404,616,.656,,1145,429,238,125,364,519
53,Colorado State,31,17,14,.548,3.39,3.96,7,11,,,,,2321,235,,,777,1743,.446,180,540,.333,587,806,.728,,1185,444,198,124,466,598
54,Colorado,28,15,13,.536,8.51,7.44,5,9,,,,,2227,2198,,,808,1767,.457,166,483,.344,445,679,.655,,1026,472,285,139,461,642
55,Columbia,26,4,22,.154,-22.44,-8.12,1,13,,,,,1591,1922,,,561,1378,.407,125,363,.344,344,533,.645,,923,320,147,87,559,470
56,Connecticut NCAA,33,28,5,.848,18.99,7.41,16,2,,,,,2837,2455,,,1027,2176,.472,227,588,.386,556,746,.745,,1369,632,284,116,515,580
57,Coppin State,31,21,10,.677,-2.08,-8.35,15,1,,,,,2278,2059,,,779,1850,.421,244,691,.353,476,633,.752,,1161,388,248,123,405,562
58,Cornell,26,9,17,.346,-19.89,-8.73,4,10,,,,,1823,2091,,,657,1612,.408,165,470,.351,344,542,.635,,1003,334,190,85,443,639
59,Creighton,26,7,19,.269,-6.82,3.06,4,14,,,,,1588,1845,,,567,1496,.379,175,512,.342,279,499,.559,,1010,343,136,73,465,559
60,Dartmouth,26,13,13,.500,-11.02,-8.94,10,4,,,,,1793,1798,,,648,1465,.442,151,393,.384,346,500,.692,,968,417,179,148,419,468
61,Davidson,27,14,13,.519,-5.08,-4.13,7,7,,,,,2004,1936,,,710,1559,.455,125,391,.320,459,635,.723,,990,412,222,76,447,555
62,Dayton,27,7,20,.259,-6.56,4.29,0,12,,,,,1800,2093,,,645,1591,.405,140,437,.320,370,612,.605,,990,338,132,51,501,587
63,Delaware State,28,7,21,.250,-20.22,-12.30,3,13,,,,,1938,2136,,,726,1709,.425,101,361,.280,385,624,.617,,1104,355,197,67,481,567
64,Delaware,27,12,15,.444,-4.04,-3.48,7,9,,,,,2047,1996,,,704,1516,.464,164,462,.355,475,644,.738,,1035,410,157,53,445,518
65,DePaul,28,17,11,.607,14.05,6.05,6,6,,,,,2218,2004,,,781,1628,.480,190,496,.383,466,652,.715,,1024,485,215,51,391,535
66,Detroit Mercy,28,13,15,.464,-0.64,0.98,9,5,,,,,1944,1969,,,677,1543,.439,198,548,.361,392,577,.679,,1047,365,134,69,476,583
67,Drake,27,12,15,.444,-1.15,3.08,9,9,,,,,1967,2081,,,689,1678,.411,193,603,.320,396,581,.682,,926,338,284,107,371,580
68,Drexel NCAA,30,22,8,.733,5.68,-3.69,12,4,,,,,2262,1981,,,772,1737,.444,198,549,.361,520,744,.699,,1198,464,169,84,448,448
69,Duke,31,13,18,.419,15.95,11.89,2,14,,,,,2410,2284,,1260,886,1864,.475,225,590,.381,413,616,.670,,1143,476,177,136,446,555
70,Duquesne,28,10,18,.357,0.79,5.82,5,11,,,,,1908,2049,,,680,1673,.406,160,503,.318,388,603,.643,,977,322,229,73,459,65
71,East Carolina,29,18,11,.621,-1.96,-5.00,7,7,,,,,2132,2015,,,778,1663,.468,164,451,.364,412,612,.673,,1108,457,190,72,462,462
72,East Tennessee State,28,14,14,.500,-5.98,-4.02,9,5,,,,,2217,2205,,,810,1771,.457,210,550,.382,387,610,.634,,1040,413,253,100,494,593
73,Eastern Illinois,29,16,13,.552,-9.12,-9.66,10,8,,,,,2142,2043,,,748,1649,.454,195,520,.375,451,690,.654,,1073,426,212,94,449,550
74,Eastern Kentucky,28,9,19,.321,-10.82,-6.11,6,10,,,,,2009,2141,,,727,1678,.433,162,452,.358,393,588,.668,,987,305,169,41,384,565
75,Eastern Michigan,30,20,10,.667,5.16,1.98,12,6,,,,,2239,2123,,,780,1786,.437,168,508,.331,511,764,.669,,1239,367,200,112,411,557
76,Eastern Washington,26,6,20,.231,-7.81,0.71,2,12,,,,,1763,1943,,,636,1470,.433,81,241,.336,410,574,.714,,919,336,197,54,480,480
77,Evansville,27,18,9,.667,13.41,-0.26,11,7,,,,,2078,1719,,,723,1457,.496,181,424,.427,451,641,.704,,981,475,145,72,374,479
78,Fairfield,28,13,15,.464,-3.35,-3.38,6,8,,,,,1921,1961,,,693,1465,.473,170,462,.368,365,540,.676,,893,418,158,81,414,583
79,Fairleigh Dickinson,28,16,12,.571,-9.32,-8.46,11,7,,,,,2058,2082,,,694,1611,.431,134,416,.322,536,800,.670,,1124,303,181,79,493,493
80,Florida A&M,27,5,22,.185,-24.54,-8.54,2,14,,,,,1943,2313,,,699,1724,.405,128,448,.286,417,638,.654,,1045,311,156,106,473,543
81,Florida Atlantic,27,9,18,.333,-15.06,-2.70,0,0,,,,,1702,1984,,,628,1544,.407,108,311,.347,338,532,.635,,993,293,182,104,171,569
82,Florida International NCAA,30,11,19,.367,-10.51,-5.31,4,12,,,,,2018,2172,,,734,1715,.428,127,380,.334,423,652,.649,,1025,399,239,60,494,574
83,Florida State,27,12,15,.444,13.01,12.50,5,11,,,,,2027,2013,,,745,1679,.444,211,588,.359,326,486,.671,,1036,386,186,167,440,515
84,Florida NCAA,30,17,13,.567,15.34,11.31,8,8,,,,,2178,2057,,,761,1682,.452,133,370,.359,523,731,.715,,1167,415,206,95,471,568
85,Fordham,28,11,17,.393,-10.71,-7.40,6,8,,,,,1842,1905,,,655,1492,.439,84,244,.344,448,666,.673,,974,364,204,74,413,511
86,Fresno State,28,13,15,.464,2.48,3.74,7,11,,,,,2000,2007,,,711,1554,.458,214,569,.376,364,537,.678,,917,426,224,96,412,452
87,Furman,27,10,17,.370,-8.57,-5.03,6,8,,,,,1820,1862,,,675,1560,.433,173,528,.328,297,450,.660,,980,368,174,79,399,450
88,George Mason,27,7,20,.259,-12.96,-1.81,2,12,,,,,2499,2748,,,957,2190,.437,173,566,.306,412,618,.667,,1216,442,266,83,499,508
89,George Washington,32,18,14,.563,6.79,6.82,10,6,,,,,2407,2408,,,849,1881,.451,156,499,.313,553,824,.671,,1229,481,196,152,474,679
90,Georgetown NCAA,31,21,10,.677,11.34,6.41,11,7,,,,,2340,2147,,,828,1899,.436,142,495,.287,542,834,.650,,1238,375,327,168,556,607
91,Georgia Southern,28,8,20,.286,-15.30,-3.96,3,11,,,,,1892,2095,,,711,1691,.420,170,496,.343,300,448,.670,,980,361,220,49,480,485
92,Georgia State,28,11,17,.393,-12.81,-7.21,6,10,,,,,2037,2179,,,753,1754,.429,83,289,.287,448,682,.657,,1100,346,208,86,467,593
93,Georgia Tech,30,18,12,.600,14.91,9.04,8,8,,,,,2400,2224,,,883,1879,.470,195,517,.377,439,610,.720,,1062,531,252,115,399,467
94,Georgia,28,18,10,.643,14.21,5.96,9,7,,,,,2175,1944,,,796,1719,.463,149,443,.336,434,672,.646,,1144,455,236,161,425,497
95,Gonzaga NCAA,30,21,9,.700,8.57,-0.22,7,7,,,,,2296,1984,,,763,1575,.484,232,573,.405,538,765,.703,,1079,394,153,95,391,559
96,Grambling,28,11,17,.393,-19.69,-10.86,5,9,,,,,2250,2391,,,827,1874,.441,182,534,.341,414,684,.605,,1167,465,221,71,493,599
97,Green Bay NCAA,30,22,8,.733,4.78,-1.36,11,4,,,,,1951,1767,,,679,1420,.478,188,451,.417,405,551,.735,,879,500,197,58,359,508
98,Hartford,27,11,16,.407,-5.78,-2.67,7,9,,,,,1893,1974,,,706,1676,.421,99,304,.326,382,580,.659,,1024,393,257,89,435,539
99,Harvard,26,6,20,.231,-14.50,-9.10,4,10,,,,,1738,1847,,,654,1582,.413,134,432,.310,296,459,.645,,908,341,261,38,460,584
100,Hawaii,29,16,13,.552,8.19,6.98,8,10,,,,,2033,1998,,,734,1634,.449,160,439,.364,405,612,.662,,995,434,196,106,418,569
101,Hofstra,28,10,18,.357,-8.47,-4.54,5,11,,,,,1976,2072,,,680,1606,.423,168,514,.327,448,661,.678,,925,369,206,52,453,658
102,Holy Cross,27,15,12,.556,-8.10,-9.84,9,5,,,,,2091,2044,,,723,1668,.433,190,555,.342,455,686,.663,,978,375,270,144,422,615
103,Houston,28,9,19,.321,-5.80,2.50,5,9,,,,,2146,2340,,,757,1754,.432,164,518,.317,468,692,.676,,1110,404,215,121,500,557
104,Howard,27,9,18,.333,-18.36,-10.95,8,8,,,,,1907,2115,,,687,1723,.399,135,440,.307,398,593,.671,,1009,305,176,83,412,593
105,Idaho State,28,18,10,.643,4.57,0.20,7,7,,,,,2248,2015,,,764,1636,.467,133,388,.343,587,838,.700,,1024,435,240,85,434,530
106,Idaho,27,12,15,.444,-1.12,4.30,6,8,,,,,1851,1941,,,669,1485,.451,151,439,.344,362,559,.648,,912,359,161,37,397,495
107,Illinois-Chicago,27,18,9,.667,1.65,-3.19,11,4,,,,,2248,2101,,,798,1847,.432,229,640,.358,423,584,.724,,1050,458,252,96,361,527
108,Illinois State,33,20,13,.606,4.03,3.35,13,5,,,,,2511,2480,,,874,1868,.468,190,522,.364,573,797,.719,,1175,574,182,71,489,664
109,Illinois NCAA,31,19,12,.613,11.95,7.68,10,8,,,,,2265,2125,,,823,1842,.447,167,458,.365,452,694,.651,,1173,397,174,53,425,588
110,Indiana State,26,7,19,.269,-4.85,0.83,3,15,,,,,1880,1995,,,660,1513,.436,131,423,.310,429,639,.671,,961,393,196,82,453,541
111,Indiana NCAA,31,19,12,.613,14.85,9.05,11,7,,,,,2345,2158,,,870,1796,.484,107,297,.360,498,748,.666,,1172,487,184,146,477,571
112,Iona,27,10,17,.370,-6.59,-4.93,6,8,,,,,2035,,,,754,1635,.461,131,379,.346,396,585,.677,,919,425,180,97,,
113,Iowa State NCAA,34,23,11,.676,16.57,9.70,6,8,,,,,2607,2298,,,911,1900,.479,175,453,.386,610,806,.757,,1205,613,217,110,470,597
114,Iowa,33,21,12,.636,16.02,6.86,9,9,,,,,2757,2460,,,935,2034,.460,274,743,.369,613,865,.709,,1213,555,365,95,492,587
115,Jackson State,31,12,19,.387,-9.14,-5.81,7,7,,,,,2390,2477,,,918,2045,.449,158,496,.319,396,663,.597,,1338,492,277,133,593,593
116,Jacksonville,27,18,9,.667,-0.31,-2.77,12,6,,,,,2062,1984,,,749,1669,.449,143,400,.358,421,678,.621,,1115,380,237,108,448,504
117,James Madison,29,16,13,.552,-0.34,-3.62,9,5,,,,,2276,2173,,,804,1669,.482,193,500,.386,475,661,.719,,1075,351,132,157,429,541
118,Kansas State,27,12,15,.444,4.14,9.66,3,11,,,,,1857,1945,,,678,1691,.401,138,448,.308,363,573,.634,,1045,322,228,65,409,536
119,Kansas NCAA,31,25,6,.806,22.16,10.02,11,3,,,,,2573,2171,,,915,1925,.475,206,589,.350,537,809,.664,,1350,529,185,181,483,572
120,Kent State,27,8,19,.296,-6.81,1.01,5,13,,,,,1757,1978,,,625,1556,.402,132,381,.346,375,533,.704,,901,365,170,72,455,596
121,Kentucky NCAA,33,28,5,.848,28.28,9.65,14,2,,,,,2884,2278,,,1016,2211,.460,276,736,.375,576,801,.719,,1338,647,347,176,489,734
122,La Salle,27,13,14,.481,-0.21,0.09,7,7,,,,,1994,2002,,,699,1694,.413,236,752,.314,360,539,.668,,925,330,217,41,316,525
123,Lafayette,27,2,25,.074,-27.88,-7.03,0,14,,,,,1833,2349,,,669,1728,.387,126,439,.287,369,562,.657,,1007,273,188,50,510,603
124,Lamar,27,11,16,.407,-11.26,-3.86,6,12,,,,,1775,1921,,,637,1597,.399,107,379,.282,394,637,.619,,1052,316,199,38,443,508
125,Lehigh,27,11,16,.407,-13.13,-8.86,5,9,,,,,2030,2131,,,709,1621,.437,103,308,.334,509,763,.667,,1024,344,175,84,414,544
126,Liberty,28,12,16,.429,-7.71,-4.21,7,9,,,,,1872,1925,,,662,1564,.423,165,501,.329,383,567,.675,,1055,416,201,148,511,513
127,Long Beach State NCAA,30,20,10,.667,4.84,3.64,13,5,,,,,2173,2098,,,799,1689,.473,146,482,.303,429,684,.627,,1051,506,246,91,524,618
128,Long Island University,28,11,17,.393,-18.03,-8.62,8,10,,,,,2248,2462,,,818,1993,.410,153,485,.315,459,726,.632,,1090,327,294,97,421,629
129,Louisiana,29,7,22,.241,-8.10,-1.47,4,14,,,,,1987,2106,,,735,1827,.402,143,506,.283,374,610,.613,,1140,408,286,140,509,548
130,Louisiana-Monroe,32,14,18,.438,-5.38,-3.22,11,7,,,,,2406,2475,,,891,2019,.441,219,639,.343,405,586,.691,,1156,396,269,96,526,681
131,Louisiana State,27,12,15,.444,5.97,7.46,6,10,,,,,2151,2191,,,791,1770,.447,185,541,.342,384,572,.671,,1103,479,241,120,521,637
132,Louisiana Tech,27,14,13,.519,-5.05,-5.24,9,9,,,,,1735,1718,,,608,1353,.449,88,289,.304,431,667,.646,,884,290,234,31,456,600
133,Louisville NCAA,33,19,14,.576,11.60,7.82,7,5,,,,,2521,2396,,,928,1976,.470,229,627,.365,436,651,.670,,1125,517,335,189,514,620
134,Loyola (IL),27,5,22,.185,-12.05,-1.70,2,13,,,,,1803,2053,,,641,1541,.416,119,379,.314,402,597,.673,,909,369,216,93,439,572
135,Loyola Marymount,28,13,15,.464,-1.09,0.51,4,10,,,,,2056,2058,,,739,1609,.459,124,405,.306,454,705,.644,,1098,402,195,106,509,548
136,Loyola (MD),27,9,18,.333,-9.63,-2.08,5,9,,,,,1852,2055,,,629,1560,.403,136,416,.327,458,657,.697,,970,336,210,56,442,611
137,Maine,27,11,16,.407,-9.45,-4.30,6,10,,,,,1860,1988,,,667,1642,.406,118,402,.294,408,667,.612,,1072,317,218,90,430,537
138,Manhattan NCAA,31,26,5,.839,9.32,-3.71,12,2,,,,,2333,1929,,,840,1737,.484,152,412,.369,501,756,.663,,1190,488,264,122,437,593
139,Marist,28,17,11,.607,-5.10,-8.95,12,6,,,,,2135,2027,,,749,1563,.479,178,486,.366,459,637,.721,,1009,415,169,135,418,471
140,Marquette,33,21,12,.636,11.96,5.78,7,5,,,,,2339,2135,,,796,1943,.410,246,703,.350,501,791,.633,,1330,498,219,169,449,637
141,Marshall,27,18,9,.667,-0.73,-6.00,10,4,,,,,2279,2095,,,772,1728,.447,253,693,.365,482,650,.742,,970,420,303,110,482,589
142,Maryland-Baltimore County,27,13,14,.481,-9.19,-6.23,10,6,,,,,1788,1839,,,633,1538,.412,158,490,.322,364,559,.651,,1004,396,207,150,437,524
143,Maryland-Eastern Shore,27,13,14,.481,-15.96,-12.46,9,7,,,,,1895,1898,,,703,1581,.445,116,326,.356,373,553,.675,,949,313,189,95,359,498
144,Maryland NCAA,34,26,8,.765,22.88,10.36,12,4,,,,,2946,2514,,,1035,2080,.498,179,508,.352,697,987,.706,,1367,641,302,168,528,632
145,Massachusetts NCAA,34,29,5,.853,23.15,8.03,13,3,,,,,2749,2235,,,1000,2164,.462,180,527,.342,569,863,.659,,1507,580,265,273,499,663
146,McNeese State,27,11,16,.407,-10.27,-7.02,7,11,,,,,2095,2183,,,739,1637,.451,195,543,.359,422,659,.640,,926,494,289,57,429,429
147,Memphis NCAA,34,24,10,.706,14.37,5.78,9,3,,,,,2701,2409,,,1003,2159,.465,191,535,.357,504,788,.640,,1424,616,301,218,569,629
148,Mercer,29,15,14,.517,-6.84,-5.69,8,8,,,,,2262,2269,,,812,1799,.451,159,488,.326,479,730,.656,,1175,316,192,160,453,591
149,Miami (FL),28,15,13,.536,2.09,4.12,9,9,,,,,1831,1888,,,653,1627,.401,155,486,.319,370,568,.651,,1089,377,218,123,485,542
150,Miami (OH) NCAA,30,23,7,.767,10.06,0.82,16,2,,,,,2119,1827,,,749,1652,.453,176,504,.349,445,660,.674,,1053,395,251,88,384,539
151,Michigan State NCAA,28,22,6,.786,17.60,7.88,14,4,,,,,2194,1926,,,829,1664,.498,158,387,.408,378,562,.673,,1074,462,180,46,393,496
152,Michigan NCAA,31,17,14,.548,9.77,8.90,11,7,,,,,2188,2161,,,828,1863,.444,114,414,.275,418,647,.646,,1175,382,235,130,522,690
153,Middle Tennessee,27,12,15,.444,-13.62,-6.71,5,11,,,,,1934,2054,,,719,1684,.427,93,279,.333,403,612,.658,,1030,374,236,70,572,572
154,Milwaukee,27,3,24,.111,-16.97,-3.66,2,13,,,,,1824,2171,,,613,1620,.378,154,492,.313,444,624,.712,,930,269,212,38,407,619
155,Minnesota NCAA,32,19,13,.594,13.88,6.27,10,8,,,,,2360,2123,,,841,1946,.432,202,601,.336,476,691,.689,,1268,516,242,84,481,688
156,Mississippi State NCAA,30,22,8,.733,17.33,8.53,12,4,,,,,2201,1937,,,766,1721,.445,240,643,.373,429,618,.694,,1184,469,202,141,492,544
157,Mississippi Valley State,28,17,11,.607,-11.00,-11.59,10,4,,,,,2251,2197,,,842,1993,.422,148,479,.309,419,674,.622,,1316,360,222,106,488,548
158,Mississippi,27,8,19,.296,2.17,5.65,3,13,,,,,1878,1972,,,683,1629,.419,117,417,.281,395,628,.629,,1028,412,183,76,437,632
159,Missouri-Kansas City,26,7,19,.269,-11.21,-6.21,7,11,,,,,1823,1949,,,611,1436,.425,120,396,.303,481,675,.713,,889,278,217,60,412,466
160,Missouri State,27,16,11,.593,4.60,0.16,9,9,,,,,1827,1707,,,641,1511,.424,152,441,.345,393,583,.674,,957,381,190,76,314,479
161,Missouri NCAA,29,20,9,.690,11.97,8.35,8,6,,,,,2233,2128,,,756,1679,.450,180,464,.388,541,778,.695,,1163,368,141,106,449,578
162,Monmouth,27,13,14,.481,-5.77,-8.22,11,7,,,,,1910,1844,,,667,1461,.457,143,364,.393,433,593,.730,,878,387,236,81,384,384
163,Montana State,29,21,8,.724,11.82,0.98,8,6,,,,,2443,2054,,,930,1832,.508,173,457,.379,410,619,.662,,1049,606,277,109,445,498
164,Montana,30,21,9,.700,7.36,3.20,11,3,,,,,2337,2135,,,763,1666,.458,179,474,.378,632,868,.728,,1128,462,286,92,521,576
165,Morehead State,27,15,12,.556,-5.73,-5.33,10,6,,,,,2053,1974,,,697,1604,.435,232,661,.351,427,572,.747,,971,412,177,92,376,514
166,Morgan State,27,5,22,.185,-23.22,-8.55,5,11,,,,,1841,2248,,,687,1573,.437,147,446,.330,320,517,.619,,875,353,236,56,509,628
167,Mount St. Mary's NCAA,30,17,13,.567,-6.95,-6.74,12,6,,,,,2323,2312,,,840,1887,.445,172,526,.327,471,678,.695,,1132,441,246,99,449,608
168,Murray State NCAA,30,21,9,.700,-2.43,-9.10,11,5,,,,,2608,2316,,,925,1959,.472,205,565,.363,553,719,.769,,1103,409,351,130,449,671
169,Navy,29,20,9,.690,-3.72,-10.83,10,4,,,,,349,1966,,,345,347,.994,343,344,.997,342,342,1.000,,1177,342,213,77,424,623
170,Nebraska,32,18,14,.563,11.21,6.80,4,10,,,,,2510,2367,,,907,1947,.466,173,504,.343,523,766,.683,,1209,572,299,151,481,614
171,Nevada-Las Vegas,28,12,16,.429,0.72,2.57,7,11,,,,,2147,2199,,,747,1619,.461,202,555,.364,451,652,.692,,986,393,180,73,490,591
172,Nevada,29,18,11,.621,5.54,2.85,12,6,,,,,2235,2157,,,809,1729,.468,158,436,.362,459,682,.673,,1053,450,268,88,469,535
