,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
11,Little Rock,28,13,15,.464,-2.24,-2.99,6,12,,,,,2057,2030,,,706,1692,.417,150,434,.346,495,716,.691,,1078,349,235,75,431,591
12,Arkansas State,27,15,12,.556,-0.20,-2.31,10,8,,,,,1839,1782,,,631,1580,.399,176,557,.316,401,612,.655,,954,377,244,88,424,535
13,Arkansas NCAA,34,31,3,.912,23.88,7.55,14,2,,,,,3176,2569,,,1154,2363,.488,301,777,.387,567,834,.680,,1416,687,352,129,539,708
14,Army,27,7,20,.259,-17.48,-7.60,4,10,,,,,2095,2310,,,711,1641,.433,161,482,.334,512,751,.682,,1021,342,163,42,451,610
15,Auburn,28,11,17,.393,7.95,7.17,3,13,,,,,2288,2266,,,854,1689,.506,182,479,.380,398,610,.652,,1069,457,129,69,489,544
16,Austin Peay,27,11,16,.407,-8.74,-4.39,10,6,,,,,2156,2209,,,772,1696,.455,140,372,.376,472,729,.647,,1124,378,229,106,471,551
17,Ball State,28,16,12,.571,1.28,-0.53,11,7,,,,,2081,2022,,,784,1610,.487,141,353,.399,372,544,.684,,983,452,177,63,458,488
18,Baylor,27,16,11,.593,0.79,-0.99,7,7,,,,,2308,2260,,,804,1907,.422,178,547,.325,522,765,.682,,1358,449,154,127,457,549
19,Bethune-Cookman,27,9,18,.333,-17.62,-8.58,8,8,,,,,1916,2160,,,669,1712,.391,145,475,.305,433,694,.624,,1062,292,269,69,514,607
20,Boise State NCAA,30,17,13,.567,2.03,0.25,7,7,,,,,2174,2071,,,848,1778,.477,96,318,.302,382,647,.590,,1099,520,267,143,486,555
21,Boston College NCAA,34,23,11,.676,16.80,9.83,11,7,,,,,2658,2381,,,944,2004,.471,234,579,.404,536,786,.682,,1286,536,236,70,463,604
22,Boston University,27,11,16,.407,-9.20,-6.98,4,10,,,,,2013,2076,,,732,1549,.473,142,398,.357,407,644,.632,,1073,432,194,158,486,544
23,Bowling Green State,28,18,10,.643,4.08,0.08,12,6,,,,,2033,1883,,,732,1475,.496,128,346,.370,441,636,.693,,927,397,203,73,400,484
24,Bradley,31,23,8,.742,2.65,-1.15,14,4,,,,,2140,2008,,,767,1654,.464,148,433,.342,458,721,.635,,1085,437,264,79,484,583
25,Brigham Young,32,22,10,.688,7.58,3.52,12,6,,,,,2540,2382,,,876,1779,.492,141,444,.318,647,880,.735,,1185,482,219,108,474,691
26,Brown,26,12,14,.462,-12.43,-5.74,6,8,,,,,1684,1858,,,592,1468,.403,154,414,.372,346,508,.681,,900,348,172,72,398,551
27,Bucknell,27,10,17,.370,-9.44,-8.86,6,8,,,,,2243,2218,,,801,1790,.447,142,474,.300,499,680,.734,,1089,345,227,122,461,531
28,Buffalo,28,10,18,.357,-13.83,-7.61,3,2,,,,,1972,2131,,,786,1844,.426,57,224,.254,343,594,.577,,1126,364,248,125,469,539
29,Butler,29,16,13,.552,1.51,-0.03,6,4,,,,,2167,2104,,,738,1609,.459,124,349,.355,567,803,.706,,1112,388,164,42,492,598
30,Cal State Fullerton,27,8,19,.296,-5.35,0.17,6,12,,,,,1943,2055,,,675,1545,.437,140,414,.338,453,699,.648,,975,350,216,70,458,559
31,Cal State Northridge,26,8,18,.308,-10.72,-1.20,,,,,,,1897,2124,,,675,1524,.443,123,333,.369,424,589,.720,,850,378,243,47,454,561
32,UC-Irvine,30,10,20,.333,-4.67,0.43,4,14,,,,,2369,2489,,,803,1826,.440,234,626,.374,529,813,.651,,1105,437,255,98,538,694
33,UC-Santa Barbara,30,13,17,.433,-2.80,0.71,9,9,,,,,2008,2093,,,709,1582,.448,136,400,.340,454,722,.629,,1115,447,209,108,530,615
34,University of California NCAA,30,22,8,.733,14.24,7.14,13,5,,,,,2358,2145,,,837,1791,.467,175,524,.334,509,760,.670,,1136,529,258,120,437,561
35,Campbell,29,20,9,.690,-5.00,-8.70,13,5,,,,,2101,1928,,,752,1702,.442,205,537,.382,392,606,.647,,1073,486,253,71,433,479
36,Canisius,29,22,7,.759,2.79,-3.59,12,2,,,,,2305,2120,,,822,1724,.477,206,561,.367,455,649,.701,,1060,540,248,88,478,515
37,Centenary (LA),28,16,12,.571,-5.51,-7.86,8,8,,,,,2283,2155,,,812,1854,.438,226,636,.355,433,676,.641,,1054,437,287,104,423,575
38,Central Connecticut State,26,4,22,.154,-29.36,-8.28,0,5,,,,,1929,2350,,,679,1729,.393,210,635,.331,361,564,.640,,1032,390,246,78,595,509
39,Central Florida NCAA,30,21,9,.700,-6.25,-7.82,11,5,,,,,2418,2318,,,883,1888,.468,141,413,.341,511,752,.680,,1210,469,214,113,445,609
40,Central Michigan,26,5,21,.192,-12.80,-0.44,4,14,,,,,1494,1807,,,558,1374,.406,95,287,.331,283,468,.605,,838,314,142,89,433,459
41,Charleston Southern,27,9,18,.333,-11.43,-7.01,7,11,,,,,2250,2297,,,854,1923,.444,152,505,.301,390,575,.678,,1088,387,293,50,476,635
42,Charlotte,29,16,13,.552,8.15,5.88,7,5,,,,,2018,1956,,,709,1708,.415,156,475,.328,444,651,.682,,1169,425,190,159,411,606
43,Chattanooga NCAA,30,23,7,.767,1.98,-1.77,14,4,,,,,2451,2309,,,826,1745,.473,227,597,.380,572,801,.714,,1119,458,207,80,428,499
44,Chicago State,27,4,23,.148,-21.84,-3.27,2,3,,,,,2116,2587,,,770,1792,.430,188,551,.341,388,577,.672,,881,325,254,56,440,488
45,Cincinnati NCAA,32,22,10,.688,15.30,6.18,7,5,,,,,2485,2193,,,861,2012,.428,253,693,.365,510,744,.685,,1270,431,252,81,477,615
46,Citadel,27,11,16,.407,-6.58,-3.78,6,12,,,,,1871,1873,,,680,1569,.433,137,465,.295,374,558,.670,,965,326,235,66,424,584
47,Clemson,34,18,16,.529,9.17,6.82,6,10,,,,,2557,2477,,1360,910,1984,.459,240,699,.343,497,767,.648,,1327,553,255,144,570,605
48,Cleveland State,29,14,15,.483,-4.76,-1.76,9,9,,,,,2089,2166,,,769,1791,.429,106,352,.301,445,694,.641,,1183,408,215,78,523,607
49,Coastal Carolina,26,15,11,.577,-8.53,-7.36,10,8,,,,,1984,1967,,,691,1571,.440,222,569,.390,380,544,.699,,909,344,188,77,271,450
50,Colgate,29,17,12,.586,-6.28,-9.62,9,5,,,,,2360,2263,,,812,1824,.445,225,595,.378,511,665,.768,,1090,404,196,111,387,645
51,College of Charleston NCAA,28,24,4,.857,4.54,-5.76,14,2,,,,,2147,1833,,,779,1574,.495,154,385,.400,435,671,.648,,1031,435,259,92,374,542
52,Colorado State,28,15,13,.536,4.59,2.09,8,10,,,,,2153,2007,,,741,1686,.440,212,561,.378,459,637,.721,,1005,455,219,102,357,548
53,Colorado,27,10,17,.370,0.03,5.29,2,12,,,,,1992,2134,,,711,1665,.427,88,303,.290,482,731,.659,,1087,412,202,152,461,533
54,Columbia,26,6,20,.231,-19.13,-7.29,4,10,,,,,1555,1836,,,562,1379,.408,67,213,.315,364,543,.670,,906,348,179,123,501,499
55,Connecticut NCAA,34,29,5,.853,22.63,6.31,16,2,,,,,2888,2333,,,1045,2111,.495,192,520,.369,606,841,.721,,1411,628,296,218,525,640
56,Coppin State,30,22,8,.733,2.88,-7.09,16,0,,,,,2277,1924,,,775,1792,.432,255,640,.398,472,648,.728,,1095,413,290,147,425,507
57,Cornell,26,8,18,.308,-15.15,-4.74,3,11,,,,,1716,1890,,,638,1524,.419,135,429,.315,305,463,.659,,971,360,197,50,440,489
58,Creighton,29,7,22,.241,-9.76,-0.02,3,15,,,,,1898,2151,,,663,1669,.397,140,454,.308,432,657,.658,,1061,435,206,72,522,661
59,Dartmouth,26,10,16,.385,-13.25,-7.05,6,8,,,,,1730,1853,,,638,1436,.444,112,335,.334,342,504,.679,,934,389,193,86,434,526
60,Davidson,30,22,8,.733,1.45,-2.91,13,5,,,,,2294,2113,,,798,1653,.483,169,472,.358,529,704,.751,,1083,417,211,70,479,557
61,Dayton,27,6,21,.222,-3.32,4.42,1,11,,,,,1945,2129,,,691,1664,.415,235,698,.337,328,518,.633,,961,395,184,35,455,564
62,Delaware State,27,8,19,.296,-20.07,-8.75,5,11,,,,,1929,1190,,,684,1708,.400,145,518,.280,416,720,.578,,1140,339,233,79,562,549
63,Delaware,27,14,13,.519,-5.62,-6.18,7,7,,,,,1967,1906,,,737,1627,.453,162,429,.378,331,492,.673,,1069,389,169,56,437,494
64,DePaul,28,16,12,.571,11.02,5.84,4,8,,,,,2194,2047,,,778,1674,.465,123,405,.304,515,726,.709,,1201,443,204,83,477,583
65,Detroit Mercy,29,16,13,.552,-0.06,1.78,5,5,,,,,2070,2109,,,718,1652,.435,165,450,.367,469,756,.620,,1197,365,184,120,496,664
66,Drake,27,11,16,.407,-2.20,0.49,6,12,,,,,2081,2125,,,737,1687,.437,175,516,.339,432,640,.675,,954,370,337,73,444,601
67,Drexel NCAA,30,25,5,.833,3.31,-6.17,12,2,,,,,2295,1968,,,798,1777,.449,204,543,.376,495,785,.631,,1262,503,156,68,367,560
68,Duke NCAA,34,28,6,.824,19.21,8.92,12,4,,,,,2639,2289,,1360,950,1953,.486,172,471,.365,567,797,.711,,1227,529,243,204,481,535
69,Duquesne,30,17,13,.567,6.35,5.75,8,8,,,,,2159,2159,,,759,1693,.448,137,429,.319,504,814,.619,,1075,414,222,150,435,562
70,East Carolina,27,15,12,.556,0.10,-3.68,7,7,,,,,1992,1890,,,725,1672,.434,171,482,.355,371,551,.673,,1043,410,223,74,367,533
71,East Tennessee State,30,16,14,.533,-0.75,-1.50,13,5,,,,,2512,2430,,,925,2104,.440,190,626,.304,472,788,.599,,1232,366,330,88,499,671
72,Eastern Illinois,27,12,15,.444,-9.31,-4.24,7,11,,,,,1852,1971,,,669,1560,.429,108,378,.286,406,622,.653,,990,359,200,62,442,566
73,Eastern Kentucky,27,13,14,.481,-3.83,-3.79,9,7,,,,,2223,2153,,,799,1770,.451,187,499,.375,438,596,.735,,971,381,229,70,382,526
74,Eastern Michigan,27,15,12,.556,-1.69,-0.61,10,8,,,,,2065,2022,,,760,1672,.455,158,431,.367,387,607,.638,,1049,412,223,45,395,514
75,Eastern Washington,26,5,21,.192,-15.61,0.39,0,14,,,,,1749,2024,,,643,1505,.427,115,344,.334,348,558,.624,,941,326,182,69,455,557
76,Evansville,32,21,11,.656,5.87,-1.57,6,4,,,,,2451,2158,,,843,1757,.480,244,570,.428,521,753,.692,,1156,570,152,71,488,621
77,Fairfield,27,8,19,.296,-8.27,-2.20,4,10,,,,,1929,2092,,,711,1562,.455,156,419,.372,351,544,.645,,898,361,177,96,364,559
78,Fairleigh Dickinson,27,14,13,.519,-7.38,-5.80,10,8,,,,,1938,1973,,,676,1570,.431,137,431,.318,449,748,.600,,1078,289,163,80,450,550
79,Florida A&M,27,4,23,.148,-21.88,-8.07,2,14,,,,,1718,2064,,,608,1642,.370,118,445,.265,384,660,.582,,1033,223,215,66,561,584
80,Florida Atlantic,27,3,24,.111,-18.64,-0.52,0,0,,,,,1863,2341,,,687,1665,.413,120,371,.323,369,547,.675,,962,283,209,72,466,218
81,Florida International,27,11,16,.407,-7.37,-5.37,7,9,,,,,1855,1909,,,658,1520,.433,126,408,.309,413,686,.602,,1005,385,214,54,463,563
82,Florida State,27,13,14,.481,9.37,7.22,6,10,,,,,2078,2020,,,760,1713,.444,166,520,.319,392,598,.656,,1076,377,231,110,431,514
83,Florida NCAA,37,29,8,.784,16.11,9.01,12,4,,,,,2777,2514,,,985,2170,.454,196,545,.360,611,867,.705,,1478,529,305,145,591,683
84,Fordham,27,12,15,.444,-10.60,-7.14,9,5,,,,,1922,1990,,,695,1520,.457,81,251,.323,451,621,.726,,943,366,179,96,409,498
85,Fresno State,32,21,11,.656,5.38,3.00,13,5,,,,,2412,2308,,,850,1749,.486,217,579,.375,495,698,.709,,1086,590,251,89,446,543
86,Furman,28,10,18,.357,-8.68,-2.94,6,12,,,,,2014,2174,,,756,1642,.460,169,483,.350,333,549,.607,,1036,444,223,76,544,594
87,George Mason,27,10,17,.370,-9.91,-4.21,5,9,,,,,2385,2539,,,880,2090,.421,196,614,.319,429,682,.629,,1277,406,250,88,516,601
88,George Washington NCAA,30,18,12,.600,9.28,6.38,8,8,,,,,2078,1991,,,724,1777,.407,183,549,.333,447,691,.647,,1215,392,234,128,441,644
89,Georgetown NCAA,31,19,12,.613,17.42,12.07,10,8,,,,,2264,2036,,,766,1783,.430,132,422,.313,600,849,.707,,1216,426,263,132,530,662
90,Georgia Southern,28,14,14,.500,-4.74,-3.29,9,9,,,,,2111,2101,,,804,1891,.425,181,524,.345,322,501,.643,,1036,349,259,53,408,619
91,Georgia State,27,13,14,.481,-7.24,-7.78,9,7,,,,,1990,1949,,,736,1627,.452,62,229,.271,456,740,.616,,1059,399,227,108,487,548
92,Georgia Tech,29,16,13,.552,11.44,9.03,7,9,,,,,2200,2130,,,807,1793,.450,187,525,.356,399,572,.698,,1099,501,217,96,421,460
93,Georgia,30,14,16,.467,10.46,7.46,7,9,,,,,2396,2306,,,894,1885,.474,167,460,.363,441,732,.602,,1241,482,244,133,553,611
94,Gonzaga,30,22,8,.733,7.88,0.13,12,2,,,,,2449,2141,,,862,1754,.491,186,460,.404,539,746,.723,,1112,425,202,59,389,544
95,Grambling,27,9,18,.333,-20.83,-10.35,4,10,,,,,2186,2341,,,845,1871,.452,84,284,.296,412,640,.644,,1094,465,247,52,480,555
96,Green Bay NCAA,34,27,7,.794,9.80,-1.88,15,3,,,,,2258,1872,,,824,1681,.490,148,396,.374,462,607,.761,,1103,583,249,84,438,590
97,Hartford,28,16,12,.571,-2.53,-4.78,9,5,,,,,2139,2076,,,749,1768,.424,119,347,.343,522,744,.702,,1143,355,303,92,461,553
98,Harvard,26,9,17,.346,-12.43,-8.75,5,9,,,,,1769,1857,,,652,1541,.423,125,409,.306,340,529,.643,,978,380,285,60,472,524
99,Hawaii NCAA,33,18,15,.545,1.62,4.14,11,7,,,,,2377,2460,,,876,2003,.437,201,555,.362,424,649,.653,,1167,526,193,128,485,655
100,Hofstra,29,9,20,.310,-17.58,-8.72,1,4,,,,,1968,2228,,,700,1555,.450,59,215,.274,509,753,.676,,898,387,249,81,506,589
101,Holy Cross,28,14,14,.500,-10.51,-6.37,9,5,,,,,2343,2457,,,788,1853,.425,168,497,.338,599,904,.663,,1087,392,278,142,430,582
102,Houston,27,8,19,.296,-4.15,1.37,5,9,,,,,2074,2223,,,726,1733,.419,156,458,.341,466,665,.701,,1039,420,261,67,487,602
103,Howard,27,10,17,.370,-13.49,-9.37,7,9,,,,,1926,2014,,,662,1612,.411,118,368,.321,484,821,.590,,1250,301,168,179,562,595
104,Idaho State,27,18,9,.667,1.15,-1.31,10,4,,,,,2228,2071,,,750,1636,.458,147,450,.327,581,859,.676,,1015,404,272,73,446,505
105,Idaho,28,18,10,.643,1.53,-1.31,9,5,,,,,2036,1894,,,747,1656,.451,138,420,.329,404,637,.634,,1162,396,151,116,470,528
106,Illinois-Chicago,29,20,9,.690,3.49,-3.34,14,4,,,,,2466,2237,,,892,1935,.461,220,599,.367,462,639,.723,,1053,414,302,108,417,381
107,Illinois State,27,16,11,.593,4.05,0.68,12,6,,,,,1993,1900,,,699,1550,.451,145,434,.334,450,682,.660,,967,478,189,57,415,586
108,Illinois NCAA,28,17,11,.607,18.96,9.75,10,8,,,,,2353,2095,,,833,1739,.479,162,436,.372,525,732,.717,,1081,483,171,79,374,525
109,Indiana State,26,4,22,.154,-10.99,0.36,3,15,,,,,1639,1934,,,570,1401,.407,85,270,.315,414,624,.663,,852,332,166,86,427,493
110,Indiana NCAA,30,21,9,.700,15.92,12.05,12,6,,,,,2428,2312,,,832,1720,.484,182,401,.454,582,776,.750,,1145,523,183,125,476,551
111,Iona,27,7,20,.259,-11.84,-4.43,3,11,,,,,2025,2233,,,740,1601,.462,73,257,.284,472,655,.721,,991,419,180,106,453,446
112,Iowa State,27,14,13,.519,14.01,6.16,4,10,,,,,2298,2055,,,812,1644,.494,153,421,.363,521,687,.758,,1007,498,228,97,417,487
113,Iowa,27,11,16,.407,11.42,9.68,5,13,,,,,2254,2207,,,781,1754,.445,164,510,.322,528,807,.654,,1118,477,303,76,495,477
114,Jackson State,29,19,10,.655,-3.10,-8.92,11,3,,,,,2352,2128,,,887,1910,.464,124,396,.313,454,690,.658,,1242,493,217,139,466,554
115,Jacksonville,28,17,11,.607,0.28,-2.47,11,7,,,,,2174,2097,,,765,1735,.441,166,435,.382,478,733,.652,,1108,385,231,108,425,592
116,James Madison NCAA,30,20,10,.667,2.20,-1.41,10,4,,,,,2498,2390,,,890,1783,.499,200,505,.396,518,722,.717,,1040,447,173,113,459,560
117,Kansas State,34,20,14,.588,8.58,6.53,4,10,,,,,2406,2336,,,842,2080,.405,246,710,.346,476,717,.664,,1226,440,282,42,603,682
118,Kansas NCAA,35,27,8,.771,20.69,8.60,9,5,,,,,2817,2392,,,1026,2181,.470,201,530,.379,564,893,.632,,1497,628,277,192,564,659
119,Kent State,27,13,14,.481,-2.46,-1.17,8,10,,,,,1792,1834,,,609,1415,.430,140,370,.378,434,611,.710,,968,364,141,70,434,587
120,Kentucky NCAA,34,27,7,.794,21.56,9.41,12,4,,,,,2952,2537,,,1027,2195,.468,301,857,.351,597,875,.682,,1303,648,394,195,533,762
121,La Salle,27,11,16,.407,-0.88,2.89,4,6,,,,,1945,2041,,,683,1694,.403,207,647,.320,372,561,.663,,952,354,227,53,342,540
122,Lafayette,28,9,19,.321,-14.05,-7.98,4,10,,,,,2127,2265,,,765,1766,.433,147,449,.327,450,666,.676,,1065,372,179,67,372,552
123,Lamar,27,10,17,.370,-5.01,-0.41,6,12,,,,,2015,2061,,,696,1638,.425,179,505,.354,444,636,.698,,1025,375,218,31,415,514
124,Lehigh,27,10,17,.370,-15.72,-8.34,6,8,,,,,2094,2274,,,763,1634,.467,108,305,.354,460,664,.693,,938,411,204,94,433,607
125,Liberty NCAA,30,18,12,.600,-6.62,-6.98,12,6,,,,,2152,2091,,,743,1662,.447,211,573,.368,455,636,.715,,1099,479,173,125,469,514
126,Long Beach State,27,17,10,.630,0.41,-0.19,11,7,,,,,2167,2094,,,753,1573,.479,165,479,.344,496,730,.679,,957,422,223,103,521,630
127,Long Island University,27,3,24,.111,-21.97,-5.56,2,16,,,,,1962,2405,,,669,1785,.375,127,450,.282,497,757,.657,,967,308,322,76,444,603
128,Louisiana NCAA,30,22,8,.733,5.70,-1.02,13,5,,,,,2264,2157,,,807,1810,.446,204,582,.351,446,618,.722,,1030,418,292,117,364,525
129,Louisiana-Monroe,28,19,9,.679,-3.56,-6.82,15,3,,,,,2295,2192,,,852,1793,.475,223,632,.353,368,545,.675,,1001,469,277,74,417,538
130,Louisiana State,27,11,16,.407,7.21,8.47,5,11,,,,,2161,2195,,,776,1808,.429,184,564,.326,425,651,.653,,1035,371,271,68,434,576
131,Louisiana Tech,27,2,25,.074,-19.24,0.03,0,18,,,,,1637,2113,,,622,1626,.383,77,274,.281,316,519,.609,,1031,272,189,42,542,502
132,Louisville NCAA,34,28,6,.824,18.71,7.35,10,2,,,,,2726,2339,,,998,2047,.488,224,611,.367,506,795,.636,,1325,564,291,170,509,532
133,Loyola (IL),27,8,19,.296,-8.01,0.41,1,9,,,,,1848,2038,,,708,1590,.445,119,382,.312,313,534,.586,,930,400,201,80,443,476
134,Loyola Marymount,27,6,21,.222,-8.73,1.98,4,10,,,,,2132,2429,,,746,1653,.451,161,502,.321,479,687,.697,,1015,399,194,106,584,623
135,Loyola (MD) NCAA,30,17,13,.567,-3.04,-3.01,6,8,,,,,2359,2361,,,811,1843,.440,175,523,.335,562,817,.688,,1135,467,263,49,539,604
136,Maine,29,20,9,.690,-2.14,-6.69,11,3,,,,,2414,2258,,,913,2022,.452,119,369,.322,469,732,.641,,1274,476,309,103,506,656
137,Manhattan,30,20,10,.667,5.53,-3.14,10,4,,,,,2262,2002,,,820,1787,.459,171,466,.367,451,654,.690,,1249,431,243,107,508,644
138,Marist,27,14,13,.519,-7.09,-8.09,10,8,,,,,2112,2090,,,711,1636,.435,154,458,.336,536,736,.728,,1072,351,197,105,421,513
139,Marquette NCAA,33,24,9,.727,15.64,8.02,10,2,,,,,2298,2040,,,819,1818,.450,204,525,.389,456,674,.677,,1312,580,164,196,433,508
140,Marshall,27,9,18,.333,-12.12,-2.04,7,11,,,,,1990,2219,,,737,1662,.443,146,477,.306,370,554,.668,,1030,290,242,76,572,596
141,Maryland-Baltimore County,27,6,21,.222,-13.38,-5.61,5,13,,,,,1969,2151,,,700,1668,.420,153,441,.347,416,641,.649,,1041,354,207,123,467,578
142,Maryland-Eastern Shore,28,16,12,.571,-12.74,-11.38,10,6,,,,,2050,2018,,,754,1683,.448,134,371,.361,408,633,.645,,1017,346,233,91,430,561
143,Maryland NCAA,30,18,12,.600,14.07,7.34,8,8,,,,,2399,2197,,,868,1901,.457,141,401,.352,522,766,.681,,1193,502,303,176,536,624
144,Massachusetts NCAA,35,28,7,.800,16.78,6.30,14,2,,,,,2674,2307,,,957,2153,.444,157,491,.320,603,954,.632,,1466,530,259,214,527,700
145,McNeese State,27,11,16,.407,-8.88,-5.56,9,9,,,,,1903,1922,,,704,1656,.425,169,521,.324,326,525,.621,,1100,368,211,98,430,541
146,Memphis,29,13,16,.448,5.41,5.93,4,8,,,,,2092,2105,,,781,1793,.436,143,445,.321,387,565,.685,,1129,462,273,189,522,576
147,Mercer,29,5,24,.172,-15.66,-1.59,3,13,,,,,1893,2256,,,657,1602,.410,132,425,.311,447,659,.678,,1077,322,186,103,497,523
148,Miami (FL),27,7,20,.259,-1.79,6.32,0,18,,,,,1690,1909,,,638,1523,.419,138,428,.322,276,472,.585,,1067,413,191,141,531,537
149,Miami (OH),30,19,11,.633,6.14,0.56,12,6,,,,,2291,2092,,,828,1804,.459,243,627,.388,392,619,.633,,1068,428,269,98,440,621
150,Michigan State NCAA,32,20,12,.625,15.67,10.70,10,8,,,,,2426,2267,,,944,1875,.503,159,420,.379,379,567,.668,,1176,514,213,88,508,566
151,Michigan NCAA,32,24,8,.750,17.91,12.04,13,5,,,,,2542,2352,,,962,1979,.486,173,495,.349,445,661,.673,,1177,525,267,87,494,631
152,Middle Tennessee,27,8,19,.296,-10.81,-4.77,5,11,,,,,1929,2055,,,711,1751,.406,112,390,.287,395,585,.675,,1037,306,226,54,419,605
153,Milwaukee,27,10,17,.370,-9.46,-4.38,7,11,,,,,1858,2003,,,624,1582,.394,177,522,.339,433,581,.745,,971,349,176,102,353,451
154,Minnesota NCAA,35,22,13,.629,19.14,10.14,10,8,,,,,2602,2312,,,962,2097,.459,190,523,.363,488,700,.697,,1287,607,263,83,440,641
155,Mississippi State,29,18,11,.621,10.66,7.38,9,7,,,,,2185,2059,,,785,1719,.457,141,452,.312,474,771,.615,,1196,457,214,144,536,600
156,Mississippi Valley State,27,10,17,.370,-16.00,-8.87,6,8,,,,,2216,2396,,,837,1997,.419,168,546,.308,374,637,.587,,1171,393,264,111,407,596
157,Mississippi,27,14,13,.519,3.13,7.80,7,9,,,,,1940,1992,,,706,1652,.427,81,319,.254,447,726,.616,,1113,369,248,159,532,650
158,Missouri-Kansas City,29,12,17,.414,-5.53,-1.24,,,,,,,2075,2189,,,717,1637,.438,134,390,.344,507,717,.707,,1037,362,203,99,442,557
159,Missouri State,27,12,15,.444,0.14,0.14,7,11,,,,,1690,1690,,,618,1478,.418,120,371,.323,334,505,.661,,1022,363,147,47,415,547
160,Missouri NCAA,32,28,4,.875,15.65,8.26,14,0,,,,,2593,2361,,,898,1965,.457,204,575,.355,593,873,.679,,1263,492,226,103,477,651
161,Monmouth,29,18,11,.621,-6.91,-7.64,13,5,,,,,2206,2185,,,779,1625,.479,151,403,.375,497,704,.706,,1033,471,261,103,518,516
162,Montana State,27,16,11,.593,-0.44,-1.90,8,6,,,,,2174,2045,,,794,1777,.447,161,455,.354,425,615,.691,,1021,458,231,84,415,536
163,Montana,28,19,9,.679,3.90,-2.98,6,8,,,,,2138,1901,,,745,1556,.479,150,369,.407,498,758,.657,,1114,501,205,119,445,521
164,Morehead State,28,14,14,.500,-9.02,-3.60,8,8,,,,,2316,2431,,,753,1722,.437,243,633,.384,567,767,.739,,1046,422,169,38,482,514
165,Morgan State,29,8,21,.276,-16.60,-8.42,4,12,,,,,2072,2309,,,805,1905,.423,120,438,.274,342,592,.578,,1224,362,273,107,632,765
166,Mount St. Mary's,28,14,14,.500,-7.30,-8.37,9,9,,,,,2232,2203,,,825,1850,.446,157,500,.314,425,633,.671,,1098,469,251,144,453,565
167,Murray State,29,23,6,.793,3.77,-4.89,15,1,,,,,2611,2310,,,934,1971,.474,186,532,.350,557,819,.680,,1174,347,298,152,406,617
168,Navy NCAA,30,17,13,.567,-7.74,-8.84,9,5,,,,,2248,2207,,,803,1758,.457,181,467,.388,461,735,.627,,1183,461,235,82,507,661
169,Nebraska NCAA,30,20,10,.667,13.54,6.84,7,7,,,,,2620,2419,,,956,1978,.483,194,564,.344,514,690,.745,,1201,581,267,117,477,629
170,Nevada-Las Vegas,28,15,13,.536,0.87,0.46,10,8,,,,,2182,2137,,,723,1712,.422,179,523,.342,557,822,.678,,1084,410,211,77,453,609
171,Nevada,28,11,17,.393,-4.71,0.36,6,12,,,,,2071,2203,,,755,1717,.440,184,502,.367,377,544,.693,,1011,452,236,94,446,501
172,New Hampshire,28,15,13,.536,-7.07,-6.32,8,6,,,,,2038,2059,,,724,1638,.442,169,492,.343,421,603,.698,,987,419,257,80,501,581
