,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,26,8,18,.308,-6.27,2.41,3,15,,,,,1813,1923,,,613,1489,.412,142,420,.338,445,630,.706,,889,281,168,111,331,509
2,Akron,26,8,18,.308,-8.14,-2.22,2,16,,,,,1601,,,,593,1480,.401,104,352,.295,311,500,.622,,,335,213,43,,
3,Alabama-Birmingham NCAA,30,22,8,.733,14.71,3.51,8,4,,,,,2142,1806,,,778,1774,.439,201,528,.381,385,566,.680,,1132,382,230,86,359,519
4,Alabama State,29,19,10,.655,-8.33,-12.09,10,4,,,,,2444,2329,,,905,1937,.467,106,310,.342,528,793,.666,,1262,397,221,71,435,523
5,Alabama NCAA,30,20,10,.667,10.19,6.06,12,4,,,,,2208,2084,,,787,1760,.447,158,468,.338,476,723,.658,,1187,392,238,155,508,583
6,Alcorn State,27,3,24,.111,-25.14,-8.78,3,11,,,,,2015,2410,,,754,1797,.420,161,438,.368,346,540,.641,,933,292,208,48,462,523
7,American,27,8,19,.296,-9.58,-2.18,5,9,,,,,2049,2249,,,738,1757,.420,153,421,.363,420,641,.655,,1027,386,223,76,415,528
8,Appalachian State,27,16,11,.593,-2.44,-2.71,12,6,,,,,2070,2055,,,748,1599,.468,165,446,.370,409,609,.672,,919,387,180,120,380,470
9,Arizona State,28,15,13,.536,9.55,7.80,10,8,,,,,2158,2109,,,759,1729,.439,208,628,.331,432,659,.656,,1018,387,238,81,424,528
10,Arizona NCAA,35,29,6,.829,23.70,8.84,14,4,,,,,3124,2604,,,1108,2288,.484,279,787,.355,629,884,.712,,1453,581,285,102,481,637
