,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,27,21,6,.778,-2.37,-7.32,10,4,11,2,8,4,2019,1727,,1090,726,1522,.477,197,504,.391,370,518,.714,267,886,418,233,79,339,530
2,Air Force,27,12,15,.444,-3.73,0.65,7,8,9,5,2,8,1831,1920,,1100,678,1498,.453,190,590,.322,285,424,.672,216,905,361,136,47,370,468
3,Akron,27,15,12,.556,5.97,0.37,7,7,12,2,1,8,1876,1689,,1085,656,1601,.410,241,766,.315,323,457,.707,267,987,328,157,82,311,464
4,Alabama A&M,27,5,22,.185,-18.63,-7.44,4,9,4,5,0,15,1652,1954,,1095,622,1526,.408,166,503,.330,242,394,.614,263,872,319,198,42,416,495
5,Alabama-Birmingham,28,17,11,.607,0.25,-1.64,9,6,10,4,6,4,1977,1890,,1130,736,1615,.456,188,558,.337,317,478,.663,299,1032,331,182,66,328,467
6,Alabama State,24,10,14,.417,-13.26,-6.57,8,5,8,1,1,11,1629,1700,,970,561,1380,.407,176,527,.334,331,515,.643,292,875,249,160,86,353,432
7,Alabama,27,16,11,.593,10.51,8.80,7,7,10,3,3,7,1985,1939,,1080,691,1535,.450,193,567,.340,410,604,.679,299,1006,338,123,134,360,468
8,Albany (NY),28,11,17,.393,-8.80,-5.69,6,7,6,7,5,8,1885,1952,,1135,633,1538,.412,243,697,.349,376,512,.734,262,954,365,177,63,402,498
9,Alcorn State,26,9,17,.346,-20.12,-8.12,5,9,9,3,0,13,1686,1795,,1045,603,1473,.409,180,566,.318,300,438,.685,283,914,340,205,92,395,455
