,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
10,American,27,14,13,.519,-3.75,-7.05,8,8,8,5,4,8,1953,1864,,1100,701,1466,.478,166,510,.325,385,550,.700,219,915,367,198,121,350,464
11,Appalachian State,27,9,18,.333,-3.52,0.94,4,10,8,4,1,10,2169,2147,,1090,747,1639,.456,244,681,.358,431,603,.715,265,959,346,148,77,364,507
12,Arizona State,27,19,8,.704,11.31,5.31,10,5,12,3,4,4,2135,1973,,1095,732,1630,.449,202,586,.345,469,696,.674,342,1109,379,169,83,373,536
13,Arizona,28,16,12,.571,10.10,6.21,7,8,11,4,3,6,2019,1910,,1130,709,1654,.429,209,617,.339,392,541,.725,290,975,357,152,63,313,514
14,Little Rock,27,10,17,.370,-3.58,-2.34,5,9,7,7,3,10,2031,2033,,1090,717,1478,.485,184,512,.359,413,625,.661,218,929,387,151,78,434,552
15,Arkansas-Pine Bluff,27,11,16,.407,-15.17,-6.71,8,6,7,1,3,15,1795,1982,,1100,604,1419,.426,165,483,.342,422,612,.690,260,883,309,183,81,412,540
16,Arkansas State,27,12,15,.444,-6.50,-0.94,6,8,9,3,2,10,2002,2081,,1105,669,1594,.420,200,579,.345,464,644,.720,343,1032,312,167,118,391,596
17,Arkansas,27,14,13,.519,10.72,8.39,5,9,10,6,3,6,2059,1996,,1090,719,1614,.445,198,611,.324,423,639,.662,282,933,424,214,129,373,556
18,Army,29,12,17,.414,-7.69,-4.41,7,9,9,3,3,11,2058,2099,,1160,761,1787,.426,252,795,.317,284,413,.688,238,1018,462,178,46,336,493
19,Auburn,27,18,9,.667,20.38,9.23,7,7,13,2,2,6,2174,1833,,1090,754,1678,.449,299,795,.376,367,531,.691,350,986,400,245,137,356,512
20,Austin Peay,29,21,8,.724,1.20,-5.10,13,3,10,2,8,5,2387,2073,,1175,856,1791,.478,232,602,.385,443,628,.705,334,1066,400,228,98,354,524
21,Ball State,27,14,13,.519,4.79,1.52,5,9,7,5,6,6,2081,1950,,1100,739,1565,.472,175,519,.337,428,601,.712,255,1034,355,180,96,385,467
22,Baylor,27,18,9,.667,13.76,7.24,9,5,12,4,5,4,1949,1773,,1080,699,1562,.448,214,628,.341,337,504,.669,361,1020,378,169,133,357,509
23,Belmont,27,23,4,.852,7.95,-3.55,14,2,13,1,10,3,2366,2013,,1090,859,1717,.500,278,739,.376,370,506,.731,241,1054,532,191,104,327,424
24,Bethune-Cookman,28,13,15,.464,-10.63,-8.67,8,6,10,3,3,12,2065,2006,,1125,752,1711,.440,183,568,.322,378,623,.607,376,1154,402,202,104,439,550
25,Binghamton,28,8,20,.286,-13.86,-4.36,4,9,5,9,3,11,1806,1991,,1120,669,1566,.427,214,641,.334,254,401,.633,206,913,268,162,138,354,402
26,Boise State,27,11,16,.407,3.86,1.13,6,8,7,6,3,8,1934,1843,,1085,686,1463,.469,204,581,.351,358,503,.712,209,846,318,159,61,320,478
27,Boston College,26,13,13,.500,6.56,7.14,4,10,9,6,2,7,1869,1884,,1055,653,1492,.438,188,569,.330,375,539,.696,275,956,319,133,77,337,436
28,Boston University,29,13,16,.448,-5.91,-4.77,6,10,6,6,7,9,2087,2082,,1165,807,1707,.473,198,576,.344,275,402,.684,282,976,399,172,69,379,515
29,Bowling Green State,27,19,8,.704,5.65,-0.27,11,3,13,1,5,6,2139,1927,,1090,757,1704,.444,220,601,.366,405,601,.674,331,1135,359,189,71,329,480
30,Bradley,29,16,13,.552,-0.94,-1.61,8,8,9,6,5,7,1958,1923,,1165,682,1566,.436,198,539,.367,396,578,.685,271,1001,344,168,105,377,527
31,Brigham Young,30,18,12,.600,7.03,3.69,10,5,12,3,5,8,2383,2283,,1215,836,1772,.472,217,648,.335,494,681,.725,252,1050,462,188,97,333,587
32,Brown,26,17,9,.654,-0.18,-3.30,5,5,11,2,6,7,1939,1793,,1050,666,1489,.447,203,604,.336,404,574,.704,227,959,353,195,103,368,495
33,Bryant,27,10,17,.370,-14.47,-7.13,7,9,8,6,2,10,1894,2092,,1080,637,1504,.424,211,645,.327,409,576,.710,259,867,298,145,71,343,523
34,Bucknell,28,18,10,.643,1.48,-2.31,12,4,8,3,7,6,2165,2059,,1125,746,1643,.454,259,737,.351,414,561,.738,252,987,439,146,95,348,530
35,Buffalo,27,24,3,.889,16.22,2.11,12,2,12,0,10,3,2314,1913,,1085,829,1773,.468,259,757,.342,397,570,.696,340,1097,459,199,109,329,502
36,Butler,27,15,12,.556,11.85,8.18,6,8,11,3,2,7,1979,1880,,1085,718,1582,.454,246,678,.363,297,403,.737,244,888,367,148,52,301,479
37,Cal Poly,25,6,19,.240,-12.58,-3.32,2,10,4,6,1,12,1616,1801,,1025,600,1467,.409,201,606,.332,215,339,.634,246,845,270,130,83,298,457
38,Cal State Bakersfield,27,16,11,.593,-3.77,-2.39,7,6,9,4,5,6,1954,1910,,1090,714,1652,.432,194,578,.336,332,495,.671,388,997,329,183,82,355,599
39,Cal State Fullerton,27,13,14,.481,-1.25,0.15,9,4,8,2,4,10,1972,1915,,1100,712,1546,.461,153,471,.325,395,564,.700,221,992,346,164,88,362,506
40,Cal State Northridge,28,11,17,.393,-6.67,-3.26,5,7,6,8,3,9,2147,2235,,1135,798,1723,.463,194,539,.360,357,567,.630,301,1009,433,178,127,359,537
41,California Baptist,26,15,11,.577,-4.24,-5.11,6,6,8,4,7,5,2075,1900,,1055,724,1566,.462,249,677,.368,378,480,.788,248,979,305,125,71,331,529
42,UC-Davis,26,10,16,.385,-5.66,-0.79,6,6,6,3,3,12,1714,1783,,1055,613,1397,.439,182,541,.336,306,429,.713,189,793,320,163,55,360,510
43,UC-Irvine,28,23,5,.821,4.46,-1.43,11,1,11,2,10,2,1993,1800,,1140,729,1628,.448,191,527,.362,344,501,.687,327,1112,364,159,121,351,525
44,UC-Riverside,28,9,19,.321,-10.46,-3.10,3,9,7,6,1,12,1866,1938,,1125,681,1528,.446,242,643,.376,262,372,.704,242,887,374,143,51,353,497
45,UC-Santa Barbara,27,19,8,.704,-0.18,-4.74,8,5,12,2,5,6,1989,1757,,1090,699,1530,.457,171,507,.337,420,588,.714,325,1017,378,139,88,301,475
46,University of California,27,5,22,.185,-4.32,5.90,0,15,5,9,0,9,1854,2130,,1085,642,1516,.423,179,523,.342,391,530,.738,222,778,284,187,78,309,516
47,Campbell,28,17,11,.607,-3.56,-4.36,10,4,10,3,4,7,2117,1953,,1125,733,1616,.454,270,783,.345,381,509,.749,230,898,414,198,87,298,454
48,Canisius,28,13,15,.464,-8.07,-3.78,10,6,4,7,9,4,1970,2090,,1130,694,1607,.432,230,699,.329,352,508,.693,268,906,410,189,94,374,555
49,Central Arkansas,27,10,17,.370,-12.58,-3.41,5,9,7,4,3,13,1937,2075,,1090,669,1580,.423,219,641,.342,380,529,.718,247,951,371,165,100,405,517
50,Central Connecticut State,29,11,18,.379,-12.45,-6.12,5,11,5,6,5,11,2092,2213,,1180,710,1704,.417,193,588,.328,479,613,.781,310,1030,330,158,102,387,576
51,Central Florida,26,20,6,.769,13.15,3.46,10,4,13,2,3,4,1917,1665,,1045,656,1397,.470,180,505,.356,425,668,.636,252,967,352,155,123,298,434
52,Central Michigan,27,19,8,.704,3.25,-0.63,8,6,12,2,5,5,2246,2047,,1105,764,1682,.454,227,626,.363,491,734,.669,344,1050,357,214,92,349,466
53,Charleston Southern,27,13,14,.481,-3.35,-3.22,7,7,9,4,3,10,2088,1939,,1090,742,1748,.424,276,786,.351,328,485,.676,353,1029,393,212,87,364,472
54,Charlotte,26,6,20,.231,-8.48,0.17,3,12,4,8,2,9,1560,1785,,1040,526,1275,.413,168,541,.311,340,463,.734,174,794,255,128,87,390,446
55,Chattanooga,29,12,17,.414,-7.47,-1.51,7,9,8,4,4,11,2100,2157,,1165,769,1715,.448,270,728,.371,292,424,.689,250,995,389,124,73,368,503
56,Chicago State,28,3,25,.107,-24.98,0.95,0,13,3,5,0,19,1725,2374,,1120,633,1543,.410,119,409,.291,340,499,.681,225,880,329,170,61,449,547
57,Cincinnati,27,23,4,.852,15.33,3.70,12,2,15,1,5,3,1974,1660,,1090,685,1545,.443,185,515,.359,419,590,.710,329,966,380,180,126,290,443
58,Citadel,27,12,15,.444,-6.78,0.68,4,12,8,6,4,9,2308,2303,,1090,810,1812,.447,323,957,.338,365,495,.737,290,1007,418,191,102,344,474
59,Clemson,27,16,11,.593,14.37,9.11,6,8,12,3,2,6,1879,1737,,1080,677,1466,.462,172,522,.330,353,485,.728,237,943,326,174,116,366,441
60,Cleveland State,30,9,21,.300,-8.01,-1.01,4,13,8,9,1,12,2211,2357,,1205,768,1770,.434,295,797,.370,380,564,.674,294,1057,440,169,96,403,535
61,Coastal Carolina,26,13,13,.500,-0.01,-1.93,7,7,8,3,4,9,1988,1867,,1050,665,1478,.450,217,568,.382,441,619,.712,279,960,339,165,63,374,548
62,Colgate,29,19,10,.655,0.32,-3.86,11,5,11,1,8,9,2168,2033,,1175,793,1668,.475,253,666,.380,329,452,.728,274,1039,451,168,103,374,462
63,College of Charleston,30,22,8,.733,2.65,-2.59,11,6,12,2,8,5,2243,2073,,1210,797,1652,.482,210,616,.341,439,575,.763,243,965,343,202,65,318,445
64,Colorado State,27,11,16,.407,0.06,1.25,6,8,8,7,2,7,2039,2036,,1080,731,1533,.477,223,618,.361,354,510,.694,227,934,404,167,63,319,441
65,Colorado,27,16,11,.593,9.00,3.37,7,8,10,2,5,8,2007,1855,,1085,706,1539,.459,177,546,.324,418,568,.736,272,996,358,142,83,368,470
66,Columbia,24,7,17,.292,-6.30,-2.12,2,8,4,6,2,9,1745,1751,,995,664,1485,.447,202,565,.358,215,311,.691,228,853,384,189,67,315,460
67,Connecticut,27,13,14,.481,8.08,3.93,4,10,12,3,0,7,2035,1923,,1085,739,1649,.448,209,599,.349,348,511,.681,333,981,347,172,123,357,540
68,Coppin State,28,6,22,.214,-18.39,-5.32,6,7,3,6,3,15,1777,2143,,1125,608,1558,.390,196,702,.279,365,557,.655,261,1005,269,151,91,462,528
69,Cornell,26,13,13,.500,-5.70,-1.91,5,5,7,4,6,9,1806,1840,,1055,629,1432,.439,208,616,.338,340,481,.707,167,846,377,151,94,336,412
70,Creighton,28,15,13,.536,12.41,9.27,6,9,9,6,3,7,2226,2091,,1135,800,1643,.487,309,770,.401,317,458,.692,234,963,450,173,72,372,466
71,Dartmouth,26,11,15,.423,-4.26,-2.47,2,8,8,4,2,10,1916,1838,,1045,694,1517,.457,247,643,.384,281,388,.724,215,885,375,134,93,301,418
72,Davidson,27,20,7,.741,7.43,2.43,11,3,12,1,6,4,1931,1767,,1085,676,1496,.452,252,711,.354,327,437,.748,201,941,393,140,61,304,442
73,Dayton,27,18,9,.667,9.96,3.55,10,4,12,3,5,3,1988,1815,,1090,745,1484,.502,174,517,.337,324,477,.679,221,942,443,131,67,330,376
74,Delaware State,25,4,21,.160,-27.54,-8.06,1,11,3,7,1,14,1570,1949,,1000,559,1592,.351,198,656,.302,254,373,.681,301,919,271,166,52,347,473
75,Delaware,29,16,13,.552,-7.91,-5.50,8,8,9,5,7,8,2059,2056,,1195,720,1588,.453,239,646,.370,380,521,.729,229,973,371,131,76,333,451
76,Denver,28,7,21,.250,-12.58,-2.39,2,12,5,6,1,14,1936,2187,,1125,702,1597,.440,213,573,.372,319,424,.752,252,962,326,129,69,388,475
77,DePaul,25,13,12,.520,6.17,4.49,5,9,10,6,3,6,1888,1846,,1005,681,1472,.463,165,487,.339,361,503,.718,288,942,359,160,75,348,436
78,Detroit Mercy,28,10,18,.357,-6.13,-0.17,7,9,5,5,4,13,2033,2200,,1120,701,1689,.415,264,735,.359,367,518,.708,299,921,286,220,68,323,475
79,Drake,29,21,8,.724,2.86,0.19,10,6,12,2,6,4,2201,2055,,1180,783,1668,.469,249,690,.361,386,517,.747,247,1032,457,155,109,387,483
80,Drexel,29,13,16,.448,-6.23,-3.09,7,9,9,5,3,11,2221,2232,,1160,795,1721,.462,218,614,.355,413,541,.763,280,1026,417,131,58,346,496
81,Duke,27,24,3,.889,30.17,11.58,12,2,13,2,7,0,2308,1806,,1085,840,1755,.479,205,669,.306,423,613,.690,377,1140,445,275,194,348,429
82,Duquesne,27,18,9,.667,1.96,-0.93,9,5,13,3,4,4,1996,1918,,1095,687,1600,.429,228,716,.318,394,561,.702,328,979,379,218,131,394,481
83,East Carolina,26,10,16,.385,-5.05,-0.36,3,11,8,7,1,9,1760,1882,,1055,628,1511,.416,126,465,.271,378,554,.682,275,920,319,202,97,358,533
84,East Tennessee State,30,22,8,.733,6.73,-1.49,12,5,12,2,8,5,2392,2050,,1215,893,1836,.486,238,667,.357,368,546,.674,401,1224,475,224,114,429,529
85,Eastern Illinois,29,14,15,.483,-11.50,-4.61,7,9,7,4,5,10,2087,2227,,1180,747,1726,.433,250,660,.379,343,498,.689,301,1031,391,179,111,376,517
86,Eastern Kentucky,29,12,17,.414,-7.68,-2.34,5,11,8,4,3,11,2403,2419,,1185,846,2007,.422,250,782,.320,461,652,.707,346,1106,421,304,94,423,629
87,Eastern Michigan,27,13,14,.481,1.13,5.09,7,7,10,5,3,9,1893,1881,,1095,708,1558,.454,166,551,.301,311,499,.623,337,981,327,205,126,376,449
88,Eastern Washington,27,11,16,.407,-8.25,-3.14,9,7,8,3,2,13,1936,2050,,1100,695,1636,.425,246,707,.348,300,423,.709,237,936,370,158,82,319,509
89,Elon,29,9,20,.310,-12.46,-2.57,5,11,5,11,4,7,2021,2228,,1170,720,1674,.430,295,854,.345,286,413,.692,236,975,415,119,54,383,493
90,Evansville,29,10,19,.345,-3.36,0.68,4,12,9,6,1,13,2018,2091,,1175,678,1602,.423,235,700,.336,427,586,.729,189,989,359,166,81,382,537
91,Fairfield,28,8,20,.286,-9.94,-6.51,5,11,3,7,3,12,1908,2004,,1120,700,1608,.435,238,687,.346,270,389,.694,251,885,369,179,54,395,561
92,Fairleigh Dickinson,28,15,13,.536,-7.10,-7.14,10,6,11,4,4,9,2119,2051,,1140,752,1589,.473,217,546,.397,398,561,.709,260,921,401,216,98,375,491
93,Florida A&M,29,11,18,.379,-13.10,-7.69,8,6,6,3,5,13,1821,1938,,1165,677,1527,.443,176,462,.381,291,477,.610,268,918,340,210,99,460,551
94,Florida Atlantic,28,16,12,.571,-0.32,-1.32,7,8,9,4,5,7,2010,1916,,1135,701,1702,.412,253,771,.328,355,478,.743,325,1126,361,157,76,413,497
95,Florida Gulf Coast,30,13,17,.433,-4.75,-0.93,8,7,10,3,3,10,2125,2203,,1200,752,1667,.451,241,670,.360,380,567,.670,253,998,411,205,124,453,482
96,Florida International,28,17,11,.607,-3.96,-1.42,8,7,10,4,5,7,2352,2256,,1120,826,1863,.443,249,799,.312,451,707,.638,299,994,423,302,121,402,558
97,Florida State,27,21,6,.778,17.57,8.91,9,5,12,1,5,4,2066,1832,,1090,714,1594,.448,204,604,.338,434,589,.737,314,1007,362,205,114,371,534
98,Florida,27,16,11,.593,15.81,10.59,8,6,9,4,4,5,1856,1715,,1090,652,1549,.421,230,680,.338,322,449,.717,294,918,335,203,108,322,480
99,Fordham,27,11,16,.407,-3.60,-2.22,2,12,8,9,3,6,1830,1818,,1095,660,1596,.414,242,707,.342,268,395,.678,259,897,311,164,86,298,484
100,Fresno State,27,19,8,.704,9.72,1.88,10,5,11,4,6,3,2044,1812,,1085,706,1559,.453,276,725,.381,356,496,.718,255,963,370,183,92,350,509
101,Furman,28,22,6,.786,7.98,-1.54,11,5,13,2,9,4,2184,1835,,1140,794,1675,.474,286,793,.361,310,441,.703,286,1009,448,250,119,353,394
102,Gardner-Webb,29,18,11,.621,-4.37,-5.29,9,6,11,0,6,9,2288,2072,,1190,802,1654,.485,239,604,.396,445,625,.712,235,994,423,211,85,344,478
103,George Mason,27,15,12,.556,2.05,0.31,9,5,10,5,5,5,1931,1884,,1090,691,1515,.456,166,516,.322,383,531,.721,244,930,325,174,79,348,462
104,George Washington,27,8,19,.296,-5.34,2.03,4,10,6,9,2,8,1740,1939,,1095,620,1495,.415,168,523,.321,332,488,.680,208,895,312,142,81,351,446
105,Georgetown,27,16,11,.593,8.50,5.43,6,8,11,5,4,5,2186,2103,,1105,745,1653,.451,234,640,.366,462,625,.739,288,1071,473,158,110,370,473
106,Georgia Southern,28,18,10,.643,4.28,0.97,10,5,8,3,7,7,2340,2129,,1130,865,1726,.501,181,545,.332,429,621,.691,261,1010,355,219,107,390,500
107,Georgia State,28,19,9,.679,1.96,0.77,10,5,11,1,6,7,2162,2082,,1120,761,1624,.469,275,706,.390,365,558,.654,227,910,347,219,135,328,487
108,Georgia Tech,28,12,16,.429,7.68,7.93,4,11,10,7,2,8,1825,1832,,1120,647,1494,.433,155,506,.306,376,534,.704,233,957,374,204,148,421,503
109,Georgia,27,10,17,.370,6.44,7.84,1,13,8,7,1,8,1992,2030,,1080,684,1526,.448,186,560,.332,438,611,.717,321,1064,381,154,132,433,478
110,Gonzaga,29,27,2,.931,30.07,4.62,14,0,17,0,7,1,2630,1892,,1160,946,1779,.532,237,636,.373,501,654,.766,290,1147,539,216,160,299,477
111,Grambling,27,13,14,.481,-9.57,-7.86,7,7,8,3,5,10,1921,1860,,1090,657,1477,.445,172,436,.394,435,648,.671,261,1045,334,168,123,441,565
112,Grand Canyon,26,16,10,.615,6.55,-2.07,9,4,10,2,5,5,1964,1740,,1045,690,1509,.457,195,587,.332,387,531,.729,275,945,371,162,63,320,468
113,Green Bay,29,15,14,.517,-3.77,-0.29,9,7,10,2,4,11,2365,2337,,1170,839,1849,.454,230,678,.339,457,653,.700,280,1057,436,231,116,367,562
114,Hampton,27,12,15,.444,-4.70,-4.58,7,7,8,3,4,10,2197,2077,,1110,747,1742,.429,231,672,.344,470,608,.773,301,1051,378,177,98,305,516
115,Hartford,28,15,13,.536,-3.32,-3.69,8,5,8,3,7,8,2073,2023,,1130,702,1570,.447,272,717,.379,397,529,.750,232,891,382,196,53,343,480
116,Harvard,23,14,9,.609,2.32,0.73,7,3,7,2,6,7,1656,1609,,940,591,1251,.472,202,530,.381,272,391,.696,198,825,290,128,90,379,404
117,Hawaii,27,16,11,.593,-0.50,-2.94,7,6,12,4,2,5,1955,1851,,1090,686,1516,.453,236,655,.360,347,509,.682,237,909,424,142,57,312,484
118,High Point,28,15,13,.536,-4.64,-3.98,8,6,9,3,4,8,1913,1884,,1135,693,1560,.444,157,520,.302,370,548,.675,335,1082,356,159,80,369,460
119,Hofstra,29,23,6,.793,5.59,-4.73,13,3,15,1,8,5,2441,2099,,1195,833,1704,.489,266,683,.389,509,641,.794,243,972,426,191,95,289,440
120,Holy Cross,29,15,14,.517,-5.11,-3.97,6,10,8,5,4,9,1947,1980,,1175,739,1603,.461,215,586,.367,254,377,.674,201,815,460,216,109,309,430
121,Houston Baptist,25,10,15,.400,-7.54,-3.59,6,8,7,4,3,11,2038,2041,,1025,720,1587,.454,157,481,.326,441,656,.672,359,985,362,198,44,393,506
122,Houston,27,26,1,.963,17.57,2.65,13,1,18,0,8,1,2031,1628,,1080,708,1600,.443,247,698,.354,368,509,.723,330,1122,404,178,125,315,501
123,Howard,28,13,15,.464,-12.42,-8.66,7,6,6,8,6,7,2209,2194,,1130,777,1803,.431,187,540,.346,468,655,.715,339,1041,376,154,115,340,533
124,Idaho State,25,9,16,.360,-11.90,-3.72,5,11,4,6,5,10,1846,1971,,1000,651,1454,.448,239,636,.376,305,421,.724,231,818,328,127,71,297,420
125,Idaho,27,4,23,.148,-18.92,-5.34,1,15,3,10,1,11,1817,2065,,1085,658,1487,.443,208,579,.359,293,410,.715,220,893,335,111,45,363,483
126,Illinois-Chicago,29,15,14,.517,-2.58,-1.66,9,7,11,4,3,10,2162,2146,,1175,781,1697,.460,273,769,.355,327,485,.674,242,998,428,194,114,407,618
127,Illinois State,29,15,14,.517,-1.52,0.70,8,8,10,4,2,9,2002,2047,,1170,725,1652,.439,228,671,.340,324,457,.709,256,996,393,135,91,372,497
128,Illinois,27,10,17,.370,11.02,11.88,6,10,8,5,1,7,1995,2018,,1090,723,1674,.432,217,636,.341,332,483,.687,300,893,360,210,69,360,579
129,Incarnate Word,27,6,21,.222,-18.17,-3.95,1,13,5,8,0,11,1749,2014,,1090,605,1324,.457,141,436,.323,398,495,.804,183,734,293,169,43,441,504
130,Indiana State,28,14,14,.500,-1.89,1.19,6,10,8,5,4,8,1952,2007,,1130,686,1542,.445,159,431,.369,421,581,.725,229,914,317,180,65,380,524
131,Indiana,27,13,14,.481,13.90,10.67,4,12,10,5,2,9,1895,1808,,1090,695,1515,.459,156,506,.308,349,533,.655,254,976,354,171,124,353,453
132,Iona,28,13,15,.464,-5.91,-5.66,11,6,7,3,4,9,2146,2153,,1120,732,1623,.451,243,707,.344,439,591,.743,253,996,371,191,79,356,495
133,Iowa State,27,19,8,.704,18.91,7.83,8,6,11,3,5,4,2114,1815,,1080,769,1605,.479,230,640,.359,346,471,.735,254,955,434,197,124,294,404
134,Iowa,27,21,6,.778,16.49,8.72,10,6,14,3,4,3,2170,1960,,1085,716,1536,.466,225,604,.373,513,684,.750,282,979,434,176,93,331,426
135,Purdue-Fort Wayne,29,17,12,.586,-3.26,-2.79,9,5,11,3,6,9,2424,2268,,1170,878,1821,.482,319,841,.379,349,504,.692,248,1006,475,214,130,348,443
136,IUPUI,29,16,13,.552,-1.56,-3.15,8,8,10,4,3,9,2230,2119,,1160,784,1728,.454,205,601,.341,457,652,.701,365,1092,422,205,91,406,518
137,Jackson State,27,10,17,.370,-14.72,-7.60,7,7,7,3,2,13,1663,1816,,1085,606,1520,.399,133,492,.270,318,510,.624,287,953,294,172,105,384,550
138,Jacksonville State,29,21,8,.724,1.40,-5.41,13,3,11,1,8,7,2226,1970,,1175,821,1803,.455,167,541,.309,417,561,.743,353,1161,384,220,127,388,470
139,Jacksonville,29,12,17,.414,-7.39,-4.62,5,9,5,7,6,9,2198,2184,,1165,816,1783,.458,195,579,.337,371,545,.681,303,1068,422,192,157,429,480
140,James Madison,29,13,16,.448,-7.58,-3.47,6,10,8,4,4,11,2057,2117,,1190,722,1631,.443,216,600,.360,397,545,.728,303,996,357,183,95,377,543
141,Kansas State,27,21,6,.778,15.20,8.01,11,3,11,2,6,4,1796,1602,,1080,648,1482,.437,190,559,.340,310,469,.661,254,914,375,200,54,314,442
142,Kansas,27,20,7,.741,18.58,12.84,9,5,14,0,2,7,2062,1907,,1095,748,1585,.472,203,559,.363,363,527,.689,266,1004,366,188,100,363,470
143,Kennesaw State,29,5,24,.172,-16.77,-1.10,2,12,5,8,0,13,1817,2211,,1165,660,1757,.376,117,384,.305,380,545,.697,339,1065,322,171,101,403,477
144,Kent State,27,19,8,.704,1.98,0.94,8,6,12,3,7,5,2030,1960,,1090,706,1624,.435,211,616,.343,407,562,.724,315,956,359,186,100,319,490
145,Kentucky,27,23,4,.852,22.81,9.43,12,2,15,1,7,1,2113,1752,,1085,735,1532,.480,170,473,.359,473,633,.747,328,1051,379,172,133,345,429
146,La Salle,26,8,18,.308,-2.88,1.62,6,8,3,9,3,6,1782,1899,,1040,616,1517,.406,218,649,.336,332,435,.763,272,877,327,205,76,370,540
147,Lafayette,27,10,17,.370,-11.11,-4.65,7,9,4,8,6,8,1983,2110,,1100,727,1624,.448,252,660,.382,277,370,.749,216,904,382,145,114,369,456
148,Lamar,28,16,12,.571,-6.92,-5.96,9,6,10,2,6,10,2170,1955,,1140,746,1660,.449,175,544,.322,503,734,.685,382,1076,390,250,83,419,524
149,Lehigh,27,18,9,.667,-0.86,-4.12,11,5,10,2,8,6,2176,2088,,1090,760,1553,.489,264,602,.439,392,512,.766,195,960,425,147,56,357,485
150,Liberty,29,23,6,.793,4.94,-4.91,12,2,13,1,9,3,2166,1767,,1160,792,1620,.489,269,730,.368,313,410,.763,234,961,441,198,81,328,445
151,Lipscomb,27,21,6,.778,9.48,-2.44,12,2,11,2,10,4,2270,1857,,1080,787,1640,.480,229,625,.366,467,621,.752,255,1031,467,213,74,369,476
152,Long Beach State,29,11,18,.379,-4.97,0.69,5,8,7,5,3,12,2177,2237,,1175,747,1747,.428,191,549,.348,492,718,.685,332,1103,350,183,93,429,540
153,Long Island University,28,13,15,.464,-9.77,-8.18,7,9,6,5,6,8,2073,2083,,1125,715,1629,.439,229,691,.331,414,588,.704,283,1048,373,192,135,425,538
154,Longwood,30,15,15,.500,-9.23,-7.56,5,10,9,5,5,9,2110,2100,,1215,700,1644,.426,291,835,.349,419,567,.739,254,1068,349,184,66,435,546
155,Louisiana,27,16,11,.593,-1.79,-0.71,7,7,9,3,5,7,2213,2186,,1085,759,1711,.444,244,700,.349,451,599,.753,306,959,401,197,108,364,518
156,Louisiana-Monroe,26,14,12,.538,0.59,-1.37,7,7,11,1,3,11,2025,1934,,1050,670,1503,.446,251,649,.387,434,550,.789,245,880,353,158,57,298,410
157,Louisiana State,27,22,5,.815,16.96,8.37,12,2,13,2,7,1,2232,2000,,1110,770,1648,.467,189,579,.326,503,661,.761,355,1021,358,252,119,366,497
158,Louisiana Tech,28,18,10,.643,2.35,-2.12,8,7,15,0,3,9,2046,1880,,1135,724,1648,.439,208,642,.324,390,596,.654,313,1041,381,159,105,328,444
159,Louisville,28,18,10,.643,18.73,11.19,9,6,13,4,5,4,2113,1902,,1140,700,1590,.440,249,698,.357,464,602,.771,274,1035,381,137,82,357,486
160,Loyola (IL),29,17,12,.586,4.46,0.14,10,6,12,4,4,5,1915,1766,,1160,709,1429,.496,174,476,.366,323,485,.666,159,858,396,188,69,351,398
