,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
52,Illinois,Big Ten,,10,17,73.9,74.7,-0.85,,11.88,,9.22,1.81,11.02,110.93,95.06,15.87
53,Miami (FL),ACC,,12,14,72.5,70.1,2.35,,8.58,,4.34,6.58,10.92,111.04,95.76,15.28
54,St. John's (NY),Big East,,20,8,78.5,73.3,5.25,,5.57,,9.32,1.50,10.82,110.86,95.73,15.13
55,Arkansas,SEC,,14,13,76.3,73.9,2.33,,8.39,,8.36,2.37,10.72,109.11,94.09,15.02
56,Northwestern,Big Ten,,12,15,66.2,64.6,1.59,,9.06,,0.19,10.46,10.65,105.66,90.20,15.46
57,Alabama,SEC,,16,11,73.5,71.8,1.70,,8.80,,5.97,4.54,10.51,110.42,95.66,14.76
58,San Francisco,WCC,,21,7,76.0,66.0,10.00,,1.38,,3.52,6.98,10.50,111.50,95.81,15.70
59,Seton Hall,Big East,,16,11,73.7,71.6,2.15,,8.30,,6.21,4.24,10.45,109.52,94.29,15.24
60,Arizona,Pac-12,,16,12,72.1,68.2,3.89,,6.21,,2.12,7.98,10.10,107.34,93.03,14.31
61,Dayton,A-10,,18,9,73.6,67.2,6.41,,3.55,,4.00,5.96,9.96,113.10,98.31,14.79
62,Fresno State,MWC,,19,8,75.7,67.1,8.59,,1.88,,3.60,6.12,9.72,109.15,95.05,14.10
63,Oregon,Pac-12,,15,12,70.0,65.5,4.52,,5.17,,-0.39,10.08,9.69,108.44,93.71,14.72
64,New Mexico State,WAC,,24,4,77.2,65.3,11.93,,-0.71,,3.50,6.14,9.63,112.42,97.99,14.42
65,Memphis,AAC,,17,11,82.3,76.8,5.54,,4.02,,13.12,-3.56,9.55,110.56,97.41,13.15
66,Lipscomb,A-Sun,,21,6,84.1,68.8,15.30,,-2.44,,8.86,0.62,9.48,108.27,94.81,13.46
67,Rutgers,Big Ten,,13,14,67.4,68.0,-0.63,,9.94,,1.45,7.86,9.31,105.64,92.24,13.40
68,Pittsburgh,ACC,,12,15,72.3,68.9,3.37,,5.91,,2.72,6.56,9.28,106.27,93.14,13.13
69,Notre Dame,ACC,,13,14,70.3,69.1,1.15,,7.90,,2.48,6.58,9.05,110.74,97.85,12.89
70,Colorado,Pac-12,,16,11,74.3,68.7,5.63,,3.37,,3.63,5.37,9.00,107.70,95.13,12.56
71,Southern California,Pac-12,,15,13,76.3,71.9,4.39,,4.50,,7.08,1.81,8.89,109.15,96.41,12.74
72,Xavier,Big East,,15,13,71.8,70.9,0.89,,7.97,,2.81,6.05,8.86,111.53,98.74,12.79
73,Toledo,MAC (West),,21,6,77.7,68.3,9.41,,0.58,,4.02,4.75,8.77,108.36,95.11,13.25
74,Oregon State,Pac-12,,17,9,73.6,68.7,4.88,,3.75,,3.53,5.10,8.63,110.77,98.23,12.54
75,Temple,AAC,,20,7,74.9,70.9,4.04,,4.54,,5.75,2.84,8.58,109.27,96.87,12.40
76,Georgetown,Big East,,16,11,81.0,77.9,3.07,,5.43,,11.86,-3.36,8.50,110.30,98.84,11.46
77,UCLA,Pac-12,,15,13,78.1,76.4,1.71,,6.65,,9.28,-0.92,8.36,109.49,97.46,12.03
78,Murray State,OVC,,23,4,83.9,67.7,16.19,,-5.21,,6.04,2.31,8.35,112.19,99.59,12.59
79,Texas A&M,SEC,,12,14,72.2,72.3,-0.12,,8.37,,3.70,4.56,8.26,108.37,96.44,11.94
80,Connecticut,AAC,,13,14,75.4,71.2,4.15,,3.93,,6.35,1.73,8.08,108.79,97.30,11.49
81,South Carolina,SEC,,14,13,74.1,74.0,0.15,,9.87,,6.82,1.24,8.07,107.23,95.63,11.59
82,Furman,Southern,,22,6,78.0,65.5,12.46,,-1.54,,1.83,6.15,7.98,105.93,94.21,11.72
83,Belmont,OVC,,23,4,87.6,74.6,13.07,,-3.55,,11.59,-3.64,7.95,113.99,102.62,11.37
84,Providence,Big East,,15,13,71.0,69.5,1.46,,6.34,,1.33,6.47,7.80,105.25,94.02,11.23
85,Missouri,SEC,,12,14,67.3,68.6,-1.31,,9.02,,-0.50,8.21,7.71,107.18,95.65,11.53
86,Georgia Tech,ACC,,12,16,65.2,65.4,-0.25,,7.93,,-2.36,10.04,7.68,100.83,90.06,10.76
87,Davidson,A-10,,20,7,71.5,65.4,6.07,,2.43,,0.11,7.33,7.43,108.01,96.71,11.30
88,Brigham Young,WCC,,18,12,79.4,76.1,3.33,,3.69,,9.74,-2.71,7.03,111.72,101.28,10.43
89,Oklahoma State,Big 12,,10,17,67.0,71.0,-4.04,,11.02,,1.28,5.70,6.98,108.47,99.31,9.17
90,East Tennessee State,Southern,,22,8,79.7,68.3,11.40,,-1.49,,2.63,4.09,6.73,108.66,98.64,10.02
91,South Dakota State,Summit,,23,7,85.1,73.4,11.77,,-4.69,,9.31,-2.62,6.69,112.06,102.91,9.15
92,Boston College,ACC,,13,13,71.9,72.5,-0.58,,7.14,,4.46,2.09,6.56,109.00,99.53,9.47
93,Grand Canyon,WAC,,16,10,75.5,66.9,8.62,,-2.07,,2.18,4.36,6.55,107.02,97.71,9.31
94,Georgia,SEC,,10,17,73.8,75.2,-1.41,,7.84,,4.46,1.98,6.44,107.33,98.49,8.84
95,Utah,Pac-12,,15,12,76.0,74.8,1.19,,5.19,,6.86,-0.48,6.38,114.52,105.73,8.79
96,South Florida,AAC,,18,9,73.0,66.0,7.04,,0.62,,-0.28,6.63,6.35,101.77,92.34,9.43
97,Vanderbilt,SEC,,9,18,70.7,72.1,-1.41,,7.74,,2.19,4.15,6.33,104.99,96.48,8.51
98,DePaul,Big East,,13,12,75.5,73.8,1.68,,4.49,,6.09,0.08,6.17,109.59,100.91,8.68
99,Wichita State,AAC,,13,13,70.4,70.5,-0.12,,6.24,,1.93,4.19,6.12,105.99,96.75,9.24
100,San Diego,WCC,,17,12,72.3,68.5,3.79,,3.87,,1.75,4.33,6.09,106.62,97.65,8.97
101,Akron,MAC (East),,15,12,69.5,62.6,6.93,,0.37,,-4.15,10.12,5.97,99.91,91.19,8.72
102,Yale,Ivy,,18,5,81.0,72.9,8.09,,-1.36,,7.25,-1.47,5.78,107.30,99.17,8.12
103,Bowling Green State,MAC (East),,19,8,79.2,71.4,7.85,,-0.27,,4.87,0.78,5.65,106.83,98.78,8.06
104,Stanford,Pac-12,,14,13,72.8,73.0,-0.26,,5.87,,3.00,2.61,5.61,104.74,97.06,7.68
105,Hofstra,CAA,,23,6,84.2,72.4,11.79,,-4.73,,9.36,-3.77,5.59,115.79,106.97,8.82
106,San Diego State,MWC,,18,9,73.6,67.9,5.70,,1.63,,0.56,4.95,5.52,106.54,99.21,7.32
107,Southern Methodist,AAC,,13,13,72.9,70.1,2.81,,2.67,,2.29,3.19,5.48,112.28,103.83,8.45
108,West Virginia,Big 12,,10,17,70.8,75.3,-4.52,,9.98,,4.99,0.47,5.46,107.60,99.19,8.41
109,Liberty,A-Sun,,23,6,74.7,60.9,13.76,,-4.91,,-3.36,8.30,4.94,108.23,98.99,9.24
110,Old Dominion,CUSA,,22,6,68.0,61.0,7.00,,-2.06,,-4.01,8.95,4.94,103.03,94.83,8.21
111,Northern Kentucky,Horizon,,21,8,79.3,68.4,10.86,,-2.90,,3.87,1.04,4.91,108.59,101.34,7.25
112,Tulsa,AAC,,16,12,71.6,71.0,0.57,,4.29,,2.81,2.06,4.86,105.74,98.40,7.33
113,Ball State,MAC (West),,14,13,77.1,72.2,4.85,,1.52,,4.40,0.40,4.79,105.17,98.21,6.96
114,Vermont,AEC,,22,6,74.5,64.4,10.11,,-3.48,,0.36,4.20,4.56,107.37,100.01,7.36
115,Loyola (IL),MVC,,17,12,66.0,60.9,5.14,,0.14,,-5.44,9.89,4.46,104.88,97.94,6.95
116,UC-Irvine,Big West,,23,5,71.2,64.3,6.89,,-1.43,,-1.75,6.21,4.46,102.58,95.24,7.34
117,Georgia Southern,Sun Belt,,18,10,83.6,76.0,7.54,,0.97,,9.22,-4.94,4.28,107.87,101.52,6.35
118,Northeastern,CAA,,18,10,75.5,71.0,4.46,,-0.45,,3.19,0.83,4.02,109.73,103.55,6.18
119,Saint Louis,A-10,,17,10,66.7,64.0,2.74,,1.26,,-4.18,8.18,4.00,99.42,93.13,6.29
120,Boise State,MWC,,11,16,71.6,68.3,3.37,,1.13,,1.18,2.68,3.86,107.70,101.68,6.02
121,Wright State,Horizon,,18,11,74.4,68.0,6.41,,-0.98,,0.11,3.66,3.76,106.95,101.13,5.82
