,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
219,Dartmouth,Ivy,,11,15,73.7,70.7,3.00,,-2.47,,-2.06,-2.20,-4.26,103.53,108.86,-5.33
220,University of California,Pac-12,,5,22,68.7,78.9,-10.22,,5.90,,-0.96,-3.36,-4.32,104.09,110.03,-5.94
221,Gardner-Webb,Big South,,18,11,78.9,71.4,7.45,,-5.29,,0.99,-5.36,-4.37,102.82,108.63,-5.81
222,High Point,Big South,,15,13,68.3,67.3,1.04,,-3.98,,-8.88,4.24,-4.64,97.67,103.42,-5.75
223,Maryland-Baltimore County,AEC,,18,11,68.1,63.5,4.66,,-5.31,,-7.74,3.05,-4.69,94.58,100.68,-6.11
224,Hampton,Big South,,12,15,81.4,76.9,4.44,,-4.58,,5.17,-9.87,-4.70,102.11,107.92,-5.80
225,Florida Gulf Coast,A-Sun,,13,17,70.8,73.4,-2.60,,-0.93,,-2.91,-1.83,-4.75,98.57,104.70,-6.12
226,Long Beach State,Big West,,11,18,75.1,77.1,-2.07,,0.69,,1.14,-6.11,-4.97,98.50,104.64,-6.14
227,East Carolina,AAC,,10,16,67.7,72.4,-4.69,,-0.36,,-3.79,-1.27,-5.05,95.98,102.86,-6.88
228,South Dakota,Summit,,11,16,70.2,70.8,-0.63,,-2.35,,-4.73,-0.33,-5.07,98.22,104.62,-6.40
229,Holy Cross,Patriot,,15,14,67.1,68.3,-1.14,,-3.97,,-7.40,2.29,-5.11,99.88,106.84,-6.97
230,George Washington,A-10,,8,19,64.4,71.8,-7.37,,2.03,,-4.28,-1.06,-5.34,96.64,104.25,-7.60
231,Texas Southern,SWAC,,15,11,79.3,78.8,0.46,,-4.27,,4.98,-10.50,-5.52,101.75,107.89,-6.15
232,UC-Davis,Big West,,10,16,65.9,68.6,-2.65,,-0.79,,-7.41,1.74,-5.66,95.51,103.20,-7.69
233,Cornell,Ivy,,13,13,69.5,70.8,-1.31,,-1.91,,-3.89,-1.81,-5.70,97.53,105.74,-8.21
234,Rice,CUSA,,11,17,74.5,78.2,-3.71,,-0.89,,2.87,-8.57,-5.70,102.75,109.79,-7.04
235,Troy,Sun Belt,,11,15,74.3,75.6,-1.35,,-0.91,,-1.20,-4.49,-5.70,102.32,109.44,-7.13
236,Quinnipiac,MAAC,,15,12,73.6,72.0,1.59,,-7.32,,-1.60,-4.13,-5.73,100.76,108.66,-7.90
237,Middle Tennessee,CUSA,,9,19,67.9,74.1,-6.21,,2.95,,-4.36,-1.45,-5.82,97.35,104.76,-7.41
238,Missouri-Kansas City,WAC,,10,18,69.8,73.5,-3.71,,-0.69,,-4.51,-1.37,-5.88,98.70,106.57,-7.86
239,Boston University,Patriot,,13,16,72.0,71.8,0.17,,-4.77,,-3.57,-2.34,-5.91,100.29,108.11,-7.82
240,Iona,MAAC,,13,15,76.6,76.9,-0.25,,-5.66,,3.01,-8.92,-5.91,102.95,110.60,-7.65
241,Western Michigan,MAC (West),,8,19,71.3,76.7,-5.41,,1.47,,-0.86,-5.10,-5.95,98.79,106.75,-7.96
242,Detroit Mercy,Horizon,,10,18,72.6,78.6,-5.96,,-0.17,,-0.37,-5.76,-6.13,101.85,109.83,-7.98
243,Drexel,CAA,,13,16,76.6,77.0,-0.38,,-3.09,,1.58,-7.81,-6.23,104.42,112.27,-7.84
244,Columbia,Ivy,,7,17,72.7,73.0,-0.25,,-2.12,,-2.03,-4.27,-6.30,97.77,106.22,-8.45
245,Arkansas State,Sun Belt,,12,15,74.1,77.1,-2.93,,-0.94,,0.26,-6.76,-6.50,99.95,108.66,-8.71
246,Cal State Northridge,Big West,,11,17,76.7,79.8,-3.14,,-3.26,,3.39,-10.05,-6.67,103.43,112.44,-9.02
247,Texas-El Paso,CUSA,,8,18,65.4,69.8,-4.42,,-0.47,,-8.01,1.33,-6.68,90.58,99.52,-8.93
248,Citadel,Southern,,12,15,85.5,85.3,0.19,,0.68,,7.72,-14.50,-6.78,105.17,113.21,-8.04
249,Lamar,Southland,,16,12,77.5,69.8,7.68,,-5.96,,-1.88,-5.03,-6.92,98.00,106.63,-8.62
250,Fairleigh Dickinson,NEC,,15,13,75.7,73.3,2.43,,-7.14,,0.32,-7.43,-7.10,102.86,112.25,-9.38
251,Towson,CAA,,10,19,67.8,71.3,-3.48,,-2.62,,-7.17,-0.02,-7.19,97.98,108.25,-10.27
252,Siena,MAAC,,15,14,63.9,65.2,-1.31,,-5.99,,-9.71,2.41,-7.30,100.14,110.45,-10.32
253,Montana State,Big Sky,,12,14,77.8,80.0,-2.27,,-4.36,,2.28,-9.60,-7.32,103.41,113.29,-9.87
254,Youngstown State,Horizon,,12,18,75.0,78.3,-3.27,,-1.65,,-0.84,-6.48,-7.32,101.84,111.43,-9.59
255,Morehead State,OVC,,11,18,74.1,77.0,-2.90,,-1.54,,-2.54,-4.82,-7.36,100.15,109.35,-9.20
256,Jacksonville,A-Sun,,12,17,75.8,75.3,0.48,,-4.62,,-0.91,-6.49,-7.39,96.51,106.19,-9.68
257,Chattanooga,Southern,,12,17,72.4,74.4,-1.97,,-1.51,,-3.74,-3.73,-7.47,100.54,109.99,-9.44
258,Massachusetts-Lowell,AEC,,14,15,77.9,76.1,1.79,,-6.64,,2.44,-9.97,-7.53,101.96,112.26,-10.30
259,Houston Baptist,Southland,,10,15,81.5,81.6,-0.12,,-3.59,,5.03,-12.57,-7.54,99.91,109.87,-9.96
260,James Madison,CAA,,13,16,70.9,73.0,-2.07,,-3.47,,-4.60,-2.98,-7.58,99.16,109.84,-10.68
261,North Carolina-Wilmington,CAA,,9,21,76.7,81.1,-4.40,,-1.68,,1.66,-9.24,-7.58,103.88,114.08,-10.21
262,Texas A&M-Corpus Christi,Southland,,11,16,66.7,66.2,0.48,,-3.91,,-9.76,2.16,-7.61,93.90,104.22,-10.32
263,Eastern Kentucky,OVC,,12,17,82.9,83.4,-0.55,,-2.34,,6.13,-13.81,-7.68,96.92,105.62,-8.70
264,Army,Patriot,,12,17,71.0,72.4,-1.41,,-4.41,,-4.78,-2.91,-7.69,94.40,104.38,-9.98
265,Tulane,AAC,,4,22,66.6,77.3,-10.73,,2.89,,-4.40,-3.44,-7.84,94.30,104.62,-10.33
266,New Orleans,Southland,,16,10,72.0,68.6,3.46,,-6.11,,-5.95,-1.92,-7.88,93.07,103.43,-10.36
267,Delaware,CAA,,16,13,71.0,70.9,0.10,,-5.50,,-4.74,-3.17,-7.91,101.59,112.29,-10.70
268,Southeastern Louisiana,Southland,,14,14,66.6,68.0,-1.32,,-5.19,,-9.50,1.50,-8.00,94.56,105.09,-10.53
269,Cleveland State,Horizon,,9,21,73.7,78.6,-4.87,,-1.01,,-1.23,-6.77,-8.01,99.59,110.16,-10.57
270,Sacred Heart,NEC,,13,16,79.8,79.0,0.83,,-7.37,,2.62,-10.63,-8.01,100.16,110.86,-10.69
271,Canisius,MAAC,,13,15,70.4,74.6,-4.29,,-3.78,,-3.06,-5.01,-8.07,98.41,109.51,-11.10
272,Saint Francis (PA),NEC,,15,12,76.4,75.6,0.81,,-5.57,,-1.93,-6.24,-8.17,100.29,111.29,-11.00
273,Eastern Washington,Big Sky,,11,16,71.7,75.9,-4.22,,-3.14,,-3.31,-4.94,-8.25,97.05,108.55,-11.51
274,Marist,MAAC,,12,16,68.2,69.4,-1.14,,-7.11,,-6.89,-1.37,-8.25,99.11,110.44,-11.33
275,Norfolk State,MEAC,,17,11,74.0,69.8,4.18,,-7.94,,-3.53,-4.78,-8.30,96.60,107.52,-10.92
276,Sacramento State,Big Sky,,12,13,70.6,68.5,2.08,,-6.25,,-7.32,-1.02,-8.34,93.28,104.59,-11.31
277,North Dakota,Summit,,11,16,73.8,72.4,1.41,,-3.04,,-4.88,-3.46,-8.35,94.28,105.30,-11.02
278,Charlotte,CUSA,,6,20,60.0,68.7,-8.65,,0.17,,-11.17,2.69,-8.48,93.23,105.38,-12.14
279,Western Carolina,Southern,,7,23,71.6,79.5,-7.97,,1.08,,-1.54,-6.97,-8.51,98.13,109.31,-11.18
280,Albany (NY),AEC,,11,17,67.3,69.7,-2.39,,-5.69,,-6.86,-1.94,-8.80,94.82,107.24,-12.42
281,Robert Morris,NEC,,15,14,69.6,67.6,2.00,,-7.10,,-9.76,0.96,-8.80,90.99,102.54,-11.55
282,Loyola (MD),Patriot,,10,19,72.7,77.7,-5.03,,-4.03,,-2.15,-6.91,-9.06,97.95,109.99,-12.04
283,Prairie View,SWAC,,14,12,73.3,74.8,-1.54,,-6.83,,-1.65,-7.42,-9.07,97.07,108.61,-11.55
284,Milwaukee,Horizon,,9,20,70.0,75.3,-5.38,,-2.70,,-6.12,-2.98,-9.09,97.26,109.54,-12.29
285,Western Illinois,Summit,,9,18,71.6,72.6,-0.96,,-5.49,,-6.42,-2.79,-9.21,95.10,107.63,-12.54
286,Longwood,Big South,,15,15,70.3,70.0,0.33,,-7.56,,-6.50,-2.73,-9.23,94.87,107.59,-12.72
287,Stephen F. Austin,Southland,,14,12,70.7,71.1,-0.42,,-5.29,,-5.07,-4.17,-9.24,93.60,106.06,-12.46
288,Oral Roberts,Summit,,10,20,71.9,77.2,-5.33,,-1.61,,-3.72,-5.54,-9.26,99.52,112.17,-12.65
289,Portland State,Big Sky,,13,14,78.0,75.6,2.41,,-5.19,,-1.15,-8.12,-9.27,97.88,110.27,-12.39
290,Southern Utah,Big Sky,,14,12,76.8,75.8,1.00,,-6.49,,-2.80,-6.48,-9.28,94.50,106.82,-12.32
291,St. Francis (NY),NEC,,16,13,71.1,70.0,1.10,,-7.61,,-7.19,-2.16,-9.35,92.52,105.47,-12.95
292,Grambling,SWAC,,13,14,71.1,68.9,2.26,,-7.86,,-6.61,-2.95,-9.57,90.09,102.69,-12.60
293,Long Island University,NEC,,13,15,74.0,74.4,-0.36,,-8.18,,-2.08,-7.69,-9.77,95.05,108.52,-13.47
294,Fairfield,MAAC,,8,20,68.1,71.6,-3.43,,-6.51,,-5.76,-4.17,-9.94,94.69,108.54,-13.85
295,Portland,WCC,,7,22,66.2,75.1,-8.90,,0.57,,-6.50,-3.52,-10.02,94.39,108.07,-13.69
296,Wyoming,MWC,,6,21,64.3,75.2,-10.89,,1.25,,-7.30,-2.84,-10.14,91.91,105.49,-13.59
297,Tennessee-Martin,OVC,,10,17,75.5,78.9,-3.33,,-4.23,,-1.35,-8.96,-10.31,101.30,114.56,-13.26
298,UC-Riverside,Big West,,9,19,66.6,69.2,-2.57,,-3.10,,-8.64,-1.82,-10.46,98.08,113.38,-15.30
299,Bethune-Cookman,MEAC,,13,15,73.8,71.6,2.11,,-8.67,,-4.93,-5.70,-10.63,91.92,105.85,-13.93
300,Northern Arizona,Big Sky,,9,18,73.2,77.9,-4.67,,-6.01,,-2.71,-7.97,-10.68,98.48,113.11,-14.63
301,Tennessee State,OVC,,9,19,72.2,76.9,-4.64,,-2.42,,-5.06,-5.70,-10.76,96.12,109.42,-13.30
302,Wagner,NEC,,13,14,66.5,67.0,-0.44,,-7.19,,-13.12,2.25,-10.87,90.60,105.71,-15.11
303,Monmouth,MAAC,,10,20,63.9,71.1,-7.17,,-3.73,,-10.17,-0.72,-10.90,88.64,103.58,-14.95
304,North Carolina Central,MEAC,,14,14,72.9,67.3,5.57,,-10.38,,-8.39,-2.63,-11.02,94.56,109.36,-14.80
305,Niagara,MAAC,,12,17,72.2,75.9,-3.62,,-7.41,,-1.70,-9.33,-11.03,98.71,114.20,-15.49
306,Navy,Patriot,,9,18,66.2,73.6,-7.37,,-3.73,,-7.96,-3.14,-11.10,93.18,108.22,-15.04
307,Lafayette,Patriot,,10,17,73.4,78.1,-4.70,,-4.65,,-2.11,-9.00,-11.11,98.64,113.50,-14.86
308,Eastern Illinois,OVC,,14,15,72.0,76.8,-4.83,,-4.61,,-4.76,-6.74,-11.50,97.72,113.05,-15.32
309,VMI,Southern,,8,20,75.0,81.6,-6.64,,0.80,,0.38,-11.94,-11.56,98.56,113.58,-15.01
310,Nicholls State,Southland,,12,15,72.7,74.6,-1.93,,-5.48,,-4.81,-6.84,-11.65,95.14,110.88,-15.75
311,North Alabama,A-Sun,,9,20,66.7,73.8,-7.07,,-1.67,,-7.57,-4.18,-11.75,92.27,107.72,-15.45
312,Southeast Missouri State,OVC,,9,20,71.1,76.6,-5.48,,-4.49,,-5.61,-6.21,-11.82,94.12,109.96,-15.85
313,Idaho State,Big Sky,,9,16,73.8,78.8,-5.00,,-3.72,,-3.03,-8.87,-11.90,101.06,117.52,-16.46
314,North Carolina A&T,MEAC,,15,12,70.2,70.9,-0.63,,-8.53,,-7.88,-4.24,-12.13,94.00,110.38,-16.38
315,Saint Peter's,MAAC,,8,20,62.4,68.8,-6.36,,-5.82,,-12.02,-0.16,-12.18,91.47,108.58,-17.12
316,Howard,MEAC,,13,15,78.9,78.4,0.54,,-8.66,,-0.19,-12.23,-12.42,98.53,114.30,-15.76
317,Central Connecticut State,NEC,,11,18,72.1,76.3,-4.17,,-6.12,,-3.14,-9.31,-12.45,95.90,113.27,-17.37
318,Elon,CAA,,9,20,69.7,76.8,-7.14,,-2.57,,-5.90,-6.56,-12.46,94.83,111.93,-17.10
319,Cal Poly,Big West,,6,19,64.6,72.0,-7.40,,-3.32,,-8.88,-3.70,-12.58,92.69,110.65,-17.97
320,Central Arkansas,Southland,,10,17,71.7,76.9,-5.11,,-3.41,,-2.72,-9.85,-12.58,94.94,111.33,-16.39
321,Denver,Summit,,7,21,69.1,78.1,-8.96,,-2.39,,-5.44,-7.14,-12.58,97.58,115.02,-17.44
322,Manhattan,MAAC,,9,19,57.0,63.2,-6.21,,-6.51,,-17.49,4.76,-12.72,86.43,104.92,-18.49
323,McNeese State,Southland,,8,19,70.1,74.1,-4.00,,-5.17,,-6.01,-6.86,-12.87,97.43,115.44,-18.01
324,Florida A&M,MEAC,,11,18,62.8,66.8,-4.03,,-7.69,,-14.51,1.41,-13.10,87.71,105.74,-18.04
325,Alabama State,SWAC,,10,14,67.9,70.8,-2.96,,-6.57,,-8.54,-4.72,-13.26,91.20,109.14,-17.94
326,Maine,AEC,,5,23,62.8,70.9,-8.14,,-2.80,,-10.66,-2.63,-13.28,91.29,111.03,-19.74
327,Binghamton,AEC,,8,20,64.5,71.1,-6.61,,-4.36,,-11.29,-2.57,-13.86,90.92,110.81,-19.90
328,Morgan State,MEAC,,8,17,72.0,77.2,-5.12,,-8.25,,-4.31,-9.73,-14.03,89.70,108.06,-18.36
329,SIU Edwardsville,OVC,,9,19,73.2,81.5,-8.36,,-4.57,,-3.58,-10.68,-14.26,94.06,113.18,-19.12
330,Mount St. Mary's,NEC,,8,21,67.6,74.1,-6.55,,-5.23,,-9.45,-4.82,-14.27,91.64,110.86,-19.23
331,Bryant,NEC,,10,17,70.1,77.5,-7.33,,-7.13,,-5.13,-9.34,-14.47,96.89,116.26,-19.37
332,South Carolina Upstate,Big South,,6,23,68.0,74.0,-6.00,,-4.23,,-8.79,-5.75,-14.54,90.31,110.34,-20.03
333,Stetson,A-Sun,,7,22,69.0,78.2,-9.21,,-2.66,,-5.19,-9.47,-14.66,94.80,113.67,-18.87
334,Tennessee Tech,OVC,,7,22,68.0,76.4,-8.41,,-2.10,,-11.76,-2.90,-14.66,87.26,106.52,-19.26
335,Jackson State,SWAC,,10,17,61.6,67.3,-5.67,,-7.60,,-14.89,0.17,-14.72,85.74,105.38,-19.64
336,San Jose State,MWC,,3,23,65.0,80.0,-15.00,,1.14,,-7.88,-7.26,-15.14,90.59,111.23,-20.64
337,Arkansas-Pine Bluff,SWAC,,11,16,66.5,73.4,-6.93,,-6.71,,-8.23,-6.95,-15.17,91.59,112.14,-20.55
338,Northwestern State,Southland,,10,17,66.9,74.0,-7.15,,-4.43,,-9.92,-5.93,-15.85,87.39,108.64,-21.25
339,South Carolina State,MEAC,,7,22,69.2,75.9,-6.66,,-6.64,,-7.88,-8.46,-16.34,93.14,115.44,-22.30
340,Kennesaw State,A-Sun,,5,24,62.7,76.2,-13.59,,-1.10,,-11.69,-5.08,-16.77,86.94,109.34,-22.40
341,Southern,SWAC,,5,22,64.7,75.0,-10.26,,-6.13,,-10.34,-6.78,-17.13,90.40,113.87,-23.47
342,Incarnate Word,Southland,,6,21,64.8,74.6,-9.81,,-3.95,,-10.31,-7.86,-18.17,93.08,118.74,-25.65
343,North Carolina-Asheville,Big South,,4,24,59.9,73.3,-13.39,,-1.93,,-16.69,-1.56,-18.25,87.94,114.53,-26.59
344,Coppin State,MEAC,,6,22,63.5,76.5,-13.07,,-5.32,,-10.80,-7.59,-18.39,85.04,110.05,-25.01
345,Alabama A&M,SWAC,,5,22,61.2,72.4,-11.19,,-7.44,,-14.24,-4.39,-18.63,85.31,111.22,-25.91
346,Idaho,Big Sky,,4,23,67.3,76.5,-9.19,,-5.34,,-10.97,-7.95,-18.92,91.94,119.41,-27.47
347,New Hampshire,AEC,,3,23,60.3,70.1,-9.85,,-4.89,,-17.56,-1.87,-19.43,81.14,109.28,-28.14
348,Savannah State,MEAC,,10,17,76.6,88.6,-11.96,,-7.23,,1.25,-21.29,-20.04,92.87,117.59,-24.71
349,Alcorn State,SWAC,,9,17,64.8,69.0,-4.19,,-8.12,,-15.28,-4.84,-20.12,85.32,113.17,-27.85
350,Mississippi Valley State,SWAC,,5,23,63.8,77.9,-14.11,,-5.91,,-11.19,-10.82,-22.02,86.08,115.90,-29.82
351,Maryland-Eastern Shore,MEAC,,5,24,56.2,72.1,-15.86,,-5.90,,-20.55,-3.53,-24.09,81.66,117.12,-35.47
352,Chicago State,WAC,,3,25,61.6,84.8,-23.18,,0.95,,-11.00,-13.98,-24.98,85.27,119.11,-33.85
353,Delaware State,MEAC,,4,21,62.8,78.0,-15.16,,-8.06,,-15.37,-12.17,-27.54,80.01,116.60,-36.59
