,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
84,Western Kentucky,Sun Belt,,27,4,80.4,69.4,11.00,,-2.29,,6.11,1.84,7.94,,,
85,Montana,Big Sky,,21,9,77.9,71.2,6.73,,3.20,,4.23,3.13,7.36,,,
86,Wyoming,WAC,,13,15,67.0,65.1,1.89,,6.89,,-4.61,11.50,6.89,,,
87,George Washington,A-10,,18,14,75.2,75.3,-0.03,,6.82,,5.41,1.39,6.79,,,
88,Washington,Pac-10,,9,18,66.9,70.7,-3.85,,10.34,,-3.85,10.38,6.53,,,
89,New Mexico,WAC,,15,15,75.3,72.1,3.17,,5.25,,3.60,2.83,6.43,,,
90,Rutgers,A-10,,13,15,73.0,71.6,1.36,,4.89,,3.48,2.77,6.24,,,
91,Oregon State,Pac-10,,9,18,75.6,80.0,-4.41,,10.44,,5.73,0.31,6.04,,,
92,Louisiana State,SEC (West),,12,15,79.7,81.1,-1.48,,7.46,,8.40,-2.43,5.97,,,
93,Drexel,NAC,,22,8,75.4,66.0,9.37,,-3.69,,1.73,3.95,5.68,,,
94,Pittsburgh,Big East,,10,18,72.0,75.0,-3.07,,8.62,,1.02,4.53,5.55,,,
95,Nevada,Big West,,18,11,77.1,74.4,2.69,,2.85,,4.67,0.87,5.54,,,
96,Tennessee,SEC (East),,11,16,60.2,63.4,-3.19,,8.61,,-9.23,14.69,5.46,,,
97,Ball State,MAC,,19,11,77.8,72.8,5.03,,2.55,,5.76,-0.46,5.30,,,
98,Eastern Michigan,MAC,,20,10,74.6,70.8,3.87,,1.98,,3.88,1.28,5.16,,,
99,Long Beach State,Big West,,20,10,72.4,69.9,2.50,,3.64,,-1.75,6.59,4.84,,,
100,Green Bay,MW Coll,,22,8,65.0,58.9,6.13,,-1.36,,-10.28,15.05,4.78,,,
101,Missouri State,MVC,,16,11,67.7,63.2,4.44,,0.16,,-5.33,9.93,4.60,,,
102,Idaho State,Big Sky,,18,10,80.3,72.0,8.32,,0.20,,5.72,-1.14,4.57,,,
103,West Virginia,A-10,,13,13,77.3,77.3,0.00,,6.52,,6.45,-1.93,4.52,,,
104,Saint Mary's (CA),WCC,,18,10,71.3,66.8,4.50,,-0.05,,-3.27,7.69,4.42,,,
105,Boise State,Big Sky,,17,10,71.7,66.9,4.78,,-0.45,,-0.99,5.39,4.40,,,
106,Kansas State,Big 8,,12,15,68.8,72.0,-3.26,,9.66,,-1.34,5.47,4.14,,,
107,Old Dominion,CAA,,21,12,77.2,74.3,2.88,,1.20,,2.97,1.11,4.08,,,
108,Illinois State,MVC,,20,13,76.1,75.2,0.94,,3.35,,6.33,-2.29,4.03,,,
109,Southern California,Pac-10,,7,21,76.4,80.9,-4.50,,8.50,,5.76,-1.76,4.00,,,
110,Virginia Commonwealth,Metro,,16,14,69.9,69.2,0.70,,3.40,,-1.74,5.35,3.61,,,
111,Alabama-Birmingham,GMWC,,14,16,71.0,70.7,0.30,,2.94,,-2.57,5.99,3.42,,,
112,Colorado State,WAC,,17,14,74.9,7.6,67.29,,3.96,,4.02,-0.63,3.39,,,
113,Portland,WCC,,21,8,76.2,69.8,6.45,,-1.37,,2.47,0.90,3.37,,,
114,Nicholls State,Southland,,24,6,90.3,78.0,12.30,,-5.18,,10.91,-7.59,3.32,,,
115,Pacific,Big West,,14,13,73.0,72.0,0.96,,2.31,,-0.46,3.73,3.27,,,
116,North Carolina-Greensboro,Big South,,23,6,75.9,64.4,11.41,,-8.49,,-0.65,3.79,3.13,,,
117,College of Charleston,TAAC,,23,6,71.6,62.7,8.83,,-5.01,,-5.43,8.42,2.99,,,
118,Notre Dame,Ind,,15,12,70.3,69.7,0.56,,2.18,,-3.00,5.81,2.81,,,
119,Toledo,MAC,,16,11,72.0,68.6,3.41,,0.32,,0.09,2.72,2.80,,,
120,Bowling Green State,MAC,,16,11,71.3,67.7,3.63,,0.88,,-1.76,4.52,2.76,,,
121,Canisius,MAAC,,21,14,69.7,68.2,1.57,,1.18,,-2.25,4.98,2.72,,,
122,South Carolina,SEC (East),,10,17,66.9,72.4,-5.48,,8.48,,-0.77,3.43,2.66,,,
123,Fresno State,WAC,,13,15,71.4,71.7,-0.25,,3.74,,0.76,1.72,2.48,,,
124,Mississippi,SEC (West),,8,19,69.6,73.0,-3.48,,5.65,,-0.53,2.70,2.17,,,
125,Miami (FL),Big East,,15,13,65.4,67.4,-2.04,,4.12,,-6.15,8.24,2.09,,,
126,UC-Santa Barbara,Big West,,13,14,72.0,70.7,1.26,,0.47,,-1.61,3.34,1.73,,,
127,Illinois-Chicago,MW Coll,,18,9,83.3,77.8,5.44,,-3.19,,9.36,-7.71,1.65,,,
128,Rhode Island,A-10,,7,20,70.2,75.3,-5.07,,6.55,,1.03,0.45,1.48,,,
129,Texas Christian,SWC,,16,11,93.7,90.2,3.48,,-1.07,,17.87,-16.90,0.97,,,
130,New Orleans,Sun Belt,,20,11,71.6,67.6,3.97,,-2.49,,-2.68,3.49,0.81,,,
131,Duquesne,A-10,,10,18,68.1,73.2,-5.04,,5.82,,-1.00,1.79,0.79,,,
132,Western Michigan,MAC,,14,13,68.6,68.4,0.26,,0.90,,-3.83,4.61,0.79,,,
133,Rice,SWC,,15,13,73.2,73.1,0.07,,0.91,,-4.22,4.94,0.73,,,
134,Nevada-Las Vegas,Big West,,12,16,76.7,78.5,-1.86,,2.57,,4.17,-3.45,0.72,,,
135,Texas Southern,SWAC,,22,7,83.1,73.4,9.72,,-8.05,,0.79,-0.10,0.69,,,
136,Boston College,Big East,,9,19,72.0,76.4,-4.36,,5.46,,0.81,-0.13,0.68,,,
137,Southern Utah,AWC,,17,11,79.6,68.8,10.75,,-7.71,,2.39,-1.89,0.50,,,
138,Northern Illinois,MW Coll,,19,10,75.2,68.3,6.93,,-5.24,,-2.15,2.26,0.12,,,
139,Wichita State,MVC,,13,14,64.4,65.9,-1.41,,2.26,,-7.64,7.55,-0.09,,,
140,UC-Irvine,Big West,,13,16,76.7,79.4,-2.66,,3.09,,4.61,-4.77,-0.16,,,
141,La Salle,MW Coll,,13,14,73.9,74.1,-0.30,,0.09,,0.57,-0.78,-0.21,,,
142,Jacksonville,Sun Belt,,18,9,76.4,73.5,2.89,,-2.77,,2.84,-3.15,-0.31,,,
143,James Madison,CAA,,16,13,78.5,74.9,3.55,,-3.62,,2.54,-2.88,-0.34,,,
144,North Carolina-Wilmington,CAA,,16,11,68.0,65.4,2.67,,-3.10,,-8.32,7.77,-0.55,,,
145,Detroit Mercy,MW Coll,,13,15,69.4,70.3,-0.89,,0.98,,-3.70,3.07,-0.64,,,
146,Marshall,Southern (North),,18,9,84.4,77.6,6.81,,-6.00,,6.56,-7.29,-0.73,,,
147,Northeastern,NAC,,18,11,72.6,70.7,1.90,,-2.77,,-2.77,1.91,-0.87,,,
148,Butler,MW Coll,,15,12,73.5,71.1,2.33,,-2.30,,-1.06,0.07,-0.99,,,
149,Loyola Marymount,WCC,,13,15,73.4,73.5,-0.07,,0.51,,0.64,-1.73,-1.09,,,
150,Idaho,Big Sky,,12,15,68.6,71.9,-3.33,,4.30,,-4.90,3.78,-1.12,,,
151,Drake,MVC,,12,15,72.9,77.1,-4.22,,3.08,,2.04,-3.19,-1.15,,,
152,Rider,NEC,,18,11,75.2,68.5,6.76,,-7.84,,-2.81,1.47,-1.34,,,
153,Little Rock,Sun Belt,,17,12,75.8,71.2,4.62,,-5.14,,-1.53,0.10,-1.43,,,
154,Chattanooga,Southern (South),,19,11,76.5,72.3,4.13,,-4.60,,-1.75,0.26,-1.49,,,
155,San Diego State,WAC,,11,17,63.3,,,,4.06,,-8.71,7.17,-1.54,,,
156,Princeton,Ivy,,16,10,63.3,57.7,5.62,,-6.18,,-12.90,11.24,-1.66,,,
157,Ohio State,Big Ten,,6,22,69.5,77.6,-8.18,,6.46,,-1.61,-0.10,-1.71,,,
158,Texas A&M,SWC,,14,16,74.0,76.6,-2.57,,1.67,,-0.50,-1.22,-1.71,,,
159,Valparaiso,Mid-Cont,,20,8,77.1,69.1,8.00,,-8.95,,-1.67,-0.09,-1.76,,,
160,Saint Peter's,MAAC,,19,11,68.3,67.1,1.17,,-2.95,,-6.86,5.08,-1.79,,,
161,East Carolina,CAA,,18,11,73.5,69.5,4.03,,-5.00,,-4.49,2.53,-1.96,,,
162,Coppin State,MEAC,,21,10,73.5,66.4,7.06,,-8.35,,-5.85,3.77,-2.08,,,
163,Texas-Rio Grande Valley,Sun Belt,,14,14,64.7,63.2,1.54,,-1.55,,-9.93,7.84,-2.09,,,
164,New Hampshire,NAC,,19,9,80.6,78.9,1.68,,-3.86,,5.94,-8.12,-2.18,,,
165,San Diego,WCC,,11,16,71.6,73.4,-1.81,,0.06,,-1.65,-0.60,-2.25,,,
166,Murray State,OVC,,21,9,86.9,77.2,9.73,,-9.10,,4.14,-6.57,-2.43,,,
167,Boston University,NAC,,15,16,65.5,66.5,-0.97,,-2.22,,-9.16,5.97,-3.19,,,
168,Fairfield,MAAC,,13,15,68.6,70.0,-1.43,,-3.38,,-6.58,3.24,-3.35,,,
169,Navy,Patriot,,20,9,12.0,67.8,-55.76,,-10.83,,-4.65,0.92,-3.72,,,
170,Stetson,TAAC,,15,12,75.6,73.3,2.37,,-6.27,,-0.96,-2.97,-3.93,,,
171,Delaware,NAC,,12,15,75.8,73.9,1.89,,-3.48,,-0.76,-3.28,-4.04,,,
172,Air Force,WAC,,8,20,67.2,72.5,-5.25,,4.95,,-4.01,-0.04,-4.05,,,
173,Charleston Southern,Big South,,19,10,74.1,72.1,2.03,,-6.51,,-1.38,-3.09,-4.47,,,
174,Western Illinois,Mid-Cont,,20,8,77.8,72.0,5.75,,-9.70,,-2.86,-1.61,-4.47,,,
175,Wright State,MW Coll,,13,17,72.2,74.3,-2.13,,-1.35,,-2.09,-2.40,-4.49,,,
176,Pepperdine,WCC,,8,19,66.3,72.2,-5.93,,1.84,,-6.74,2.12,-4.62,,,
177,San Francisco,WCC,,10,19,76.6,83.9,-7.24,,2.67,,5.10,-9.79,-4.69,,,
178,Indiana State,MVC,,7,19,72.3,76.7,-4.42,,0.83,,0.24,-5.09,-4.85,,,
179,Louisiana Tech,Sun Belt,,14,13,64.3,63.6,0.63,,-5.24,,-14.03,8.98,-5.05,,,
180,Davidson,Southern (North),,14,13,74.2,71.7,2.52,,-4.13,,-4.68,-0.40,-5.08,,,
181,Marist,NEC,,17,11,76.3,72.4,3.86,,-8.95,,-2.69,-2.41,-5.10,,,
182,Buffalo,Mid-Cont,,18,10,76.9,73.3,3.61,,-9.33,,-1.83,-3.46,-5.29,,,
183,Louisiana-Monroe,Southland,,14,18,75.2,77.3,-2.16,,-3.22,,-1.44,-3.94,-5.38,,,
184,Colgate,Patriot,,17,13,76.5,77.1,-0.57,,-4.96,,0.45,-5.87,-5.43,,,
185,Vermont,NAC,,14,13,75.8,75.7,0.07,,-5.52,,-0.71,-4.92,-5.63,,,
186,Morehead State,OVC,,15,12,76.0,73.1,2.93,,-5.33,,-3.11,-2.62,-5.73,,,
187,Monmouth,NEC,,13,14,70.7,68.3,2.44,,-8.22,,-7.78,2.01,-5.77,,,
188,Hartford,NAC,,11,16,70.1,73.1,-3.00,,-2.67,,-4.87,-0.91,-5.78,,,
189,Houston,SWC,,9,19,76.6,83.6,-6.93,,2.50,,0.33,-6.13,-5.80,,,
190,Northern Iowa,MVC,,8,20,67.9,75.5,-7.54,,2.36,,-3.76,-2.07,-5.83,,,
191,Northern Arizona,Big Sky,,8,18,67.3,72.1,-4.77,,3.34,,-6.17,0.29,-5.88,,,
192,East Tennessee State,Southern (North),,14,14,79.2,78.8,0.43,,-4.02,,1.18,-7.16,-5.98,,,
193,Baylor,SWC,,9,19,81.2,86.0,-4.86,,-0.31,,4.97,-11.03,-6.05,,,
194,Tennessee State,OVC,,17,10,77.5,74.7,2.81,,-8.11,,-1.71,-4.40,-6.11,,,
195,Cal State Fullerton,Big West,,7,20,70.9,80.0,-9.07,,2.79,,-2.23,-4.05,-6.28,,,
196,Dayton,GMWC,,7,20,66.7,77.5,-10.85,,4.29,,-3.53,-3.04,-6.56,,,
197,Iona,MAAC,,10,17,75.4,,,,-4.93,,1.79,-8.38,-6.59,,,
198,Kent State,MAC,,8,19,65.1,73.3,-8.19,,1.01,,-6.18,-0.63,-6.81,,,
199,Creighton,MVC,,7,19,61.1,71.0,-9.88,,3.06,,-10.23,3.41,-6.82,,,
200,Mercer,TAAC,,15,14,78.0,78.2,-0.24,,-5.69,,1.03,-7.87,-6.84,,,
201,Mount St. Mary's,NEC,,17,13,77.4,77.1,0.37,,-6.74,,-1.42,-5.53,-6.95,,,
202,Samford,TAAC,,16,11,74.0,70.9,3.15,,-8.26,,-4.92,-2.10,-7.02,,,
203,Richmond,CAA,,8,20,67.5,73.4,-5.93,,-1.15,,-7.45,0.40,-7.05,,,
204,Bucknell,Patriot,,13,14,69.9,68.2,1.67,,-8.88,,-9.12,1.91,-7.21,,,
205,Austin Peay,OVC,,13,16,75.6,76.2,-0.59,,-4.60,,-2.26,-4.97,-7.23,,,
206,Southern Methodist,SWC,,7,20,70.2,81.6,-11.44,,4.18,,-4.62,-2.64,-7.26,,,
207,Stephen F. Austin,Southland,,14,14,87.9,86.3,1.61,,-7.00,,6.92,-14.42,-7.50,,,
208,San Jose State,Big West,,4,23,64.2,76.0,-11.81,,4.20,,-7.40,-0.17,-7.57,,,
209,Akron,MAC,,8,18,60.2,67.8,-7.65,,0.97,,-11.35,3.76,-7.59,,,
210,Liberty,Big South,,12,16,66.9,68.8,-1.89,,-4.21,,-9.58,1.87,-7.71,,,
211,William & Mary,CAA,,8,19,70.2,75.2,-5.00,,-2.80,,-6.06,-1.74,-7.80,,,
212,Eastern Washington,Big Sky,,6,20,67.8,74.7,-6.92,,0.71,,-7.11,-0.70,-7.81,,,
213,Texas-San Antonio,Southland,,15,13,79.1,79.4,-0.29,,-6.45,,0.20,-8.07,-7.88,,,
214,Holy Cross,Patriot,,15,12,77.4,75.7,1.74,,-9.84,,-0.27,-7.83,-8.10,,,
215,Louisiana,Sun Belt,,7,22,68.5,72.6,-4.10,,-1.47,,-6.98,-1.12,-8.10,,,
216,North Texas,Southland,,14,13,74.4,71.8,2.63,,-7.81,,-5.74,-2.69,-8.43,,,
217,Hofstra,NAC,,10,18,70.6,74.0,-3.43,,-4.54,,-4.57,-3.90,-8.47,,,
218,Western Carolina,Southern (South),,14,14,75.1,77.3,-2.14,,-2.86,,-1.25,-7.28,-8.53,,,
219,Furman,Southern (South),,10,17,67.4,69.0,-1.56,,-5.03,,-8.91,0.34,-8.57,,,
220,Cleveland State,MW Coll,,10,17,73.8,78.3,-4.52,,-2.51,,-2.30,-6.29,-8.59,,,
221,Towson,Big South,,12,15,74.4,79.0,-4.59,,-4.10,,-0.53,-8.16,-8.69,,,
222,Siena,MAAC,,8,19,70.7,74.0,-3.37,,-5.36,,-4.96,-3.76,-8.73,,,
223,Youngstown State,Mid-Cont,,18,10,69.7,65.8,3.89,,-10.66,,-11.69,2.96,-8.74,,,
224,North Carolina-Asheville,Big South,,11,16,68.4,70.4,-2.00,,-4.86,,-9.85,0.91,-8.94,,,
225,Eastern Illinois,Mid-Cont,,16,13,73.9,70.4,3.41,,-9.66,,-5.60,-3.53,-9.12,,,
226,Jackson State,SWAC,,12,19,77.1,79.9,-2.81,,-5.81,,-3.34,-5.79,-9.14,,,
227,Maryland-Baltimore County,Big South,,13,14,66.2,68.1,-1.89,,-6.23,,-10.79,1.60,-9.19,,,
228,American,CAA,,9,19,74.6,81.4,-6.82,,-2.50,,-0.97,-8.36,-9.32,,,
229,Fairleigh Dickinson,NEC,,16,12,73.5,74.4,-0.86,,-8.46,,-4.33,-4.98,-9.32,,,
230,Maine,NAC,,11,16,68.9,73.6,-4.74,,-4.30,,-6.68,-2.77,-9.45,,,
231,Central Florida,TAAC,,11,16,75.4,77.9,-2.48,,-6.58,,-1.49,-8.02,-9.51,,,
232,Brown,Ivy,,13,13,67.8,70.8,-2.92,,-6.64,,-7.68,-1.88,-9.56,,,
233,Loyola (MD),MAAC,,9,18,68.6,76.1,-7.52,,-2.08,,-5.06,-4.58,-9.63,,,
234,Southeastern Louisiana,TAAC,,12,16,82.8,83.0,-0.29,,-6.59,,2.81,-12.86,-10.06,,,
235,Southeast Missouri State,OVC,,13,14,73.0,76.7,-3.67,,-6.10,,-5.60,-4.55,-10.14,,,
236,McNeese State,Southland,,11,16,77.6,80.9,-3.26,,-7.02,,-1.24,-9.03,-10.27,,,
237,Florida International,TAAC,,11,19,67.3,72.4,-5.13,,-5.31,,-9.84,-0.67,-10.51,,,
238,Fordham,Patriot,,11,17,65.8,68.0,-2.25,,-7.40,,-12.58,1.87,-10.71,,,
239,South Alabama,Sun Belt,,9,18,84.6,91.7,-7.07,,-3.62,,11.30,-22.03,-10.73,,,
240,Appalachian State,Southern (North),,9,20,73.3,78.8,-5.52,,-2.97,,-3.84,-6.91,-10.75,,,
241,Saint Francis (PA),NEC,,12,16,71.6,73.7,-2.04,,-8.71,,-6.76,-3.99,-10.75,,,
242,Radford,Big South,,16,12,70.7,70.4,0.29,,-6.73,,-7.89,-2.88,-10.77,,,
243,Eastern Kentucky,OVC,,9,19,71.8,76.5,-4.71,,-6.11,,-6.75,-4.07,-10.82,,,
244,Mississippi Valley State,SWAC,,17,11,80.4,78.5,1.93,,-11.59,,-2.49,-8.52,-11.00,,,
245,Dartmouth,Ivy,,13,13,69.0,69.2,-0.19,,-8.94,,-9.36,-1.66,-11.02,,,
246,Cal State Northridge,AWC,,8,20,71.5,81.6,-10.07,,-1.34,,-2.84,-8.23,-11.07,,,
247,Missouri-Kansas City,Mid-Cont,,7,19,70.1,75.0,-4.85,,-6.21,,-7.84,-3.37,-11.21,,,
248,Lamar,Sun Belt,,11,16,65.7,71.1,-5.41,,-3.86,,-9.90,-1.36,-11.26,,,
249,Tennessee Tech,OVC,,13,14,76.9,78.1,-1.22,,-6.12,,-2.99,-8.59,-11.58,,,
250,Oral Roberts,Ind,,10,17,72.4,74.7,-2.26,,-3.10,,-6.69,-4.91,-11.60,,,
251,Southern,SWAC,,13,13,93.3,83.0,10.27,,-13.44,,4.19,-15.99,-11.80,,,
252,Centenary (LA),TAAC,,10,17,80.5,85.1,-4.63,,-5.94,,2.04,-13.95,-11.90,,,
253,Northwestern State,Southland,,13,14,73.9,77.4,-3.44,,-6.95,,-8.20,-3.71,-11.91,,,
254,Loyola (IL),MW Coll,,5,22,66.8,76.0,-9.26,,-1.70,,-7.95,-4.10,-12.05,,,
255,Troy,Mid-Cont,,11,16,91.4,93.0,-1.56,,-9.03,,10.59,-22.90,-12.31,,,
256,Northwestern,Big Ten,,5,22,65.4,84.0,-18.56,,6.14,,-4.26,-8.35,-12.61,,,
257,Georgia State,TAAC,,11,17,72.8,77.8,-5.07,,-7.21,,-3.89,-8.92,-12.81,,,
258,Citadel,Southern (South),,11,16,68.0,72.1,-4.11,,-5.45,,-10.69,-2.26,-12.95,,,
259,George Mason,CAA,,7,20,92.6,101.8,-9.22,,-1.81,,15.88,-28.84,-12.96,,,
