,W-L%_x,AST_x,STL_x,BLK_x,Rk_x,SOS_x,OSRS_x,DSRS_x,FTr_x,3PAr_x,TS%_x,AST%_x,TRB%_x,TOV%_x,FGA_x,W-L%_y,AST_y,STL_y,BLK_y,Rk_y,SOS_y,OSRS_y,DSRS_y,FTr_y,3PAr_y,TS%_y,AST%_y,TRB%_y,TOV%_y,FGA_y,Round,Seed_int_x,Seed_int_y,ScoreDiff
W-L%_x,1.0,0.5097345820556494,0.28814931541906397,0.2979671687057752,-0.5134953988424352,0.1940751619038455,0.462938410678182,0.3619436022939343,0.028718518260817137,-0.026953982538230538,0.4838626768949314,0.1339400441844388,0.41140286093953987,-0.30806050697374265,0.41416401432040295,-0.06550466564719491,-0.019524376101194934,0.0015312625320432894,-0.028193747617106833,0.08611744592990113,-0.06429331500456185,-0.07684529314216686,-0.034197940990132396,-0.01730973971379618,0.00423827775114151,-0.03224842739008239,-0.01970856446016754,-0.016670185284742657,0.05720104071577407,0.0006303743766869488,0.3730272133741368,-0.6378646925938893,0.10667687788681736,0.3692066562167584
AST_x,0.5097345820556494,1.0,0.4216944073246822,0.34683709277028757,-0.4641306325320266,0.35770728905494115,0.6605802999180241,0.08279666099960555,-0.1894160496227523,-0.0970413736162815,0.4793899460213565,0.5996052385242013,0.28938092713028385,-0.16762480406471733,0.6936156808905065,-0.019524376101194993,-0.013611480992869728,0.022341003765668794,-0.010048331306884406,0.0747893223535491,-0.06029934394790246,-0.048724531084977964,-0.04074700526658051,0.0010344824651731077,-0.02241241193658037,-0.026385301662536824,-0.0249941177423038,-0.023584688444470217,0.020050325601898875,0.01396457529905244,0.3796902781232405,-0.523632720488011,0.07423328538964612,0.35718310751317034
STL_x,0.28814931541906397,0.4216944073246822,1.0,0.2823082123505145,-0.18229740073948017,0.11130987959562605,0.37330036741005457,-0.031673475902215247,-0.0927303121287602,-0.06766815837131157,-0.025489929765929755,-0.023163018167445898,-0.11840410378824015,-0.08242447165698968,0.6062212755456384,0.0015312625320432916,0.022341003765668815,-0.005508946666796565,-0.012831455206357097,0.028135292332134205,-0.011375922645928105,-0.00454928935677883,-0.008219177161274877,0.013972027032443872,-0.007512180578998307,0.03263033180092715,0.015382887252218251,0.01172330500347086,0.03740415387005995,0.0019963942841050805,0.24585890009043415,-0.23066220500372303,0.002755376021585223,0.21356228037818575
BLK_x,0.2979671687057752,0.34683709277028757,0.2823082123505145,1.0,-0.34036419105450155,0.32627239017009646,0.3673447104283679,0.19575710766504942,0.03845522253195159,-0.2689613345066998,-0.0009829777758624618,-0.03821525675881718,0.2303750011672459,-0.01654938417711401,0.46867543602458905,-0.028193747617106763,-0.01004833130688442,-0.012831455206357117,-0.049355416358203216,0.08333965052542698,-0.06926881537026829,-0.037861617164213886,-0.060878343300106906,0.0074331843507006905,0.03131314053820713,-0.008624279414497074,-0.007264494178660598,-0.026229366494654977,0.016481346108961903,0.006151277632860921,0.2561779223054204,-0.409902375924593,0.08606079037349361,0.2640753281484774
Rk_x,-0.5134953988424352,-0.4641306325320266,-0.18229740073948017,-0.34036419105450155,1.0,-0.8668983111715474,-0.6692545432361008,-0.6169767422213472,0.08145705154766329,0.05200802749685065,-0.32517209304214845,-0.1660040087711473,-0.3239698263019278,0.3502754889053105,-0.39660099631966045,0.08611744592990098,0.07478932235354904,0.028135292332134198,0.08333965052542697,-0.050126464239861154,0.07459471232501089,0.08895102388536026,0.05392236808270375,0.024502464353029618,-0.02395253107868738,0.031946252272870526,0.0215093258344716,0.06616607086349362,-0.025785298617254846,0.0692112856224428,-0.3637188735750669,0.8161549205177303,-0.21545963479827768,-0.4872458046540921
SOS_x,0.1940751619038455,0.35770728905494115,0.11130987959562605,0.32627239017009646,-0.8668983111715474,1.0,0.60202412438307,0.5440713831532551,-0.08108971452691964,-0.10830823526503074,0.13085185717333706,0.08567655215412223,0.19549536349267127,-0.23779048056842622,0.38446204643955273,-0.06429331500456185,-0.06029934394790244,-0.011375922645928117,-0.06926881537026834,0.07459471232501094,-0.09995420430523443,-0.07810042011324445,-0.072006435584174,-0.017427538376898706,0.023123409980734106,-0.014374058209259733,-0.03358105128957665,-0.06246939882390656,0.018480334850953767,-0.04712748989277966,0.35984511127515056,-0.77101529990735,0.21607140862673926,0.43480652067216885
OSRS_x,0.462938410678182,0.6605802999180241,0.37330036741005457,0.3673447104283679,-0.6692545432361008,0.60202412438307,1.0,-0.06423243307705143,0.006377220327387285,-0.09554279563139173,0.4722633489624223,0.07658911325106697,0.24766677212576035,-0.33120518825468065,0.6821444212461062,-0.07684529314216684,-0.04872453108497795,-0.004549289356778836,-0.03786161716421396,0.08895102388536018,-0.07810042011324451,-0.10133353207668139,-0.040128222596670655,-0.004673775010406291,-0.00985310497896877,-0.05446396524181793,-0.02575319468469709,-0.04440776704422872,0.042335849741810615,-0.02332501410800793,0.3349337983161741,-0.6622963166728866,0.15793563838979738,0.3852708375599411
DSRS_x,0.3619436022939343,0.08279666099960555,-0.031673475902215247,0.19575710766504942,-0.6169767422213472,0.5440713831532551,-0.06423243307705143,1.0,-0.10489605442882828,-0.006740026245313159,0.01095338392181198,0.14064990876989736,0.29931547110881346,-0.16467223188726185,-0.010758085681442878,-0.034197940990132424,-0.040747005266580594,-0.0082191771612749,-0.06087834330010693,0.05392236808270381,-0.07200643558417406,-0.04012822259667053,-0.06412268569915335,-0.016280431767681607,0.03657512821624435,0.0037827386170055056,-0.030008895520347554,-0.04255435942594656,0.010513850191362499,-0.031150913331412376,0.2702892888822515,-0.5491487251426839,0.14687746949890293,0.33981404863623954
FTr_x,0.028718518260817137,-0.1894160496227523,-0.0927303121287602,0.03845522253195159,0.08145705154766329,-0.08108971452691964,0.006377220327387285,-0.10489605442882828,1.0,-0.22569641036598195,0.07640432500573378,-0.08949918888927061,0.1933307027223243,0.3015887383710141,-0.21887942859299866,-0.017309739713796173,0.001034482465173078,0.013972027032443895,0.0074331843507006775,0.024502464353029604,-0.017427538376898716,-0.004673775010406292,-0.01628043176768158,-0.014527111911533093,-0.02863134626827319,-0.014756557356509995,-0.015930659530981838,0.0008778558854671807,0.007555162779552742,0.012740028139172127,-0.045997095245257545,0.024469603382769968,0.016966146212736306,-0.04421324352119775
3PAr_x,-0.026953982538230538,-0.0970413736162815,-0.06766815837131157,-0.2689613345066998,0.05200802749685065,-0.10830823526503074,-0.09554279563139173,-0.006740026245313159,-0.22569641036598195,1.0,0.22398441741307962,0.11683281884410256,-0.38520877324589103,-0.13009020675656585,-0.1464229369203554,0.004238277751141463,-0.02241241193658032,-0.007512180578998305,0.031313140538207114,-0.023952531078687368,0.023123409980734064,-0.00985310497896876,0.03657512821624437,-0.028631346268273107,-0.009796567383538284,-0.008056606961998567,-0.009779436942904724,0.021041111364491865,0.01383648056627811,-0.025731086002585585,-0.049319171145741775,0.09500913850846687,-0.02428785694723299,-0.03153265958832993
